state,year,gini_index
AL,2006,0.472
AL,2007,0.471
AL,2008,0.467
AL,2009,0.471
AL,2010,0.472
AL,2011,0.4735
AL,2012,0.4726
AL,2013,0.4752
AL,2014,0.4758
AL,2015,0.4811
AL,2016,0.4847
AL,2017,0.4768
AL,2018,0.4859
AL,2019,0.4741
AK,2006,0.417
AK,2007,0.409
AK,2008,0.403
AK,2009,0.402
AK,2010,0.422
AK,2011,0.4099
AK,2012,0.4232
AK,2013,0.4083
AK,2014,0.4175
AK,2015,0.4322
AK,2016,0.4081
AK,2017,0.4241
AK,2018,0.4322
AK,2019,0.4376
AZ,2006,0.454
AZ,2007,0.448
AZ,2008,0.453
AZ,2009,0.451
AZ,2010,0.455
AZ,2011,0.46
AZ,2012,0.4608
AZ,2013,0.4681
AZ,2014,0.4676
AZ,2015,0.4702
AZ,2016,0.4713
AZ,2017,0.4668
AZ,2018,0.4613
AZ,2019,0.4591
AR,2006,0.46
AR,2007,0.462
AR,2008,0.459
AR,2009,0.461
AR,2010,0.458
AR,2011,0.4684
AR,2012,0.4632
AR,2013,0.4685
AR,2014,0.4714
AR,2015,0.4773
AR,2016,0.4719
AR,2017,0.4725
AR,2018,0.4845
AR,2019,0.475
CA,2006,0.466
CA,2007,0.469
CA,2008,0.473
CA,2009,0.467
CA,2010,0.471
CA,2011,0.4812
CA,2012,0.4822
CA,2013,0.4903
CA,2014,0.489
CA,2015,0.4876
CA,2016,0.4899
CA,2017,0.4866
CA,2018,0.4912
CA,2019,0.4866
CO,2006,0.45
CO,2007,0.452
CO,2008,0.457
CO,2009,0.453
CO,2010,0.457
CO,2011,0.4588
CO,2012,0.4579
CO,2013,0.4614
CO,2014,0.4584
CO,2015,0.458
CO,2016,0.4586
CO,2017,0.4553
CO,2018,0.4561
CO,2019,0.4548
CT,2006,0.48
CT,2007,0.481
CT,2008,0.486
CT,2009,0.48
CT,2010,0.486
CT,2011,0.4859
CT,2012,0.4915
CT,2013,0.4994
CT,2014,0.5005
CT,2015,0.4916
CT,2016,0.4945
CT,2017,0.4943
CT,2018,0.5014
CT,2019,0.5024
DE,2006,0.434
DE,2007,0.435
DE,2008,0.447
DE,2009,0.434
DE,2010,0.44
DE,2011,0.4404
DE,2012,0.4356
DE,2013,0.4513
DE,2014,0.4494
DE,2015,0.4523
DE,2016,0.4522
DE,2017,0.4811
DE,2018,0.4587
DE,2019,0.4509
DC,2006,0.537
DC,2007,0.542
DC,2008,0.54
DC,2009,0.532
DC,2010,0.532
DC,2011,0.5338
DC,2012,0.5343
DC,2013,0.532
DC,2014,0.5224
DC,2015,0.5354
DC,2016,0.542
DC,2017,0.5281
DC,2018,0.5243
DC,2019,0.5115
FL,2006,0.467
FL,2007,0.469
FL,2008,0.471
FL,2009,0.469
FL,2010,0.474
FL,2011,0.4811
FL,2012,0.4828
FL,2013,0.4843
FL,2014,0.4834
FL,2015,0.4872
FL,2016,0.4852
FL,2017,0.4859
FL,2018,0.4887
FL,2019,0.4808
GA,2006,0.461
GA,2007,0.464
GA,2008,0.467
GA,2009,0.469
GA,2010,0.468
GA,2011,0.477
GA,2012,0.4809
GA,2013,0.4837
GA,2014,0.4801
GA,2015,0.4801
GA,2016,0.4813
GA,2017,0.483
GA,2018,0.4822
GA,2019,0.4795
HI,2006,0.438
HI,2007,0.422
HI,2008,0.428
HI,2009,0.425
HI,2010,0.433
HI,2011,0.4301
HI,2012,0.4257
HI,2013,0.44
HI,2014,0.4325
HI,2015,0.4346
HI,2016,0.442
HI,2017,0.4455
HI,2018,0.445
HI,2019,0.4397
ID,2006,0.421
ID,2007,0.436
ID,2008,0.419
ID,2009,0.421
ID,2010,0.433
ID,2011,0.432
ID,2012,0.4302
ID,2013,0.4376
ID,2014,0.4541
ID,2015,0.4525
ID,2016,0.4503
ID,2017,0.4478
ID,2018,0.4454
ID,2019,0.4337
IL,2006,0.462
IL,2007,0.466
IL,2008,0.467
IL,2009,0.469
IL,2010,0.465
IL,2011,0.4718
IL,2012,0.4716
IL,2013,0.4824
IL,2014,0.4765
IL,2015,0.4817
IL,2016,0.481
IL,2017,0.4818
IL,2018,0.4852
IL,2019,0.48
IN,2006,0.432
IN,2007,0.429
IN,2008,0.437
IN,2009,0.434
IN,2010,0.44
IN,2011,0.4461
IN,2012,0.4417
IN,2013,0.4554
IN,2014,0.4455
IN,2015,0.4519
IN,2016,0.4527
IN,2017,0.4497
IN,2018,0.4511
IN,2019,0.4584
IA,2006,0.424
IA,2007,0.426
