state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
AL,2005,1223506.0,4442558.0,0.2754057459688765,0.7245942540311234
AL,2006,1170202.0,4483875.0,0.2609800674639681,0.7390199325360318
AL,2007,1234692.0,4508691.0,0.2738471099483198,0.7261528900516803
AL,2008,1247108.0,4541656.0,0.274593232072178,0.725406767927822
AL,2009,1309992.0,4585969.0,0.2856521707844078,0.7143478292155921
AL,2010,1354359.0,4669482.0,0.2900448058264278,0.7099551941735722
AL,2011,1369755.0,4686906.0,0.2922514341017294,0.7077485658982706
AL,2012,1435230.0,4707169.0,0.3049030107055854,0.6950969892944145
AL,2013,1470091.0,4718690.0,0.3115464249611651,0.688453575038835
AL,2014,1498381.0,4730907.0,0.3167217195349644,0.6832782804650356
AL,2015,1469799.0,4739380.0,0.3101247420548679,0.689875257945132
AL,2016,1428898.0,4743641.0,0.3012238910996848,0.6987761089003152
AL,2017,1430900.0,4755774.0,0.3008763662865392,0.6991236337134608
AL,2018,1448888.0,4770428.0,0.3037228525406945,0.6962771474593055
AL,2019,1394357.0,4786560.0,0.2913067004278646,0.7086932995721353
AK,2005,210868.0,641724.0,0.3285960942710573,0.6714039057289427
AK,2006,211892.0,646953.0,0.327523019446544,0.672476980553456
AK,2007,219192.0,661167.0,0.3315228981482742,0.6684771018517258
AK,2008,211545.0,664877.0,0.3181716317454205,0.6818283682545794
AK,2009,217530.0,677036.0,0.3212975380925091,0.6787024619074908
AK,2010,229963.0,687633.0,0.3344269399519802,0.6655730600480199
AK,2011,244043.0,696365.0,0.3504527079907807,0.6495472920092193
AK,2012,241247.0,704798.0,0.3422924015107875,0.6577075984892125
AK,2013,244955.0,708533.0,0.3457213707759554,0.6542786292240446
AK,2014,244287.0,708421.0,0.3448330865403481,0.6551669134596518
AK,2015,240060.0,710491.0,0.3378790160607242,0.6621209839392759
AK,2016,237602.0,714068.0,0.3327442204383896,0.6672557795616103
AK,2017,240853.0,712250.0,0.3381579501579501,0.6618420498420499
AK,2018,220609.0,710666.0,0.3104257133449468,0.6895742866550532
AK,2019,230787.0,704872.0,0.3274168927124357,0.6725831072875643
AZ,2005,1767325.0,5829839.0,0.3031515964677583,0.6968484035322416
AZ,2006,1874581.0,6056817.0,0.3094993624539093,0.6905006375460907
AZ,2007,1928774.0,6229385.0,0.3096251074544277,0.6903748925455724
AZ,2008,2047757.0,6381018.0,0.3209138416472105,0.6790861583527894
AZ,2009,2150205.0,6476768.0,0.3319873430698768,0.6680126569301232
AZ,2010,2187245.0,6274353.0,0.3486008836289574,0.6513991163710426
AZ,2011,2325701.0,6338579.0,0.3669120476371754,0.6330879523628246
AZ,2012,2420584.0,6403988.0,0.3779807207633743,0.6220192792366257
AZ,2013,2493464.0,6479000.0,0.3848532180892113,0.6151467819107888
AZ,2014,2597412.0,6580081.0,0.3947386058013571,0.6052613941986429
AZ,2015,2551592.0,6673383.0,0.3823535978678281,0.6176464021321719
AZ,2016,2501022.0,6774192.0,0.3691985701025303,0.6308014298974697
AZ,2017,2387343.0,6861127.0,0.3479520201273056,0.6520479798726944
AZ,2018,2422459.0,7012204.0,0.3454632808743157,0.6545367191256843
AZ,2019,2398320.0,7116824.0,0.3369930182339762,0.6630069817660238
AR,2005,836637.0,2701431.0,0.3097014138062382,0.6902985861937618
AR,2006,815747.0,2732550.0,0.2985295785987447,0.7014704214012553
AR,2007,847036.0,2754740.0,0.3074831018535324,0.6925168981464676
AR,2008,862785.0,2774832.0,0.3109323375252988,0.6890676624747012
AR,2009,908722.0,2806735.0,0.323764801450796,0.6762351985492039
AR,2010,910607.0,2842675.0,0.3203345440474201,0.6796654559525799
AR,2011,919987.0,2859046.0,0.3217811116015622,0.6782188883984378
AR,2012,950567.0,2867836.0,0.3314579355304836,0.6685420644695164
AR,2013,967546.0,2878203.0,0.3361632240672392,0.6638367759327608
AR,2014,963612.0,2884185.0,0.3341020080195965,0.6658979919804036
AR,2015,986438.0,2894177.0,0.3408354084770904,0.6591645915229096
AR,2016,989424.0,2903173.0,0.3408077989151869,0.659192201084813
AR,2017,979040.0,2919337.0,0.3353638171954796,0.6646361828045204
AR,2018,955252.0,2929598.0,0.3260693105333906,0.6739306894666094
AR,2019,962101.0,2933793.0,0.3279375879620682,0.6720624120379317
CA,2005,13963486.0,35278768.0,0.395804241236542,0.6041957587634579
CA,2006,14112134.0,35594342.0,0.3964712706305963,0.6035287293694037
CA,2007,14357527.0,35690809.0,0.4022751907921168,0.5977248092078832
CA,2008,14844819.0,35890478.0,0.4136144132713975,0.5863855867286025
CA,2009,15291107.0,36117913.0,0.4233662947247256,0.5766337052752744
CA,2010,15894258.0,36529547.0,0.4351069012709082,0.5648930987290919
CA,2011,16342795.0,36871518.0,0.4432362942041062,0.5567637057958937
CA,2012,16911606.0,37225859.0,0.4542972668542047,0.5457027331457953
CA,2013,17110343.0,37526347.0,0.4559554651029582,0.5440445348970417
CA,2014,17381816.0,37985370.0,0.4575923835939994,0.5424076164060005
CA,2015,17513031.0,38323824.0,0.4569750398603229,0.543024960139677
CA,2016,17539616.0,38436448.0,0.4563277022892438,0.5436722977107562
CA,2017,17112143.0,38718791.0,0.441959641766707,0.5580403582332929
CA,2018,17012851.0,38731195.0,0.439254482078335,0.5607455179216649
CA,2019,16919150.0,38685702.0,0.4373489202806763,0.5626510797193237
CO,2005,1302265.0,4562244.0,0.285443961348845,0.714556038651155
CO,2006,1326351.0,4650383.0,0.2852132824328662,0.7147867175671337
CO,2007,1385917.0,4752761.0,0.2916025022087161,0.7083974977912839
CO,2008,1483074.0,4830150.0,0.3070451228222726,0.6929548771777274
CO,2009,1530987.0,4912174.0,0.3116719806749516,0.6883280193250483
CO,2010,1586434.0,4933193.0,0.3215836072093672,0.6784163927906328
CO,2011,1697791.0,5001327.0,0.3394681051648892,0.6605318948351108
CO,2012,1761647.0,5071158.0,0.3473855478373973,0.6526144521626027
CO,2013,1770315.0,5150967.0,0.3436859525599756,0.6563140474400244
CO,2014,1804631.0,5238386.0,0.3445013406801255,0.6554986593198745
CO,2015,1838002.0,5340828.0,0.3441417697780194,0.6558582302219806
CO,2016,1819638.0,5422420.0,0.3355767351108914,0.6644232648891086
CO,2017,1799705.0,5487865.0,0.3279426516505052,0.6720573483494947
CO,2018,1791492.0,5574416.0,0.321377521878525,0.6786224781214749
CO,2019,1771004.0,5639595.0,0.314030351470274,0.685969648529726
CT,2005,888301.0,3394751.0,0.2616689707139051,0.738331029286095
CT,2006,894354.0,3391730.0,0.2636866731726877,0.7363133268273123
CT,2007,880181.0,3385463.0,0.2599883679130447,0.7400116320869553
CT,2008,925845.0,3388234.0,0.2732529689507867,0.7267470310492132
CT,2009,934192.0,3403751.0,0.274459559468363,0.725540440531637
CT,2010,990382.0,3458921.0,0.2863268632038719,0.713673136796128
CT,2011,1018223.0,3462553.0,0.294067123304683,0.705932876695317
CT,2012,1039626.0,3473730.0,0.2992823276420447,0.7007176723579553
CT,2013,1069800.0,3477951.0,0.3075949028609086,0.6924050971390914
CT,2014,1071359.0,3478451.0,0.3079988765114127,0.6920011234885872
CT,2015,1070800.0,3473954.0,0.3082366663461865,0.6917633336538135
CT,2016,1103461.0,3461496.0,0.3187815326090222,0.6812184673909778
CT,2017,1057838.0,3473646.0,0.304532471069303,0.6954675289306971
CT,2018,1081248.0,3459421.0,0.3125517246961269,0.6874482753038731
CT,2019,1079463.0,3454420.0,0.3124874798084772,0.6875125201915228
DE,2005,215821.0,818587.0,0.2636506565581911,0.7363493434418089
DE,2006,198339.0,828561.0,0.23937766802927,0.7606223319707299
