state,year,median_gross_rent
AL,2005,535.0
AL,2006,573.0
AL,2007,601.0
AL,2008,631.0
AL,2009,657.0
AL,2010,667.0
AL,2011,687.0
AL,2012,689.0
AL,2013,694.0
AL,2014,717.0
AL,2015,729.0
AL,2016,743.0
AL,2017,750.0
AL,2018,788.0
AL,2019,807.0
AK,2005,832.0
AK,2006,883.0
AK,2007,918.0
AK,2008,949.0
AK,2009,1007.0
AK,2010,981.0
AK,2011,1049.0
AK,2012,1120.0
AK,2013,1117.0
AK,2014,1183.0
AK,2015,1163.0
AK,2016,1208.0
AK,2017,1201.0
AK,2018,1177.0
AK,2019,1201.0
AZ,2005,717.0
AZ,2006,762.0
AZ,2007,819.0
AZ,2008,866.0
AZ,2009,859.0
AZ,2010,844.0
AZ,2011,850.0
AZ,2012,888.0
AZ,2013,890.0
AZ,2014,916.0
AZ,2015,933.0
AZ,2016,976.0
AZ,2017,1020.0
AZ,2018,1036.0
AZ,2019,1101.0
AR,2005,549.0
AR,2006,566.0
AR,2007,573.0
AR,2008,606.0
AR,2009,606.0
AR,2010,638.0
AR,2011,639.0
AR,2012,640.0
AR,2013,659.0
AR,2014,683.0
AR,2015,695.0
AR,2016,701.0
AR,2017,711.0
AR,2018,731.0
AR,2019,742.0
CA,2005,973.0
CA,2006,1029.0
CA,2007,1078.0
CA,2008,1135.0
CA,2009,1155.0
CA,2010,1163.0
CA,2011,1174.0
CA,2012,1200.0
CA,2013,1224.0
CA,2014,1268.0
CA,2015,1311.0
CA,2016,1375.0
CA,2017,1447.0
CA,2018,1520.0
CA,2019,1614.0
CO,2005,757.0
CO,2006,780.0
CO,2007,788.0
CO,2008,848.0
CO,2009,851.0
CO,2010,863.0
CO,2011,900.0
CO,2012,934.0
CO,2013,971.0
CO,2014,1020.0
CO,2015,1111.0
CO,2016,1171.0
CO,2017,1240.0
CO,2018,1289.0
CO,2019,1369.0
CT,2005,839.0
CT,2006,886.0
CT,2007,931.0
CT,2008,970.0
CT,2009,1006.0
CT,2010,992.0
CT,2011,1021.0
CT,2012,1019.0
CT,2013,1040.0
CT,2014,1076.0
CT,2015,1108.0
CT,2016,1115.0
CT,2017,1125.0
CT,2018,1171.0
CT,2019,1177.0
DE,2005,793.0
DE,2006,830.0
DE,2007,910.0
DE,2008,917.0
DE,2009,949.0
DE,2010,952.0
DE,2011,960.0
DE,2012,960.0
DE,2013,999.0
DE,2014,1024.0
DE,2015,1049.0
DE,2016,1048.0
DE,2017,1086.0
DE,2018,1108.0
DE,2019,1116.0
DC,2005,832.0
DC,2006,914.0
DC,2007,934.0
DC,2008,1011.0
DC,2009,1059.0
DC,2010,1198.0
DC,2011,1216.0
DC,2012,1235.0
DC,2013,1307.0
DC,2014,1360.0
DC,2015,1417.0
DC,2016,1376.0
DC,2017,1499.0
DC,2018,1516.0
DC,2019,1603.0
FL,2005,809.0
FL,2006,872.0
FL,2007,925.0
FL,2008,947.0
FL,2009,952.0
FL,2010,947.0
FL,2011,949.0
FL,2012,954.0
FL,2013,972.0
FL,2014,1003.0
FL,2015,1046.0
FL,2016,1086.0
FL,2017,1128.0
FL,2018,1182.0
FL,2019,1238.0
GA,2005,709.0
GA,2006,738.0
GA,2007,768.0
GA,2008,787.0
GA,2009,800.0
GA,2010,819.0
GA,2011,833.0
GA,2012,837.0
GA,2013,850.0
GA,2014,882.0
GA,2015,909.0
GA,2016,933.0
GA,2017,958.0
GA,2018,1008.0
GA,2019,1049.0
HI,2005,995.0
HI,2006,1116.0
HI,2007,1194.0
HI,2008,1298.0
HI,2009,1293.0
HI,2010,1291.0
HI,2011,1308.0
HI,2012,1379.0
HI,2013,1414.0
HI,2014,1448.0
HI,2015,1500.0
HI,2016,1483.0
HI,2017,1573.0
HI,2018,1613.0
HI,2019,1651.0
ID,2005,594.0
ID,2006,623.0
ID,2007,654.0
ID,2008,690.0
ID,2009,694.0
ID,2010,683.0
ID,2011,689.0
ID,2012,702.0
ID,2013,725.0
ID,2014,755.0
ID,2015,770.0
ID,2016,790.0
ID,2017,822.0
ID,2018,848.0
ID,2019,880.0
IL,2005,734.0
IL,2006,761.0
IL,2007,783.0
IL,2008,811.0
IL,2009,828.0
IL,2010,848.0
IL,2011,859.0
IL,2012,868.0
IL,2013,885.0
IL,2014,905.0
IL,2015,936.0
IL,2016,950.0
IL,2017,974.0
IL,2018,995.0
IL,2019,1020.0
IN,2005,615.0
IN,2006,638.0
IN,2007,638.0
IN,2008,670.0
IN,2009,687.0
IN,2010,683.0
IN,2011,707.0
IN,2012,715.0
IN,2013,730.0
IN,2014,753.0
IN,2015,758.0
IN,2016,768.0
IN,2017,793.0
IN,2018,820.0
IN,2019,840.0
IA,2005,559.0
IA,2006,584.0
IA,2007,567.0
IA,2008,607.0
IA,2009,611.0
IA,2010,629.0
IA,2011,643.0
IA,2012,661.0
IA,2013,679.0
IA,2014,711.0
IA,2015,718.0
IA,2016,741.0
IA,2017,760.0
IA,2018,777.0
IA,2019,808.0
KS,2005,588.0
KS,2006,609.0
KS,2007,623.0
KS,2008,654.0
KS,2009,671.0
KS,2010,682.0
KS,2011,709.0
KS,2012,711.0
KS,2013,745.0
KS,2014,773.0
KS,2015,782.0
KS,2016,789.0
KS,2017,815.0
KS,2018,840.0
KS,2019,862.0
KY,2005,527.0
KY,2006,548.0
KY,2007,563.0
KY,2008,578.0
KY,2009,613.0
KY,2010,613.0
KY,2011,626.0
KY,2012,636.0
KY,2013,668.0
KY,2014,678.0
KY,2015,702.0
KY,2016,707.0
KY,2017,724.0
KY,2018,779.0
KY,2019,773.0
LA,2005,569.0
LA,2006,618.0
LA,2007,651.0
LA,2008,698.0
LA,2009,715.0
LA,2010,736.0
LA,2011,747.0
LA,2012,747.0
LA,2013,763.0
LA,2014,801.0
LA,2015,800.0
LA,2016,808.0
LA,2017,836.0
LA,2018,854.0
LA,2019,866.0
ME,2005,623.0
ME,2006,636.0
ME,2007,650.0
ME,2008,702.0
ME,2009,722.0
ME,2010,707.0
ME,2011,747.0
ME,2012,744.0
ME,2013,760.0
ME,2014,776.0
ME,2015,792.0
ME,2016,797.0
ME,2017,806.0
ME,2018,839.0
ME,2019,870.0
MD,2005,891.0
MD,2006,953.0
MD,2007,1000.0
MD,2008,1074.0
MD,2009,1108.0
MD,2010,1131.0
MD,2011,1153.0
MD,2012,1170.0
MD,2013,1210.0
MD,2014,1242.0
MD,2015,1278.0
MD,2016,1314.0
MD,2017,1337.0
MD,2018,1371.0
MD,2019,1401.0
MA,2005,902.0
MA,2006,933.0
MA,2007,946.0
MA,2008,991.0
MA,2009,988.0
MA,2010,1009.0
MA,2011,1034.0
MA,2012,1036.0
MA,2013,1077.0
MA,2014,1107.0
MA,2015,1164.0
MA,2016,1179.0
MA,2017,1208.0
MA,2018,1295.0
MA,2019,1360.0
MI,2005,655.0
MI,2006,675.0
MI,2007,683.0
MI,2008,706.0
MI,2009,716.0
MI,2010,730.0
MI,2011,739.0
MI,2012,748.0
MI,2013,768.0
MI,2014,788.0
MI,2015,803.0
MI,2016,818.0
MI,2017,835.0
MI,2018,861.0
MI,2019,888.0
MN,2005,692.0
MN,2006,701.0
MN,2007,711.0
MN,2008,734.0
MN,2009,757.0
MN,2010,764.0
MN,2011,787.0
MN,2012,813.0
MN,2013,832.0
MN,2014,859.0
MN,2015,888.0
MN,2016,912.0
MN,2017,939.0
MN,2018,969.0
MN,2019,1016.0
MS,2005,538.0
MS,2006,584.0
MS,2007,609.0
MS,2008,638.0
MS,2009,644.0
MS,2010,672.0
MS,2011,689.0
MS,2012,666.0
MS,2013,708.0
MS,2014,711.0
MS,2015,724.0
MS,2016,728.0
MS,2017,742.0
MS,2018,777.0
MS,2019,777.0
MO,2005,593.0
MO,2006,607.0
MO,2007,618.0
MO,2008,657.0
MO,2009,668.0
MO,2010,682.0
MO,2011,708.0
MO,2012,706.0
MO,2013,734.0
MO,2014,754.0
MO,2015,763.0
MO,2016,771.0
MO,2017,800.0
MO,2018,830.0
MO,2019,834.0
MT,2005,552.0
MT,2006,571.0
MT,2007,579.0
MT,2008,631.0
MT,2009,627.0
MT,2010,642.0
MT,2011,650.0
MT,2012,681.0
MT,2013,690.0
MT,2014,711.0
MT,2015,763.0
MT,2016,741.0
MT,2017,759.0
MT,2018,811.0
MT,2019,831.0
NE,2005,569.0
NE,2006,593.0
NE,2007,614.0
NE,2008,626.0
NE,2009,644.0
NE,2010,669.0
NE,2011,673.0
NE,2012,692.0
NE,2013,714.0
NE,2014,742.0
NE,2015,750.0
NE,2016,769.0
NE,2017,801.0
NE,2018,830.0
NE,2019,859.0
NV,2005,861.0
NV,2006,917.0
NV,2007,980.0
NV,2008,1011.0
NV,2009,993.0
NV,2010,952.0
NV,2011,936.0
NV,2012,944.0
NV,2013,952.0
NV,2014,955.0
NV,2015,980.0
NV,2016,1003.0
NV,2017,1051.0
NV,2018,1108.0
NV,2019,1168.0
NH,2005,854.0
NH,2006,861.0
NH,2007,892.0
NH,2008,914.0
NH,2009,918.0
NH,2010,951.0
NH,2011,939.0
NH,2012,967.0
NH,2013,995.0
NH,2014,994.0
NH,2015,1017.0
NH,2016,1026.0
NH,2017,1072.0
NH,2018,1090.0
NH,2019,1147.0
NJ,2005,935.0
NJ,2006,974.0
NJ,2007,1026.0
NJ,2008,1068.0
NJ,2009,1108.0
NJ,2010,1114.0
NJ,2011,1135.0
NJ,2012,1148.0
NJ,2013,1171.0
NJ,2014,1202.0
NJ,2015,1214.0
NJ,2016,1244.0
NJ,2017,1284.0
NJ,2018,1336.0
NJ,2019,1376.0
NM,2005,587.0
NM,2006,617.0
NM,2007,637.0
NM,2008,668.0
NM,2009,680.0
NM,2010,699.0
NM,2011,729.0
NM,2012,753.0
NM,2013,772.0
NM,2014,777.0
NM,2015,783.0
NM,2016,804.0
NM,2017,813.0
NM,2018,830.0
NM,2019,847.0
NY,2005,841.0
NY,2006,875.0
NY,2007,907.0
NY,2008,953.0
NY,2009,984.0
NY,2010,1020.0
NY,2011,1058.0
NY,2012,1079.0
NY,2013,1109.0
NY,2014,1148.0
NY,2015,1173.0
NY,2016,1194.0
NY,2017,1226.0
NY,2018,1274.0
NY,2019,1309.0
NC,2005,635.0
NC,2006,656.0
NC,2007,678.0
NC,2008,694.0
NC,2009,720.0
NC,2010,731.0
NC,2011,745.0
NC,2012,756.0
NC,2013,778.0
NC,2014,803.0
NC,2015,827.0
NC,2016,839.0
NC,2017,861.0
NC,2018,900.0
NC,2019,931.0
ND,2005,479.0
ND,2006,497.0
ND,2007,516.0
ND,2008,534.0
ND,2009,564.0
ND,2010,583.0
ND,2011,626.0
ND,2012,644.0
ND,2013,690.0
ND,2014,728.0
ND,2015,775.0
ND,2016,776.0
ND,2017,785.0
ND,2018,808.0
ND,2019,804.0
OH,2005,613.0
OH,2006,627.0
OH,2007,643.0
OH,2008,667.0
OH,2009,670.0
OH,2010,685.0
OH,2011,692.0
OH,2012,700.0
OH,2013,709.0
OH,2014,735.0
OH,2015,746.0
OH,2016,759.0
OH,2017,772.0
OH,2018,797.0
OH,2019,813.0
OK,2005,547.0
OK,2006,580.0
OK,2007,588.0
OK,2008,614.0
OK,2009,636.0
OK,2010,659.0
OK,2011,675.0
OK,2012,686.0
OK,2013,705.0
OK,2014,737.0
OK,2015,759.0
OK,2016,744.0
OK,2017,780.0
OK,2018,808.0
OK,2019,814.0
OR,2005,689.0
OR,2006,714.0
OR,2007,743.0
OR,2008,780.0
OR,2009,819.0
OR,2010,816.0
OR,2011,840.0
OR,2012,862.0
OR,2013,887.0
OR,2014,924.0
OR,2015,943.0
OR,2016,1015.0
OR,2017,1079.0
OR,2018,1130.0
OR,2019,1185.0
PA,2005,647.0
PA,2006,664.0
PA,2007,685.0
PA,2008,726.0
PA,2009,738.0
PA,2010,763.0
PA,2011,786.0
PA,2012,798.0
PA,2013,828.0
PA,2014,848.0
PA,2015,868.0
PA,2016,881.0
PA,2017,893.0
PA,2018,927.0
PA,2019,951.0
,2005,380.0
,2006,395.0
,2007,392.0
,2008,429.0
,2009,419.0
,2010,429.0
,2011,442.0
,2012,448.0
,2013,448.0
,2014,467.0
,2015,433.0
,2016,463.0
,2017,453.0
,2018,484.0
,2019,482.0
RI,2005,775.0
RI,2006,840.0
RI,2007,830.0
RI,2008,850.0
RI,2009,890.0
RI,2010,868.0
RI,2011,875.0
RI,2012,878.0
RI,2013,918.0
RI,2014,934.0
RI,2015,938.0
RI,2016,948.0
RI,2017,941.0
RI,2018,998.0
RI,2019,1043.0
SC,2005,611.0
SC,2006,640.0
SC,2007,645.0
SC,2008,675.0
SC,2009,706.0
SC,2010,728.0
SC,2011,741.0
SC,2012,754.0
SC,2013,766.0
SC,2014,791.0
SC,2015,819.0
SC,2016,841.0
SC,2017,848.0
SC,2018,892.0
SC,2019,922.0
SD,2005,500.0
SD,2006,522.0
SD,2007,526.0
SD,2008,569.0
SD,2009,562.0
SD,2010,591.0
SD,2011,612.0
SD,2012,651.0
SD,2013,637.0
SD,2014,647.0
SD,2015,675.0
SD,2016,706.0
SD,2017,722.0
SD,2018,734.0
SD,2019,769.0
TN,2005,583.0
TN,2006,613.0
TN,2007,634.0
TN,2008,660.0
TN,2009,682.0
TN,2010,697.0
TN,2011,715.0
TN,2012,730.0
TN,2013,748.0
TN,2014,770.0
TN,2015,785.0
TN,2016,806.0
TN,2017,833.0
TN,2018,861.0
TN,2019,904.0
TX,2005,671.0
TX,2006,711.0
TX,2007,734.0
TX,2008,768.0
TX,2009,788.0
TX,2010,801.0
TX,2011,813.0
TX,2012,831.0
TX,2013,857.0
TX,2014,896.0
TX,2015,932.0
TX,2016,956.0
TX,2017,987.0
TX,2018,1046.0
TX,2019,1091.0
UT,2005,665.0
UT,2006,697.0
UT,2007,733.0
UT,2008,784.0
UT,2009,793.0
UT,2010,796.0
UT,2011,822.0
UT,2012,851.0
UT,2013,881.0
UT,2014,886.0
UT,2015,925.0
UT,2016,954.0
UT,2017,986.0
UT,2018,1043.0
UT,2019,1098.0
VT,2005,683.0
VT,2006,716.0
VT,2007,756.0
VT,2008,797.0
VT,2009,829.0
VT,2010,823.0
VT,2011,849.0
VT,2012,860.0
VT,2013,865.0
VT,2014,917.0
VT,2015,923.0
VT,2016,925.0
VT,2017,950.0
VT,2018,969.0
VT,2019,980.0
VA,2005,812.0
VA,2006,846.0
VA,2007,892.0
VA,2008,934.0
VA,2009,989.0
VA,2010,1019.0
VA,2011,1062.0
VA,2012,1068.0
VA,2013,1086.0
VA,2014,1116.0
VA,2015,1144.0
VA,2016,1159.0
VA,2017,1179.0
VA,2018,1215.0
VA,2019,1254.0
WA,2005,741.0
WA,2006,779.0
WA,2007,816.0
WA,2008,874.0
WA,2009,911.0
WA,2010,908.0
WA,2011,930.0
WA,2012,954.0
WA,2013,989.0
WA,2014,1032.0
WA,2015,1080.0
WA,2016,1135.0
WA,2017,1216.0
WA,2018,1316.0
WA,2019,1359.0
WV,2005,483.0
WV,2006,499.0
WV,2007,525.0
WV,2008,528.0
WV,2009,552.0
WV,2010,571.0
WV,2011,599.0
WV,2012,607.0
WV,2013,620.0
WV,2014,656.0
WV,2015,675.0
WV,2016,682.0
WV,2017,690.0
WV,2018,735.0
WV,2019,727.0
WI,2005,643.0
WI,2006,658.0
WI,2007,673.0
WI,2008,704.0
WI,2009,708.0
WI,2010,715.0
WI,2011,739.0
WI,2012,743.0
WI,2013,758.0
WI,2014,782.0
WI,2015,792.0
WI,2016,802.0
WI,2017,819.0
WI,2018,847.0
WI,2019,867.0
WY,2005,537.0
WY,2006,601.0
WY,2007,636.0
WY,2008,636.0
WY,2009,700.0
WY,2010,693.0
WY,2011,759.0
WY,2012,742.0
WY,2013,780.0
WY,2014,792.0
WY,2015,815.0
WY,2016,840.0
WY,2017,832.0
WY,2018,818.0
WY,2019,822.0
