state,year,median_income
AL,2005,36879.0
AL,2006,38783.0
AL,2007,40554.0
AL,2008,42666.0
AL,2009,40489.0
AL,2010,40474.0
AL,2011,41415.0
AL,2012,41574.0
AL,2013,42849.0
AL,2014,42830.0
AL,2015,44765.0
AL,2016,46257.0
AL,2017,48123.0
AL,2018,49861.0
AL,2019,51734.0
AK,2005,56234.0
AK,2006,59393.0
AK,2007,64333.0
AK,2008,68460.0
AK,2009,66953.0
AK,2010,64576.0
AK,2011,67825.0
AK,2012,67712.0
AK,2013,72237.0
AK,2014,71583.0
AK,2015,73355.0
AK,2016,76440.0
AK,2017,73181.0
AK,2018,74346.0
AK,2019,75463.0
AZ,2005,44282.0
AZ,2006,47265.0
AZ,2007,49889.0
AZ,2008,50958.0
AZ,2009,48745.0
AZ,2010,46789.0
AZ,2011,46709.0
AZ,2012,47826.0
AZ,2013,48510.0
AZ,2014,50068.0
AZ,2015,51492.0
AZ,2016,53558.0
AZ,2017,56581.0
AZ,2018,59246.0
AZ,2019,62055.0
AR,2005,34999.0
AR,2006,36599.0
AR,2007,38134.0
AR,2008,38815.0
AR,2009,37823.0
AR,2010,38307.0
AR,2011,38758.0
AR,2012,40112.0
AR,2013,40511.0
AR,2014,41262.0
AR,2015,41995.0
AR,2016,44334.0
AR,2017,45869.0
AR,2018,47062.0
AR,2019,48952.0
CA,2005,53629.0
CA,2006,56645.0
CA,2007,59948.0
CA,2008,61021.0
CA,2009,58931.0
CA,2010,57708.0
CA,2011,57287.0
CA,2012,58328.0
CA,2013,60190.0
CA,2014,61933.0
CA,2015,64500.0
CA,2016,67739.0
CA,2017,71805.0
CA,2018,75277.0
CA,2019,80440.0
CO,2005,50652.0
CO,2006,52015.0
CO,2007,55212.0
CO,2008,56993.0
CO,2009,55430.0
CO,2010,54046.0
CO,2011,55387.0
CO,2012,56765.0
CO,2013,58823.0
CO,2014,61303.0
CO,2015,63909.0
CO,2016,65685.0
CO,2017,69117.0
CO,2018,71953.0
CO,2019,77127.0
CT,2005,60941.0
CT,2006,63422.0
CT,2007,65967.0
CT,2008,68595.0
CT,2009,67034.0
CT,2010,64032.0
CT,2011,65753.0
CT,2012,67276.0
CT,2013,67098.0
CT,2014,70048.0
CT,2015,71346.0
CT,2016,73433.0
CT,2017,74168.0
CT,2018,76348.0
CT,2019,78833.0
DE,2005,52499.0
DE,2006,52833.0
DE,2007,54610.0
DE,2008,57989.0
DE,2009,56860.0
DE,2010,55847.0
DE,2011,58814.0
DE,2012,58415.0
DE,2013,57846.0
DE,2014,59716.0
DE,2015,61255.0
DE,2016,61757.0
DE,2017,62852.0
DE,2018,64805.0
DE,2019,70176.0
DC,2005,47221.0
DC,2006,51847.0
DC,2007,54317.0
DC,2008,57936.0
DC,2009,59290.0
DC,2010,60903.0
DC,2011,63124.0
DC,2012,66583.0
DC,2013,67572.0
DC,2014,71648.0
DC,2015,75628.0
DC,2016,75506.0
DC,2017,82372.0
DC,2018,85203.0
DC,2019,92266.0
FL,2005,42433.0
FL,2006,45495.0
FL,2007,47804.0
FL,2008,47778.0
FL,2009,44736.0
FL,2010,44409.0
FL,2011,44299.0
FL,2012,45040.0
FL,2013,46036.0
FL,2014,47463.0
FL,2015,49426.0
FL,2016,50860.0
FL,2017,52594.0
FL,2018,55462.0
FL,2019,59227.0
GA,2005,45604.0
GA,2006,46832.0
GA,2007,49136.0
GA,2008,50861.0
GA,2009,47590.0
GA,2010,46430.0
GA,2011,46007.0
GA,2012,47209.0
GA,2013,47829.0
GA,2014,49321.0
GA,2015,51244.0
GA,2016,53559.0
GA,2017,56183.0
GA,2018,58756.0
GA,2019,61980.0
HI,2005,58112.0
HI,2006,61160.0
HI,2007,63746.0
HI,2008,67214.0
HI,2009,64098.0
HI,2010,63030.0
HI,2011,61821.0
HI,2012,66259.0
HI,2013,68020.0
HI,2014,69592.0
HI,2015,73486.0
HI,2016,74511.0
