state,year,median_monthly_house_cost
AL,2005,624.0
AL,2006,685.0
AL,2007,713.0
AL,2008,742.0
AL,2009,751.0
AL,2010,772.0
AL,2011,774.0
AL,2012,725.0
AL,2013,718.0
AL,2014,733.0
AL,2015,724.0
AL,2016,728.0
AL,2017,716.0
AL,2018,734.0
AL,2019,753.0
AK,2005,1182.0
AK,2006,1233.0
AK,2007,1372.0
AK,2008,1393.0
AK,2009,1384.0
AK,2010,1363.0
AK,2011,1346.0
AK,2012,1364.0
AK,2013,1311.0
AK,2014,1366.0
AK,2015,1360.0
AK,2016,1360.0
AK,2017,1373.0
AK,2018,1364.0
AK,2019,1382.0
AZ,2005,952.0
AZ,2006,1062.0
AZ,2007,1126.0
AZ,2008,1177.0
AZ,2009,1158.0
AZ,2010,1119.0
AZ,2011,1056.0
AZ,2012,969.0
AZ,2013,943.0
AZ,2014,931.0
AZ,2015,976.0
AZ,2016,975.0
AZ,2017,1009.0
AZ,2018,1023.0
AZ,2019,1038.0
AR,2005,580.0
AR,2006,611.0
AR,2007,629.0
AR,2008,660.0
AR,2009,653.0
AR,2010,657.0
AR,2011,674.0
AR,2012,647.0
AR,2013,637.0
AR,2014,662.0
AR,2015,663.0
AR,2016,645.0
AR,2017,666.0
AR,2018,682.0
AR,2019,662.0
CA,2005,1564.0
CA,2006,1737.0
CA,2007,1850.0
CA,2008,1919.0
CA,2009,1852.0
CA,2010,1790.0
CA,2011,1740.0
CA,2012,1682.0
CA,2013,1612.0
CA,2014,1613.0
CA,2015,1648.0
CA,2016,1691.0
CA,2017,1745.0
CA,2018,1785.0
CA,2019,1835.0
CO,2005,1220.0
CO,2006,1317.0
CO,2007,1333.0
CO,2008,1364.0
CO,2009,1352.0
CO,2010,1327.0
CO,2011,1306.0
CO,2012,1281.0
CO,2013,1235.0
CO,2014,1250.0
CO,2015,1273.0
CO,2016,1292.0
CO,2017,1353.0
CO,2018,1377.0
CO,2019,1466.0
CT,2005,1415.0
CT,2006,1527.0
CT,2007,1616.0
CT,2008,1722.0
CT,2009,1708.0
CT,2010,1704.0
CT,2011,1683.0
CT,2012,1668.0
CT,2013,1622.0
CT,2014,1634.0
CT,2015,1648.0
CT,2016,1613.0
CT,2017,1616.0
CT,2018,1661.0
CT,2019,1667.0
DE,2005,993.0
DE,2006,1003.0
DE,2007,1174.0
DE,2008,1209.0
DE,2009,1234.0
DE,2010,1242.0
DE,2011,1231.0
DE,2012,1215.0
DE,2013,1137.0
DE,2014,1144.0
DE,2015,1137.0
DE,2016,1095.0
DE,2017,1160.0
DE,2018,1157.0
DE,2019,1182.0
DC,2005,1351.0
DC,2006,1558.0
DC,2007,1665.0
DC,2008,1826.0
DC,2009,1841.0
DC,2010,1869.0
DC,2011,1874.0
DC,2012,1925.0
DC,2013,1836.0
DC,2014,1786.0
DC,2015,1910.0
DC,2016,1957.0
DC,2017,1977.0
DC,2018,2122.0
DC,2019,2215.0
FL,2005,925.0
FL,2006,1045.0
FL,2007,1142.0
FL,2008,1152.0
FL,2009,1125.0
FL,2010,1087.0
FL,2011,1048.0
FL,2012,992.0
FL,2013,935.0
FL,2014,933.0
FL,2015,951.0
FL,2016,958.0
FL,2017,968.0
FL,2018,987.0
FL,2019,1025.0
GA,2005,974.0
GA,2006,1033.0
GA,2007,1076.0
GA,2008,1106.0
GA,2009,1092.0
GA,2010,1106.0
GA,2011,1070.0
GA,2012,1039.0
GA,2013,982.0
GA,2014,989.0
GA,2015,993.0
GA,2016,990.0
GA,2017,1004.0
GA,2018,1024.0
GA,2019,1059.0
HI,2005,1278.0
HI,2006,1465.0
HI,2007,1484.0
HI,2008,1645.0
HI,2009,1672.0
HI,2010,1618.0
HI,2011,1582.0
HI,2012,1646.0
HI,2013,1630.0
HI,2014,1546.0
HI,2015,1576.0
HI,2016,1577.0
HI,2017,1608.0
HI,2018,1657.0
HI,2019,1713.0
ID,2005,805.0
ID,2006,870.0
ID,2007,909.0
ID,2008,946.0
ID,2009,957.0
ID,2010,923.0
ID,2011,920.0
ID,2012,913.0
ID,2013,886.0
ID,2014,854.0
ID,2015,883.0
ID,2016,884.0
ID,2017,926.0
ID,2018,952.0
ID,2019,965.0
IL,2005,1107.0
IL,2006,1184.0
IL,2007,1242.0
IL,2008,1293.0
IL,2009,1267.0
IL,2010,1254.0
IL,2011,1237.0
IL,2012,1215.0
IL,2013,1156.0
IL,2014,1163.0
IL,2015,1171.0
IL,2016,1163.0
IL,2017,1172.0
IL,2018,1205.0
IL,2019,1213.0
IN,2005,822.0
IN,2006,874.0
IN,2007,888.0
IN,2008,916.0
IN,2009,896.0
IN,2010,867.0
IN,2011,860.0
IN,2012,834.0
IN,2013,822.0
IN,2014,840.0
IN,2015,842.0
IN,2016,818.0
IN,2017,835.0
IN,2018,853.0
IN,2019,874.0
IA,2005,724.0
IA,2006,780.0
IA,2007,798.0
IA,2008,823.0
IA,2009,821.0
IA,2010,819.0
IA,2011,829.0
IA,2012,817.0
IA,2013,806.0
IA,2014,843.0
IA,2015,834.0
IA,2016,847.0
IA,2017,879.0
IA,2018,886.0
IA,2019,924.0
KS,2005,776.0
KS,2006,827.0
KS,2007,847.0
KS,2008,887.0
