state,year,population
AL,1990,4050055
AK,1990,553290
AZ,1990,3684097
AR,1990,2356586
CA,1990,29959515
CO,1990,3307618
CT,1990,3291967
DE,1990,669567
DC,1990,605321
FL,1990,13033307
GA,1990,6512602
HI,1990,1113491
ID,1990,1012384
IL,1990,11453316
IN,1990,5557798
IA,1990,2781018
KS,1990,2481349
KY,1990,3694048
LA,1990,4221532
ME,1990,1231719
MD,1990,4799770
MA,1990,6022639
MI,1990,9311319
MN,1990,4389857
MS,1990,2578897
MO,1990,5128880
MT,1990,800204
NE,1990,1581660
NV,1990,1220695
NH,1990,1112384
NJ,1990,7762963
NM,1990,1521574
NY,1990,18020784
NC,1990,6664016
ND,1990,637685
OH,1990,10864162
OK,1990,3148825
OR,1990,2860375
PA,1990,11903299
RI,1990,1005995
SC,1990,3501155
SD,1990,697101
TN,1990,4894492
TX,1990,17056755
UT,1990,1731223
VT,1990,564798
VA,1990,6216884
WA,1990,4903043
WV,1990,1792548
WI,1990,4904562
WY,1990,453690
AL,1991,4099156
AK,1991,570193
AZ,1991,3788576
AR,1991,2383144
CA,1991,30470736
CO,1991,3387119
CT,1991,3302895
DE,1991,683080
DC,1991,600870
FL,1991,13369798
GA,1991,6653005
HI,1991,1136754
ID,1991,1041316
IL,1991,11568964
IN,1991,5616388
IA,1991,2797613
KS,1991,2498722
KY,1991,3722328
LA,1991,4253279
ME,1991,1237081
MD,1991,4867641
MA,1991,6018470
MI,1991,9400446
MN,1991,4440859
MS,1991,2598733
MO,1991,5170800
MT,1991,809680
NE,1991,1595919
NV,1991,1296171
NH,1991,1109929
NJ,1991,7814676
NM,1991,1555305
NY,1991,18122510
NC,1991,6784280
ND,1991,635753
OH,1991,10945762
OK,1991,3175440
OR,1991,2928507
PA,1991,11982164
RI,1991,1010649
SC,1991,3570404
SD,1991,703669
TN,1991,4966587
TX,1991,17398005
UT,1991,1779780
VT,1991,568606
VA,1991,6301217
WA,1991,5025624
WV,1991,1798735
WI,1991,4964343
WY,1991,459260
AL,1992,4154014
AK,1992,588736
AZ,1992,3915740
AR,1992,2415984
CA,1992,30974659
CO,1992,3495939
CT,1992,3300712
DE,1992,694925
DC,1992,597565
FL,1992,13650553
GA,1992,6817203
HI,1992,1158613
ID,1992,1071685
IL,1992,11694184
IN,1992,5674547
IA,1992,2818401
KS,1992,2532394
KY,1992,3765469
LA,1992,4293003
ME,1992,1238508
MD,1992,4923368
MA,1992,6028709
MI,1992,9479065
MN,1992,4495572
MS,1992,2623734
MO,1992,5217101
MT,1992,825770
NE,1992,1611687
NV,1992,1351367
NH,1992,1117784
NJ,1992,7880508
NM,1992,1595442
NY,1992,18246653
NC,1992,6897214
ND,1992,638223
OH,1992,11029431
OK,1992,3220517
OR,1992,2991755
PA,1992,12049450
RI,1992,1012581
SC,1992,3620464
SD,1992,712801
TN,1992,5049742
TX,1992,17759738
UT,1992,1836799
VT,1992,572751
VA,1992,6414307
WA,1992,5160757
WV,1992,1806451
WI,1992,5025398
WY,1992,466251
AL,1993,4214202
AK,1993,599432
AZ,1993,4065440
AR,1993,2456303
CA,1993,31274928
CO,1993,3613734
CT,1993,3309175
DE,1993,706378
DC,1993,595301
FL,1993,13927185
GA,1993,6978240
HI,1993,1172838
ID,1993,1108768
IL,1993,11809579
IN,1993,5739019
IA,1993,2836972
KS,1993,2556547
KY,1993,3812206
LA,1993,4316428
ME,1993,1242302
MD,1993,4971889
MA,1993,6060569
MI,1993,9540114
MN,1993,4555954
MS,1993,2655100
MO,1993,5271175
MT,1993,844761
NE,1993,1625590
NV,1993,1411215
NH,1993,1129458
NJ,1993,7948915
NM,1993,1636453
NY,1993,18374954
NC,1993,7042818
ND,1993,641216
OH,1993,11101140
OK,1993,3252285
OR,1993,3060367
PA,1993,12119724
RI,1993,1015112
SC,1993,3663314
SD,1993,722159
TN,1993,5137584
TX,1993,18161612
UT,1993,1898404
VT,1993,577748
VA,1993,6509630
WA,1993,5278842
WV,1993,1817539
WI,1993,5084889
WY,1993,473081
AL,1994,4260229
AK,1994,603308
AZ,1994,4245089
AR,1994,2494019
CA,1994,31484435
CO,1994,3724168
CT,1994,3316121
DE,1994,717545
DC,1994,589239
FL,1994,14239444
GA,1994,7157165
HI,1994,1187536
ID,1994,1145140
IL,1994,11912585
IN,1994,5793526
IA,1994,2850746
KS,1994,2580513
KY,1994,3849088
LA,1994,4347481
ME,1994,1242662
MD,1994,5023060
MA,1994,6095241
MI,1994,9597737
MN,1994,4610355
MS,1994,2688992
MO,1994,5324497
MT,1994,861306
NE,1994,1639041
NV,1994,1499298
NH,1994,1142560
NJ,1994,8014306
NM,1994,1682398
NY,1994,18459470
NC,1994,7187398
ND,1994,644804
OH,1994,11152454
OK,1994,3280940
OR,1994,3121264
PA,1994,12166050
RI,1994,1015960
SC,1994,3705397
SD,1994,730790
TN,1994,5231438
TX,1994,18564062
UT,1994,1960446
VT,1994,583836
VA,1994,6593139
WA,1994,5375161
WV,1994,1820421
WI,1994,5133678
WY,1994,480283
AL,1995,4296800
AK,1995,604412
AZ,1995,4432499
AR,1995,2535399
CA,1995,31696582
CO,1995,3826653
CT,1995,3324144
DE,1995,729734
DC,1995,580517
FL,1995,14537875
GA,1995,7328413
HI,1995,1196854
ID,1995,1177322
IL,1995,12008437
IN,1995,5851459
IA,1995,2867373
KS,1995,2601007
KY,1995,3887427
LA,1995,4378779
ME,1995,1243480
MD,1995,5070033
MA,1995,6141445
MI,1995,9676211
MN,1995,4660180
MS,1995,2722659
MO,1995,5378247
MT,1995,876553
NE,1995,1656992
NV,1995,1581578
NH,1995,1157561
NJ,1995,8083242
NM,1995,1720394
NY,1995,18524104
NC,1995,7344674
ND,1995,647832
OH,1995,11202751
OK,1995,3308208
OR,1995,3184369
PA,1995,12198403
RI,1995,1017002
SC,1995,3748582
SD,1995,737925
TN,1995,5326936
TX,1995,18958751
UT,1995,2014177
VT,1995,589002
VA,1995,6670693
WA,1995,5481027
WV,1995,1823700
WI,1995,5184836
WY,1995,485160
AL,1996,4331102
AK,1996,608569
AZ,1996,4586940
AR,1996,2572109
CA,1996,32018834
CO,1996,3919972
CT,1996,3336685
DE,1996,740977
DC,1996,572377
FL,1996,14853360
GA,1996,7501069
HI,1996,1203755
ID,1996,1203083
IL,1996,12101997
IN,1996,5906013
IA,1996,2880000
KS,1996,2614554
KY,1996,3919535
LA,1996,4398877
ME,1996,1249060
MD,1996,5111986
MA,1996,6179756
MI,1996,9758645
MN,1996,4712827
MS,1996,2748085
MO,1996,5431553
MT,1996,886254
NE,1996,1673740
NV,1996,1666320
NH,1996,1174719
NJ,1996,8149596
NM,1996,1752326
NY,1996,18588460
NC,1996,7500670
ND,1996,650382
OH,1996,11242827
OK,1996,3340129
OR,1996,3247111
PA,1996,12220464
RI,1996,1020893
SC,1996,3796200
SD,1996,742213
TN,1996,5416643
TX,1996,19340342
UT,1996,2067976
VT,1996,593701
VA,1996,6750884
WA,1996,5569753
WV,1996,1822808
WI,1996,5229986
WY,1996,488167
AL,1997,4367935
AK,1997,612968
AZ,1997,4736990
AR,1997,2601090
CA,1997,32486010
CO,1997,4018293
CT,1997,3349348
DE,1997,751487
DC,1997,567736
FL,1997,15186304
GA,1997,7685099
HI,1997,1211640
ID,1997,1228520
IL,1997,12185715
IN,1997,5955267
IA,1997,2891119
KS,1997,2635292
KY,1997,3952747
LA,1997,4421071
ME,1997,1254774
MD,1997,5157328
MA,1997,6226058
MI,1997,9809051
MN,1997,4763390
MS,1997,2777004
MO,1997,5481193
MT,1997,889865
NE,1997,1686418
NV,1997,1764104
NH,1997,1189425
NJ,1997,8218808
NM,1997,1774839
NY,1997,18656546
NC,1997,7656825
ND,1997,649716
OH,1997,11277357
OK,1997,3372917
OR,1997,3304310
PA,1997,12227814
RI,1997,1025353
SC,1997,3859696
SD,1997,744223
TN,1997,5499233
TX,1997,19740317
UT,1997,2119784
VT,1997,597239
VA,1997,6829183
WA,1997,5674747
WV,1997,1819113
WI,1997,5266213
WY,1997,489451
AL,1998,4404701
AK,1998,619932
AZ,1998,4883342
AR,1998,2626289
CA,1998,32987675
CO,1998,4116639
CT,1998,3365352
DE,1998,763335
DC,1998,565230
FL,1998,15486559
GA,1998,7863536
HI,1998,1215233
ID,1998,1252330
IL,1998,12271847
IN,1998,5998880
IA,1998,2902872
KS,1998,2660598
KY,1998,3985390
LA,1998,4440344
ME,1998,1259127
MD,1998,5204464
MA,1998,6271838
MI,1998,9847942
MN,1998,4813412
MS,1998,2804834
MO,1998,5521765
MT,1998,892431
NE,1998,1695816
NV,1998,1853191
NH,1998,1205940
NJ,1998,8287418
NM,1998,1793484
NY,1998,18755906
NC,1998,7809121
ND,1998,647532
OH,1998,11311536
OK,1998,3405194
OR,1998,3352449
PA,1998,12245672
RI,1998,1031155
SC,1998,3919235
SD,1998,746058
TN,1998,5570045
TX,1998,20157531
UT,1998,2165960
VT,1998,600416
VA,1998,6900918
WA,1998,5769562
WV,1998,1815609
WI,1998,5297672
WY,1998,490787
AL,1999,4430141
AK,1999,624779
AZ,1999,5023823
AR,1999,2651860
CA,1999,33499204
CO,1999,4226018
CT,1999,3386401
DE,1999,774990
DC,1999,570213
FL,1999,15759421
GA,1999,8045965
HI,1999,1210300
ID,1999,1275674
IL,1999,12359020
IN,1999,6044969
IA,1999,2917634
KS,1999,2678338
KY,1999,4018053
LA,1999,4460811
ME,1999,1266808
MD,1999,5254509
MA,1999,6317345
MI,1999,9897116
MN,1999,4873481
MS,1999,2828408
MO,1999,5561948
MT,1999,897507
NE,1999,1704764
NV,1999,1934718
NH,1999,1222014
NJ,1999,8359592
NM,1999,1808082
NY,1999,18882725
NC,1999,7949361
ND,1999,644259
OH,1999,11335454
OK,1999,3437147
OR,1999,3393941
PA,1999,12263805
RI,1999,1040402
SC,1999,3974682
SD,1999,750412
TN,1999,5638706
TX,1999,20558220
UT,1999,2203482
VT,1999,604683
VA,1999,7000174
WA,1999,5842564
WV,1999,1811799
WI,1999,5332666
WY,1999,491780
AL,2000,4452173
AK,2000,627963
AZ,2000,5160586
AR,2000,2678588
CA,2000,33987977
CO,2000,4326921
CT,2000,3411777
DE,2000,786373
DC,2000,572046
FL,2000,16047515
GA,2000,8227303
HI,2000,1213519
ID,2000,1299430
IL,2000,12434161
IN,2000,6091866
IA,2000,2929067
KS,2000,2693681
KY,2000,4049021
LA,2000,4471885
ME,2000,1277072
MD,2000,5311034
MA,2000,6361104
MI,2000,9952450
MN,2000,4933692
MS,2000,2848353
MO,2000,5607285
MT,2000,903773
NE,2000,1713820
NV,2000,2018741
NH,2000,1239882
NJ,2000,8430621
NM,2000,1821204
NY,2000,19001780
NC,2000,8081614
ND,2000,642023
OH,2000,11363543
OK,2000,3454365
OR,2000,3429708
PA,2000,12284173
RI,2000,1050268
SC,2000,4024223
SD,2000,755844
TN,2000,5703719
TX,2000,20944499
UT,2000,2244502
VT,2000,609618
VA,2000,7105817
WA,2000,5910512
WV,2000,1807021
WI,2000,5373999
WY,2000,494300
AL,2001,4467634
AK,2001,633714
AZ,2001,5273477
AR,2001,2691571
CA,2001,34479458
CO,2001,4425687
CT,2001,3432835
DE,2001,795699
DC,2001,574504
FL,2001,16356966
GA,2001,8377038
HI,2001,1225948
ID,2001,1319962
IL,2001,12488445
IN,2001,6127760
IA,2001,2931997
KS,2001,2702162
KY,2001,4068132
LA,2001,4477875
ME,2001,1285692
MD,2001,5374691
MA,2001,6397634
MI,2001,9991120
MN,2001,4982796
MS,2001,2852994
MO,2001,5641142
MT,2001,906961
NE,2001,1719836
NV,2001,2098399
NH,2001,1255517
NJ,2001,8492671
NM,2001,1831690
NY,2001,19082838
NC,2001,8210122
ND,2001,639062
OH,2001,11387404
OK,2001,3467100
OR,2001,3467937
PA,2001,12298970
RI,2001,1057142
SC,2001,4064995
SD,2001,757972
TN,2001,5750789
TX,2001,21319622
UT,2001,2283715
VT,2001,612223
VA,2001,7198362
WA,2001,5985722
WV,2001,1801481
WI,2001,5406835
WY,2001,494657
AL,2002,4480089
AK,2002,642337
AZ,2002,5396255
AR,2002,2705927
CA,2002,34871843
CO,2002,4490406
CT,2002,3458749
DE,2002,806169
DC,2002,573158
FL,2002,16689370
GA,2002,8508256
HI,2002,1239613
ID,2002,1340372
IL,2002,12525556
IN,2002,6155967
IA,2002,2934234
KS,2002,2713535
KY,2002,4089875
LA,2002,4497267
ME,2002,1295960
MD,2002,5440389
MA,2002,6417206
MI,2002,10015710
MN,2002,5018935
MS,2002,2858681
MO,2002,5674825
MT,2002,911667
NE,2002,1728292
NV,2002,2173791
NH,2002,1269089
NJ,2002,8552643
NM,2002,1855309
NY,2002,19137800
NC,2002,8326201
ND,2002,638168
OH,2002,11407889
OK,2002,3489080
OR,2002,3513424
PA,2002,12331031
RI,2002,1065995
SC,2002,4107795
SD,2002,760020
TN,2002,5795918
TX,2002,21690325
UT,2002,2324815
VT,2002,615442
VA,2002,7286873
WA,2002,6052349
WV,2002,1805414
WI,2002,5445162
WY,2002,500017
AL,2003,4503491
AK,2003,648414
AZ,2003,5510364
AR,2003,2724816
CA,2003,35253159
CO,2003,4528732
CT,2003,3484336
DE,2003,818003
DC,2003,568502
FL,2003,17004085
GA,2003,8622793
HI,2003,1251154
ID,2003,1363380
IL,2003,12556006
IN,2003,6196638
IA,2003,2941999
KS,2003,2723004
KY,2003,4117170
LA,2003,4521042
ME,2003,1306513
MD,2003,5496269
MA,2003,6422565
MI,2003,10041152
MN,2003,5053572
MS,2003,2868312
MO,2003,5709403
MT,2003,919630
NE,2003,1738643
NV,2003,2248850
NH,2003,1279840
NJ,2003,8601402
NM,2003,1877574
NY,2003,19175939
NC,2003,8422501
ND,2003,638817
OH,2003,11434788
OK,2003,3504892
OR,2003,3547376
PA,2003,12374658
RI,2003,1071342
SC,2003,4150297
SD,2003,763729
TN,2003,5847812
TX,2003,22030931
UT,2003,2360137
VT,2003,617858
VA,2003,7366977
WA,2003,6104115
WV,2003,1812295
WI,2003,5479203
WY,2003,503453
AL,2004,4530729
AK,2004,659286
AZ,2004,5652404
AR,2004,2749686
CA,2004,35574576
CO,2004,4575013
CT,2004,3496094
DE,2004,830803
DC,2004,567754
FL,2004,17415318
GA,2004,8769252
HI,2004,1273569
ID,2004,1391802
IL,2004,12589773
IN,2004,6233007
IA,2004,2953635
KS,2004,2734373
KY,2004,4146101
LA,2004,4552238
ME,2004,1313688
MD,2004,5546935
MA,2004,6412281
MI,2004,10055315
MN,2004,5087713
MS,2004,2889010
MO,2004,5747741
MT,2004,930009
NE,2004,1749370
NV,2004,2346222
NH,2004,1290121
NJ,2004,8634561
NM,2004,1903808
NY,2004,19171567
NC,2004,8553152
ND,2004,644705
OH,2004,11452251
OK,2004,3525233
OR,2004,3569463
PA,2004,12410722
RI,2004,1074579
SC,2004,4210921
SD,2004,770396
TN,2004,5910809
TX,2004,22394023
UT,2004,2401580
VT,2004,619920
VA,2004,7475575
WA,2004,6178645
WV,2004,1816438
WI,2004,5514026
WY,2004,509106
AL,2005,4569805
AK,2005,666946
AZ,2005,5839077
AR,2005,2781097
CA,2005,35827943
CO,2005,4631888
CT,2005,3506956
DE,2005,845150
DC,2005,567136
FL,2005,17842038
