sa,naics_sector,series,geo,year,annual_total
U,Total for All NAICS,Business Applications,US,2021,5364025.0
U,Agriculture,Business Applications,US,2021,53300.0
U,Mining,Business Applications,US,2021,5987.0
U,Utilities,Business Applications,US,2021,5132.0
U,Construction,Business Applications,US,2021,485732.0
U,Manufacturing,Business Applications,US,2021,77466.0
U,Wholesale Trade,Business Applications,US,2021,118949.0
U,Retail Trade,Business Applications,US,2021,979792.0
U,Transportation and Warehousing,Business Applications,US,2021,481267.0
U,Information,Business Applications,US,2021,101319.0
U,Finance and Insurance,Business Applications,US,2021,246115.0
U,Real Estate,Business Applications,US,2021,286404.0
U,Professional Services,Business Applications,US,2021,626289.0
U,Management of Companies,Business Applications,US,2021,51922.0
U,Administrative and Support,Business Applications,US,2021,371640.0
U,Educational Services,Business Applications,US,2021,71764.0
U,Health Care and Social Assistance,Business Applications,US,2021,300270.0
U,Arts and Entertainment,Business Applications,US,2021,158740.0
U,Accommodation and Food Services,Business Applications,US,2021,306164.0
U,Other Services,Business Applications,US,2021,495765.0
U,No NAICS Assigned,Business Applications,US,2021,140008.0
A,Total for All NAICS,Business Applications,US,2021,5385755.0
A,Agriculture,Business Applications,US,2021,52972.0
A,Mining,Business Applications,US,2021,6067.0
A,Utilities,Business Applications,US,2021,5149.0
A,Construction,Business Applications,US,2021,488988.0
A,Manufacturing,Business Applications,US,2021,77214.0
A,Wholesale Trade,Business Applications,US,2021,118808.0
A,Retail Trade,Business Applications,US,2021,978169.0
A,Transportation and Warehousing,Business Applications,US,2021,486382.0
A,Information,Business Applications,US,2021,101156.0
A,Finance and Insurance,Business Applications,US,2021,246854.0
A,Real Estate,Business Applications,US,2021,288888.0
A,Professional Services,Business Applications,US,2021,630947.0
A,Management of Companies,Business Applications,US,2021,51972.0
A,Administrative and Support,Business Applications,US,2021,372211.0
A,Educational Services,Business Applications,US,2021,72026.0
A,Health Care and Social Assistance,Business Applications,US,2021,301827.0
A,Arts and Entertainment,Business Applications,US,2021,159568.0
A,Accommodation and Food Services,Business Applications,US,2021,307668.0
A,Other Services,Business Applications,US,2021,495608.0
A,No NAICS Assigned,Business Applications,US,2021,143289.0
U,Total for All NAICS,Business Applications,NO,2021,797872.0
A,Total for All NAICS,Business Applications,NO,2021,801615.0
U,Total for All NAICS,Business Applications,MW,2021,901309.0
A,Total for All NAICS,Business Applications,MW,2021,902169.0
U,Total for All NAICS,Business Applications,SO,2021,2519095.0
A,Total for All NAICS,Business Applications,SO,2021,2530423.0
U,Total for All NAICS,Business Applications,WE,2021,1145749.0
A,Total for All NAICS,Business Applications,WE,2021,1151548.0
U,Total for All NAICS,Business Applications,AL,2021,75233.0
A,Total for All NAICS,Business Applications,AL,2021,75358.0
U,Total for All NAICS,Business Applications,AK,2021,8030.0
A,Total for All NAICS,Business Applications,AK,2021,8083.0
U,Total for All NAICS,Business Applications,AZ,2021,112846.0
A,Total for All NAICS,Business Applications,AZ,2021,113421.0
U,Total for All NAICS,Business Applications,AR,2021,41361.0
A,Total for All NAICS,Business Applications,AR,2021,41569.0
U,Total for All NAICS,Business Applications,CA,2021,518003.0
A,Total for All NAICS,Business Applications,CA,2021,520421.0
U,Total for All NAICS,Business Applications,CO,2021,110562.0
A,Total for All NAICS,Business Applications,CO,2021,111347.0
U,Total for All NAICS,Business Applications,CT,2021,47078.0
A,Total for All NAICS,Business Applications,CT,2021,47336.0
U,Total for All NAICS,Business Applications,DE,2021,44532.0
A,Total for All NAICS,Business Applications,DE,2021,44774.0
