state,year,subsidies,taxes_on_production_and_imports_(topi),gdp_compensation,gdp_current_dollar,gdp_gross_operating_surplus
AK,1997,-62900000.0,2464700000.0,12347800000.0,25810800000.0,11061300000.0
AK,1998,-54700000.0,2003900000.0,12889600000.0,24227500000.0,9388700000.0
AK,1999,-56400000.0,1983100000.0,13127500000.0,24744300000.0,9690100000.0
AK,2000,-57500000.0,2515400000.0,13893000000.0,26806600000.0,10455700000.0
AK,2001,-112300000.0,2385900000.0,14883300000.0,28494100000.0,11337100000.0
AK,2002,-72900000.0,2162300000.0,15703700000.0,29756800000.0,11963700000.0
AK,2003,-103300000.0,2308000000.0,16522000000.0,32037900000.0,13311200000.0
AK,2004,-91900000.0,2503400000.0,17454300000.0,35302400000.0,15436600000.0
AK,2005,-104300000.0,2857100000.0,18584700000.0,40356600000.0,19019100000.0
AK,2006,-101600000.0,3194800000.0,19600300000.0,45094100000.0,22400600000.0
AK,2007,-97700000.0,4888500000.0,20790200000.0,49583700000.0,24002800000.0
AK,2008,-92000000.0,10077900000.0,21813100000.0,55122500000.0,23323400000.0
AK,2009,-116200000.0,4673800000.0,22533600000.0,49957800000.0,22866500000.0
AK,2010,-119100000.0,5840500000.0,23170800000.0,53331600000.0,24439300000.0
AK,2011,-136300000.0,7378000000.0,24458400000.0,56896300000.0,25196200000.0
AK,2012,-130699999.99999999,7856200000.0,25739100000.0,58283600000.0,24819100000.0
AK,2013,-124600000.0,8367500000.0,26362200000.0,57247700000.0,22642500000.0
AK,2014,-134900000.0,5621800000.0,27139900000.0,56484900000.0,23858100000.0
AK,2015,-129199999.99999999,2974400000.0,27826300000.0,51490900000.0,20819400000.0
AK,2016,-130400000.0,3332000000.0,27170600000.0,50727700000.0,20355500000.0
AK,2017,-107500000.0,3773700000.0,27133000000.0,53089300000.0,22290200000.0
AK,2018,-111300000.0,4377300000.0,28299900000.0,54711700000.0,22145800000.0
AK,2019,-112900000.0,4476400000.0,29108000000.0,54547100000.0,21075600000.0
AK,2020,-1677200000.0,4240899999.9999995,28797900000.0,49820000000.0,18458300000.0
AL,1997,-274500000.0,6754800000.0,61083800000.0,104811900000.0,37247900000.0
AL,1998,-292900000.0,6968300000.0,64168600000.0,110212000000.0,39368100000.0
AL,1999,-388400000.0,7329600000.0,67225100000.00001,115680100000.0,41513700000.0
AL,2000,-364700000.0,7868600000.0,69764400000.0,119851700000.0,42583400000.0
AL,2001,-475800000.0,8004300000.0,72038400000.0,122915500000.0,43348600000.0
AL,2002,-504700000.0,8050200000.0,74152300000.0,127505000000.0,45807100000.0
AL,2003,-467700000.0,8434700000.000001,77085000000.0,134152600000.0,49100600000.0
AL,2004,-416400000.0,8995700000.0,81588900000.0,147715200000.0,57547000000.0
AL,2005,-560500000.0,9913500000.0,86356800000.0,158846800000.0,63137000000.0
AL,2006,-503500000.0,10571300000.0,91148000000.0,166469000000.0,65253300000.0
AL,2007,-458700000.0,10850900000.0,95286400000.0,172975200000.0,67296600000.00001
