state,year,house_low_value_quartile,house_median_value,house_upper_value_quartile
AL,2005,59400.0,97500.0,162500.0
AL,2006,64200.0,107000.0,174900.0
AL,2007,68900.0,115600.0,187700.0
AL,2008,68300.0,121500.0,200600.0
AL,2009,67400.0,119600.0,197200.0
AL,2012,69500.0,123200.0,200300.0
AL,2013,69000.0,122700.0,200500.0
AL,2014,69700.0,125600.0,207100.0
AL,2015,75700.0,134100.0,219600.0
AL,2016,76900.0,136200.0,221600.0
AL,2017,78800.0,141300.0,231300.0
AL,2018,81300.0,147900.0,239300.0
AL,2019,84700.0,154000.0,244500.0
AK,2005,133000.0,197100.0,275100.0
AK,2006,143900.0,213200.0,301900.0
AK,2007,157500.0,231300.0,331500.0
AK,2008,160600.0,237800.0,337100.0
AK,2009,156000.0,232900.0,319700.0
AK,2012,166400.0,245100.0,338700.0
AK,2013,175000.0,254000.0,349800.0
AK,2014,170600.0,254500.0,349400.0
AK,2015,172600.0,259600.0,362700.0
AK,2016,180600.0,267800.0,376100.0
AK,2017,180800.0,273100.0,375100.0
AK,2018,184900.0,276100.0,378500.0
AK,2019,188100.0,281200.0,382300.0
AZ,2005,116000.0,185400.0,303500.0
AZ,2006,148100.0,236500.0,376100.0
AZ,2007,157400.0,237700.0,372700.0
AZ,2008,153800.0,229200.0,349800.0
AZ,2009,119600.0,187700.0,294700.0
AZ,2012,88300.0,151500.0,251700.0
AZ,2013,97400.0,166000.0,271900.0
AZ,2014,105000.0,176700.0,291500.0
AZ,2015,118900.0,194300.0,308400.0
AZ,2016,127200.0,205900.0,319300.0
AZ,2017,142000.0,223400.0,343400.0
AZ,2018,156100.0,241100.0,360300.0
AZ,2019,168100.0,255900.0,377700.0
AR,2005,53400.0,87400.0,143300.0
AR,2006,58100.0,93900.0,154300.0
AR,2007,60200.0,101000.0,166200.0
AR,2008,61500.0,105700.0,170700.0
AR,2009,59700.0,102900.0,168200.0
AR,2012,63900.0,107600.0,174300.0
AR,2013,63200.0,109500.0,174000.0
AR,2014,63900.0,112500.0,178700.0
AR,2015,71400.0,120700.0,191200.0
AR,2016,72100.0,123300.0,196700.0
AR,2017,74900.0,128500.0,201900.0
AR,2018,75800.0,133100.0,212600.0
AR,2019,77400.0,136200.0,216600.0
CA,2005,313300.0,477700.0,701000.0
