state,year,median_age
AL,2005,37.4
AL,2006,37.2
AL,2007,37.3
AL,2008,37.4
AL,2009,37.4
AL,2010,37.8
AL,2011,38.1
AL,2012,38.2
AL,2013,38.3
AL,2014,38.6
AL,2015,38.7
AL,2016,39.0
AL,2017,38.9
AL,2018,39.3
AL,2019,39.4
AK,2005,33.9
AK,2006,33.5
AK,2007,33.3
AK,2008,33.0
AK,2009,32.6
AK,2010,33.8
AK,2011,33.9
AK,2012,33.8
AK,2013,33.1
AK,2014,33.3
AK,2015,33.3
AK,2016,33.5
AK,2017,34.5
AK,2018,34.9
AK,2019,35.0
AZ,2005,34.5
AZ,2006,34.6
AZ,2007,34.9
AZ,2008,35.1
AZ,2009,34.9
AZ,2010,35.9
AZ,2011,36.2
AZ,2012,36.6
AZ,2013,36.8
AZ,2014,36.9
AZ,2015,37.4
AZ,2016,37.5
AZ,2017,37.7
AZ,2018,38.0
AZ,2019,38.3
AR,2005,37.0
AR,2006,37.1
AR,2007,37.0
AR,2008,37.3
AR,2009,37.1
AR,2010,37.3
AR,2011,37.5
AR,2012,37.6
AR,2013,37.8
AR,2014,37.8
AR,2015,37.9
AR,2016,38.0
AR,2017,38.1
AR,2018,38.1
AR,2019,38.8
CA,2005,34.4
CA,2006,34.4
CA,2007,34.7
CA,2008,34.9
CA,2009,34.9
CA,2010,35.2
CA,2011,35.4
CA,2012,35.5
CA,2013,35.7
CA,2014,36.0
CA,2015,36.2
CA,2016,36.4
CA,2017,36.5
CA,2018,36.7
CA,2019,37.0
CO,2005,34.7
CO,2006,35.4
CO,2007,35.7
CO,2008,35.8
CO,2009,35.7
CO,2010,36.0
CO,2011,36.2
CO,2012,36.2
CO,2013,36.4
CO,2014,36.3
CO,2015,36.4
CO,2016,36.7
CO,2017,36.8
CO,2018,36.9
CO,2019,37.1
CT,2005,39.3
CT,2006,39.1
CT,2007,39.1
CT,2008,39.3
CT,2009,39.5
CT,2010,40.0
CT,2011,40.3
CT,2012,40.4
CT,2013,40.5
CT,2014,40.5
CT,2015,40.6
CT,2016,40.9
CT,2017,40.9
CT,2018,41.1
CT,2019,41.2
DE,2005,37.9
DE,2006,37.5
DE,2007,37.8
DE,2008,38.3
DE,2009,38.2
DE,2010,38.8
DE,2011,39.1
DE,2012,39.2
DE,2013,39.1
DE,2014,39.6
DE,2015,39.7
DE,2016,40.6
DE,2017,40.1
DE,2018,41.1
DE,2019,41.4
DC,2005,35.9
DC,2006,35.0
DC,2007,34.9
DC,2008,34.9
DC,2009,35.1
DC,2010,33.9
DC,2011,33.4
DC,2012,33.7
DC,2013,33.8
DC,2014,33.8
DC,2015,33.8
DC,2016,33.9
DC,2017,34.0
DC,2018,33.9
