state,year,education_level,median_income
Alabama,2008,Regular high school diploma,801711
Alabama,2009,Regular high school diploma,797598
Alabama,2010,Regular high school diploma,817024
Alabama,2011,Regular high school diploma,818373
Alabama,2012,Regular high school diploma,826740
Alabama,2013,Regular high school diploma,824476
Alabama,2014,Regular high school diploma,847523
Alabama,2015,Regular high school diploma,823871
Alabama,2016,Regular high school diploma,831521
Alabama,2017,Regular high school diploma,850231
Alabama,2018,Regular high school diploma,848061
Alabama,2019,Regular high school diploma,862665
Alaska,2008,Regular high school diploma,92760
Alaska,2009,Regular high school diploma,95366
Alaska,2010,Regular high school diploma,92880
Alaska,2011,Regular high school diploma,104706
Alaska,2012,Regular high school diploma,106047
Alaska,2013,Regular high school diploma,106234
Alaska,2014,Regular high school diploma,108523
Alaska,2015,Regular high school diploma,103684
Alaska,2016,Regular high school diploma,107185
Alaska,2017,Regular high school diploma,105599
Alaska,2018,Regular high school diploma,111553
Alaska,2019,Regular high school diploma,115044
Arizona,2008,Regular high school diploma,883096
Arizona,2009,Regular high school diploma,891969
Arizona,2010,Regular high school diploma,872239
Arizona,2011,Regular high school diploma,869809
Arizona,2012,Regular high school diploma,864774
Arizona,2013,Regular high school diploma,902311
Arizona,2014,Regular high school diploma,899108
Arizona,2015,Regular high school diploma,923788
Arizona,2016,Regular high school diploma,924912
Arizona,2017,Regular high school diploma,949695
Arizona,2018,Regular high school diploma,970146
Arizona,2019,Regular high school diploma,967328
Arkansas,2008,Regular high school diploma,553980
Arkansas,2009,Regular high school diploma,544562
Arkansas,2010,Regular high school diploma,553179
Arkansas,2011,Regular high school diploma,576505
Arkansas,2012,Regular high school diploma,566530
Arkansas,2013,Regular high school diploma,570932
Arkansas,2014,Regular high school diploma,568437
Arkansas,2015,Regular high school diploma,550196
Arkansas,2016,Regular high school diploma,552084
Arkansas,2017,Regular high school diploma,557166
Arkansas,2018,Regular high school diploma,570551
Arkansas,2019,Regular high school diploma,580998
California,2008,Regular high school diploma,4386305
California,2009,Regular high school diploma,4457919
California,2010,Regular high school diploma,4496875
California,2011,Regular high school diploma,4613751
California,2012,Regular high school diploma,4558433
California,2013,Regular high school diploma,4660364
California,2014,Regular high school diploma,4768478
California,2015,Regular high school diploma,4835298
California,2016,Regular high school diploma,4784486
California,2017,Regular high school diploma,4937316
California,2018,Regular high school diploma,4932237
California,2019,Regular high school diploma,4926010
Colorado,2008,Regular high school diploma,620536
Colorado,2009,Regular high school diploma,621150
Colorado,2010,Regular high school diploma,629426
Colorado,2011,Regular high school diploma,627471
Colorado,2012,Regular high school diploma,619568
Colorado,2013,Regular high school diploma,623953
Colorado,2014,Regular high school diploma,640470
Colorado,2015,Regular high school diploma,658172
Colorado,2016,Regular high school diploma,673089
Colorado,2017,Regular high school diploma,665293
Colorado,2018,Regular high school diploma,661387
Colorado,2019,Regular high school diploma,678101
Connecticut,2008,Regular high school diploma,585548
Connecticut,2009,Regular high school diploma,589020
Connecticut,2010,Regular high school diploma,609078
Connecticut,2011,Regular high school diploma,597976
Connecticut,2012,Regular high school diploma,607054
Connecticut,2013,Regular high school diploma,596039
Connecticut,2014,Regular high school diploma,599611
Connecticut,2015,Regular high school diploma,597727
Connecticut,2016,Regular high school diploma,597334
Connecticut,2017,Regular high school diploma,599504
Connecticut,2018,Regular high school diploma,594528
Connecticut,2019,Regular high school diploma,587402
Delaware,2008,Regular high school diploma,162323
Delaware,2009,Regular high school diploma,165267
Delaware,2010,Regular high school diploma,174852
Delaware,2011,Regular high school diploma,173692
Delaware,2012,Regular high school diploma,173099
Delaware,2013,Regular high school diploma,175148
Delaware,2014,Regular high school diploma,178275
Delaware,2015,Regular high school diploma,171293
Delaware,2016,Regular high school diploma,188694
Delaware,2017,Regular high school diploma,196249
Delaware,2018,Regular high school diploma,206004
Delaware,2019,Regular high school diploma,183375
District of Columbia,2008,Regular high school diploma,68599
District of Columbia,2009,Regular high school diploma,71520
District of Columbia,2010,Regular high school diploma,71709
District of Columbia,2011,Regular high school diploma,64742
District of Columbia,2012,Regular high school diploma,69175
District of Columbia,2013,Regular high school diploma,72608
District of Columbia,2014,Regular high school diploma,71358
District of Columbia,2015,Regular high school diploma,69891
District of Columbia,2016,Regular high school diploma,73974
District of Columbia,2017,Regular high school diploma,72373
District of Columbia,2018,Regular high school diploma,67855
District of Columbia,2019,Regular high school diploma,67492
Florida,2008,Regular high school diploma,3265311
Florida,2009,Regular high school diploma,3315145
Florida,2010,Regular high school diploma,3373011
Florida,2011,Regular high school diploma,3481927
Florida,2012,Regular high school diploma,3457338
Florida,2013,Regular high school diploma,3461436
Florida,2014,Regular high school diploma,3557737
Florida,2015,Regular high school diploma,3596122
Florida,2016,Regular high school diploma,3629364
Florida,2017,Regular high school diploma,3711112
Florida,2018,Regular high school diploma,3752049
Florida,2019,Regular high school diploma,3739283
Georgia,2008,Regular high school diploma,1521176
Georgia,2009,Regular high school diploma,1514549
Georgia,2010,Regular high school diploma,1516328
Georgia,2011,Regular high school diploma,1551404
Georgia,2012,Regular high school diploma,1492541
Georgia,2013,Regular high school diploma,1528378
Georgia,2014,Regular high school diploma,1552824
Georgia,2015,Regular high school diploma,1560987
Georgia,2016,Regular high school diploma,1550795
Georgia,2017,Regular high school diploma,1607824
Georgia,2018,Regular high school diploma,1612167
Georgia,2019,Regular high school diploma,1611419
Hawaii,2008,Regular high school diploma,229702
Hawaii,2009,Regular high school diploma,233047
Hawaii,2010,Regular high school diploma,242167
Hawaii,2011,Regular high school diploma,245566
Hawaii,2012,Regular high school diploma,244511
Hawaii,2013,Regular high school diploma,242657
Hawaii,2014,Regular high school diploma,256074
Hawaii,2015,Regular high school diploma,245751
Hawaii,2016,Regular high school diploma,255380
Hawaii,2017,Regular high school diploma,258133
Hawaii,2018,Regular high school diploma,244008
Hawaii,2019,Regular high school diploma,245865
Idaho,2008,Regular high school diploma,223911
Idaho,2009,Regular high school diploma,228808
Idaho,2010,Regular high school diploma,230584
Idaho,2011,Regular high school diploma,224424
Idaho,2012,Regular high school diploma,229196
Idaho,2013,Regular high school diploma,229258
Idaho,2014,Regular high school diploma,240690
Idaho,2015,Regular high school diploma,233224
Idaho,2016,Regular high school diploma,243314
Idaho,2017,Regular high school diploma,248246
Idaho,2018,Regular high school diploma,256141
Idaho,2019,Regular high school diploma,252180
Illinois,2008,Regular high school diploma,2002286
Illinois,2009,Regular high school diploma,2007000
Illinois,2010,Regular high school diploma,2035135
Illinois,2011,Regular high school diploma,2054602
Illinois,2012,Regular high school diploma,2006099
Illinois,2013,Regular high school diploma,2007048
Illinois,2014,Regular high school diploma,1985764
Illinois,2015,Regular high school diploma,2004321
Illinois,2016,Regular high school diploma,1942508
