year,state,pce_clothing_footwear_and_related_services,pce_communication,pce_education,pce_financial_services_and_insurance,pce_food_and_beverages_purchased_for_off-premises_consumption,pce_food_services_and_accommodations,pce_furnishings_household_equipment_and_routine_household_maintenance,pce_health,pce_housing_utilities_and_fuels,pce_other_goods_and_services,pce_total,pce_recreation,pce_transportation
1997,AK,552000000.0,193700000.0,255200000.0,848300000.0,1450000000.0,1091000000.0,701300000.0,1965500000.0,2457500000.0,1146800000.0,14205600000.0,1451200000.0,1711600000.0
1997,AL,3457300000.0,1875300000.0,1156500000.0,5026600000.0,7747300000.0,4278700000.0,3993800000.0,14574600000.0,13361000000.0,4375700000.0,77070900000.0,6744600000.0,9454500000.0
1997,AR,2186700000.0,881100000.0,715600000.0,2953100000.0,3952400000.0,2370000000.0,2245300000.0,7505800000.0,7595600000.0,2464000000.0,41941200000.0,3290300000.0,5312800000.0
1997,AZ,3830400000.0,1930400000.0,1600000000.0,6674700000.0,8135900000.0,6703500000.0,5342900000.0,13544900000.0,20212800000.0,6564900000.0,96365600000.0,8586500000.0,12454400000.0
1997,CA,33257500000.0,15812800000.0,12700500000.0,51494500000.0,54740400000.0,42657600000.0,32307800000.0,106739900000.0,132581500000.0,42047000000.0,676652200000.0,69924000000.0,75773900000.0
1997,CO,4048200000.0,1340800000.0,1730600000.0,6674600000.0,7265300000.0,6756600000.0,4964200000.0,12165600000.0,17467200000.0,5908900000.0,89413400000.0,10576500000.0,10965900000.0
1997,CT,4120200000.0,2088300000.0000002,2051800000.0000002,8506900000.0,6633500000.0,4070100000.0,3979700000.0,13847700000.0,13779100000.0,5598200000.0,82908800000.0,8105100000.0,9127100000.0
1997,DC,974100000.0,532900000.0,325600000.0,1361700000.0,1607100000.0,1153300000.0,805600000.0,3188400000.0,2654400000.0,2607800000.0,19210500000.0,1408200000.0,2370300000.0
1997,DE,856500000.0,401400000.0,376900000.0,1502300000.0,1448700000.0,1172100000.0,878000000.0,2686000000.0,3090400000.0,1139900000.0,17384100000.0,1715800000.0,1922100000.0
1997,FL,11879200000.0,7117100000.0,3866500000.0,27491100000.0,28922300000.0,24136300000.0,18714000000.0,53040300000.0,70895900000.0,21682400000.0,335569900000.0,30402100000.0,38134100000.0
1997,GA,7885500000.0,2582900000.0,2312800000.0,11135100000.0,13268600000.0,10309000000.0,8489600000.0,24650200000.0,28369200000.0,9683800000.0,151783300000.0,13275300000.0,20018000000.0
1997,HI,1588300000.0,485100000.0,492700000.0,1886400000.0,2581000000.0,1918800000.0,1088900000.0,4475500000.0,5105800000.0,1948600000.0,26737400000.0,2165600000.0,2268000000.0
1997,IA,2270600000.0,1108400000.0,1213400000.0,2963500000.0,4675800000.0,3100000000.0,2503900000.0,9314600000.0,9423100000.0,3570300000.0,54035400000.0,5492900000.0,6851400000.0
1997,ID,823400000.0,363200000.0,381700000.0,1616000000.0,2286300000.0,1287400000.0,1089000000.0,3127100000.0,4325800000.0,1165600000.0,21364600000.0,1949800000.0,2649900000.0
1997,IL,12814200000.0,5579000000.0,6620600000.0,20575500000.0,19453300000.0,15296900000.0,12106500000.0,40793200000.0,44506200000.0,18516500000.0,259106500000.0,23477200000.0,32018600000.0
1997,IN,5065200000.0,2031100000.0,2142300000.0000002,6482700000.0,10720100000.0,7224400000.0,6196700000.0,19070900000.0,19740200000.0,6908600000.0,111836400000.0,10151800000.0,13817100000.0
1997,KS,2094600000.0,1500800000.0,1133300000.0,3570700000.0,4775700000.0,2955800000.0,2459400000.0,8449700000.000001,8492600000.0,3056200000.0,50588100000.0,5226000000.0,6151200000.0
1997,KY,2962700000.0,984200000.0,1349300000.0,4222600000.0000005,6776300000.0,4435400000.0,3554200000.0,12984200000.0,11559300000.0,4689900000.0,69399400000.0,5592800000.0,8834000000.0
1997,LA,3527200000.0,1264000000.0,1103300000.0,4940700000.0,7720400000.0,4860600000.0,3981800000.0,14640100000.0,12714300000.0,5055100000.0,75087700000.0,5393500000.0,9186500000.0
1997,MA,7871200000.0,2774200000.0,3617200000.0,14402400000.0,12150300000.0,9623100000.0,6435900000.0,27822800000.0,26340500000.0,9902100000.0,153441600000.0,15298500000.0,15238400000.0
1997,MD,5559500000.0,2303900000.0,2418300000.0,8203100000.0,9311500000.0,6608300000.0,5534500000.0,18564600000.0,22374200000.0,8011700000.0,113678500000.0,10995500000.0,12017600000.0
1997,ME,1132200000.0,350600000.0,603100000.0,1646300000.0,2425200000.0,1534900000.0,1084900000.0,4298000000.0,4760200000.0,1837000000.0,25469300000.0,2159700000.0,2764900000.0
1997,MI,9291100000.0,3490000000.0,4303000000.0,13556500000.0,17757500000.0,10934900000.0,10066200000.0,32595100000.0,34491700000.0,13212700000.0,193173800000.0,16474700000.0,22303700000.0
1997,MN,4646900000.0,2220600000.0,2402400000.0,8005600000.0,8696000000.0,5895000000.0,4820500000.0,19182600000.0,19053000000.0,6526900000.0,108043500000.0,10208700000.0,13043000000.0
1997,MO,4572000000.0,2521700000.0,2186400000.0,7925100000.0,9316300000.0,6749400000.0,5059200000.0,18386500000.0,18090500000.0,6817400000.0,110300500000.0,11953300000.0,14236200000.0
1997,MS,1995600000.0,699100000.0,704400000.0,2148400000.0,4456900000.0,2420100000.0,2193900000.0,8269200000.000001,7816800000.0,2511000000.0,42091600000.0,3131500000.0,5215300000.0
1997,MT,601600000.0,322200000.0,317000000.0,1004500000.0,1633400000.0,1097000000.0,769900000.0,2577200000.0,2778400000.0,1116800000.0,16222700000.0,1515700000.0,1998400000.0
1997,NC,7184800000.0,3200500000.0,2062900000.0,11270000000.0,13720500000.0,9174100000.0,8867600000.0,24089100000.0,27000500000.0,9664000000.0,147629300000.0,12702700000.0,18020200000.0
1997,ND,579100000.0,216400000.0,248700000.0,891700000.0,1093600000.0,738800000.0,663200000.0,2272600000.0,1934700000.0,734500000.0,12002400000.0,953900000.0,1314900000.0
1997,NE,1389200000.0,698600000.0,763300000.0,2771900000.0,2853000000.0,1954800000.0,1608900000.0,5180400000.0,5295600000.0,1921700000.0,32233800000.0,2910300000.0,4050700000.0
1997,NH,1521600000.0,435700000.0,682800000.0,2615900000.0,2599100000.0,1611600000.0,1282800000.0,4268899999.9999995,5057500000.0,1571200000.0,27596300000.0,2303600000.0,3199500000.0
1997,NJ,11090300000.0,5172700000.0,5090400000.0,16159500000.0,15555300000.0,10078700000.0,9262100000.0,30692700000.0,37193200000.0,12733700000.0,192898900000.0,17833400000.0,19566900000.0
1997,NM,1250000000.0,654800000.0,575200000.0,2139000000.0,2860300000.0,2217700000.0,1617000000.0,5135500000.0,5696900000.0,2068100000.0,30740200000.0,2280200000.0,3934100000.0
1997,NV,1328700000.0,821600000.0,472900000.0,3443000000.0,3621700000.0,2607600000.0,2029700000.0,4843200000.0,8259700000.000001,2481800000.0,38853300000.0,3667800000.0,4649800000.0
1997,NY,19892100000.0,10042300000.0,7725300000.0,29717100000.0,27690100000.0,22416600000.0,15578400000.0,74490300000.0,73012300000.0,28715400000.0,381635800000.0,31819500000.0,32976300000.000004
1997,OH,10056300000.0,4157100000.0000005,4239200000.0,12659000000.0,19486300000.0,13735700000.0,12155600000.0,38291800000.0,37080600000.0,14552700000.0,218972300000.0,21098500000.0,25564500000.0
1997,OK,2701400000.0,1422600000.0,1090800000.0,3521200000.0,5010600000.0,3446300000.0,2869400000.0,9877200000.0,10232300000.0,3507500000.0,56738400000.0,4928100000.0,7527500000.0
1997,OR,3127300000.0,1258100000.0,1201600000.0,5344900000.0,6352500000.0,4507100000.0,3370800000.0,9303600000.0,12366000000.0,4290800000.0,66805899999.99999,6308600000.0,8608300000.0
1997,PA,11643000000.0,4758800000.0,6403100000.0,18872400000.0,20924100000.0,13596500000.0,11762500000.0,45969900000.0,44119000000.0,18923900000.0,255549400000.0,22341900000.0,26849700000.0
1997,RI,815000000.0,503900000.0,498300000.0,1659200000.0,1709200000.0,1312400000.0,776900000.0,3911200000.0,3717800000.0,1313700000.0,20710800000.0,1686800000.0,2210000000.0
1997,SC,3797500000.0,1366200000.0,1394700000.0,3986900000.0,6776500000.0,5028100000.0,3972500000.0,11595600000.0,13131600000.0,4437000000.0,70588300000.0,5988300000.0,8290000000.0
1997,SD,587400000.0,266000000.0,273000000.0,801600000.0,1195200000.0,885700000.0,691600000.0,2462300000.0,2150200000.0,865700000.0,13007600000.0,1137300000.0,1284000000.0
1997,TN,5390500000.0,1791700000.0,1392300000.0,6397600000.0,9399700000.0,7040900000.0,6157600000.0,19239100000.0,17988700000.0,6922000000.0,105743600000.0,9231800000.0,13967800000.0
1997,TX,19290300000.0,10717900000.0,6570600000.0,28240400000.0,32634500000.0,24129000000.0,20063100000.0,59279300000.0,68993600000.0,24148100000.0,376030300000.0,33165500000.0,47370000000.0
1997,UT,1757200000.0,772300000.0,596300000.0,2701200000.0,3542500000.0,2420300000.0,2152900000.0,5279600000.0,7033700000.0,2092000000.0,37325700000.0,3735500000.0,5032200000.0
1997,VA,7226700000.0,4084100000.0,2650800000.0,9332600000.0,12071200000.0,9092000000.0,7562100000.0,20096200000.0,28407500000.0,10809800000.0,141305600000.0,14160700000.0,15964300000.0
1997,VT,555100000.0,285800000.0,369000000.0,745000000.0,1194700000.0,888300000.0,538900000.0,1913600000.0,2471400000.0,814000000.0,12821400000.0,1258700000.0,1381600000.0
