year,per_capita_disposable_personal_income,state
1997,19087,AL
1997,25176,AK
1997,20080,AZ
1997,17992,AR
1997,23454,CA
1997,23881,CO
1997,29192,CT
1997,23004,DE
1997,30608,DC
1997,22365,FL
1997,21213,GA
1997,23298,HI
1997,19009,ID
1997,24525,IL
1997,21018,IN
1997,21351,IA
1997,21823,KS
1997,18729,KY
1997,19017,LA
1997,20555,ME
1997,24837,MD
1997,26170,MA
1997,22466,MI
1997,23114,MN
1997,17369,MS
1997,21472,MO
1997,17918,MT
1997,21968,NE
1997,24183,NV
1997,24472,NH
1997,28153,NJ
1997,18381,NM
1997,25810,NY
1997,21205,NC
1997,19052,ND
1997,21713,OH
1997,18590,OK
1997,21514,OR
1997,22571,PA
1997,22700,RI
1997,19187,SC
1997,20460,SD
1997,20856,TN
1997,21266,TX
1997,18649,UT
1997,21136,VT
1997,23782,VA
1997,24160,WA
1997,17524,WV
1997,21934,WI
1997,21265,WY
1998,20120,AL
1998,26080,AK
1998,21189,AZ
1998,18841,AR
1998,24955,CA
1998,25664,CO
1998,31058,CT
1998,25137,DE
1998,32327,DC
1998,23600,FL
1998,22643,GA
1998,23576,HI
1998,20166,ID
1998,25673,IL
1998,22451,IN
1998,22215,IA
1998,22893,KS
1998,19599,KY
1998,19901,LA
1998,21764,ME
1998,26758,MD
1998,27290,MA
1998,23573,MI
1998,24804,MN
1998,18196,MS
1998,22281,MO
1998,19048,MT
1998,23254,NE
1998,25613,NV
1998,26559,NH
1998,29448,NJ
1998,19083,NM
1998,26922,NY
1998,22077,NC
1998,21015,ND
1998,22813,OH
1998,19379,OK
1998,22415,OR
1998,23659,PA
1998,23978,RI
1998,20203,SC
1998,22021,SD
1998,22556,TN
1998,22627,TX
1998,19481,UT
1998,22559,VT
1998,24857,VA
1998,25728,WA
1998,18272,WV
1998,23223,WI
1998,22514,WY
1999,20685,AL
1999,26769,AK
1999,21855,AZ
1999,19463,AR
1999,26014,CA
1999,26747,CO
1999,32506,CT
1999,26733,DE
1999,33512,DC
1999,24283,FL
1999,23571,GA
1999,24434,HI
1999,20873,ID
1999,26607,IL
1999,23179,IN
1999,22685,IA
1999,23495,KS
1999,20278,KY
1999,20362,LA
1999,22621,ME
1999,28039,MD
1999,28856,MA
1999,24620,MI
1999,25969,MN
1999,18670,MS
1999,22974,MO
1999,19278,MT
1999,24242,NE
1999,26557,NV
1999,27738,NH
1999,30341,NJ
1999,19207,NM
1999,28199,NY
1999,22798,NC
