year,per_capita_personal_income,state
1997,25993,
1997,21516,AL
1997,28185,
1997,22804,AZ
1997,20187,AR
1997,27171,CA
1997,27675,CO
1997,35228,CT
1997,27069,DE
1997,35739,DC
1997,25378,FL
1997,24404,GA
1997,26334,
1997,21506,ID
1997,28422,IL
1997,24096,IN
1997,24197,IA
1997,24958,KS
1997,21388,KY
1997,21352,LA
1997,23247,ME
1997,29432,MD
1997,31180,MA
1997,25990,MI
1997,27087,MN
1997,19221,MS
1997,24507,MO
1997,20159,MT
1997,24915,NE
1997,27534,NV
1997,27975,NH
1997,32804,NJ
1997,20576,NM
1997,30443,NY
1997,24251,NC
1997,21196,ND
1997,25078,OH
1997,21072,OK
1997,25015,OR
1997,25967,PA
1997,25975,RI
1997,21728,SC
1997,22582,SD
1997,23267,TN
1997,23919,TX
1997,21288,UT
1997,23999,VT
1997,27360,VA
1997,27405,WA
1997,19587,WV
1997,25429,WI
1997,24282,WY
1997,30459,
1997,29564,
1997,26105,
1997,25021,
1997,23580,
1997,23217,
1997,24306,
1997,27048,
1998,27557,
1998,22668,AL
1998,29255,
1998,24173,AZ
1998,21208,AR
1998,29092,CA
1998,29901,CO
1998,37827,CT
1998,29472,DE
1998,38122,DC
1998,26883,FL
1998,26152,GA
1998,26756,
1998,22783,ID
1998,29930,IL
1998,25790,IN
1998,25207,IA
1998,26221,KS
1998,22445,KY
1998,22312,LA
1998,24805,ME
1998,31483,MD
1998,32914,MA
1998,27430,MI
1998,29162,MN
1998,20174,MS
1998,25540,MO
1998,21461,MT
1998,26421,NE
1998,29314,NV
1998,30319,NH
1998,34663,NJ
1998,21380,NM
1998,32040,NY
1998,25440,NC
1998,23285,ND
1998,26442,OH
1998,22006,OK
1998,26023,OR
1998,27336,PA
1998,27552,RI
1998,22946,SC
1998,24277,SD
1998,25116,TN
1998,25556,TX
1998,22266,UT
1998,25693,VT
1998,28992,VA
1998,29513,WA
1998,20447,WV
1998,27031,WI
1998,25755,WY
1998,32428,
1998,31226,
1998,27599,
1998,26455,
1998,24965,
1998,24685,
1998,25974,
1998,28870,
1999,28693,
1999,23333,AL
1999,29951,
1999,24960,AZ
1999,21871,AR
1999,30773,CA
1999,31305,CO
1999,39700,CT
1999,31181,DE
1999,39798,DC
1999,27689,FL
1999,27254,GA
1999,27768,
1999,23688,ID
1999,31068,IL
1999,26600,IN
1999,25740,IA
1999,26927,KS
1999,23224,KY
1999,22746,LA
1999,25779,ME
1999,33036,MD
1999,34967,MA
1999,28629,MI
1999,30303,MN
1999,20709,MS
1999,26342,MO
1999,21794,MT
1999,27545,NE
1999,30405,NV
1999,31852,NH
1999,35965,NJ
1999,21587,NM
1999,33740,NY
1999,26239,NC
1999,23705,ND
1999,27200,OH
1999,22412,OK
1999,26617,OR
1999,28489,PA
1999,28496,RI
1999,23764,SC
1999,25306,SD
1999,25807,TN
1999,26530,TX
1999,23081,UT
1999,26963,VT
1999,30637,VA
1999,30958,WA
1999,21037,WV
1999,27933,WI
1999,27518,WY
1999,34173,
1999,32699,
1999,28584,
1999,27319,
1999,25835,
1999,25525,
1999,27101,
1999,30389,
2000,30672,
2000,24306,AL
2000,32044,
2000,26388,AZ
2000,22781,AR
2000,33410,CA
2000,34029,CO
2000,43070,CT
2000,33884,DE
2000,43524,DC
2000,29466,FL
2000,28851,GA
2000,29319,
2000,25183,ID
2000,33212,IL
2000,28153,IN
2000,27390,IA
2000,28253,KS
2000,24868,KY
2000,23997,LA
2000,27491,ME
2000,35591,MD
2000,38594,MA
2000,30344,MI
2000,32448,MN
2000,21681,MS
2000,27941,MO
2000,23081,MT
2000,29039,NE
2000,31986,NV
2000,35335,NH
2000,39216,NJ
2000,23102,NM
2000,36090,NY
2000,27510,NC
2000,25892,ND
2000,28598,OH
2000,24178,OK
2000,28386,OR
2000,30443,PA
2000,30417,RI
2000,25133,SC
2000,26825,SD
2000,27066,TN
2000,28383,TX
2000,24260,UT
2000,29014,VT
2000,32715,VA
2000,32723,WA
2000,22317,WV
2000,29556,WI
2000,29607,WY
2000,37349,
2000,35160,
2000,30305,
2000,29040,
2000,27337,
2000,27285,
2000,29120,
2000,32775,
2001,31617,
2001,25057,AL
2001,33626,
2001,27008,AZ
2001,23873,AR
2001,34046,CA
2001,34897,CO
2001,45153,CT
2001,36922,DE
2001,44871,DC
2001,30418,FL
2001,29762,GA
2001,30229,
2001,25799,ID
2001,34299,IL
2001,28639,IN
2001,28162,IA
2001,29112,KS
2001,25596,KY
2001,25663,LA
2001,28824,ME
2001,37076,MD
2001,39872,MA
2001,30749,MI
2001,33490,MN
2001,22845,MS
2001,28690,MO
2001,23996,MT
2001,30275,NE
2001,32461,NV
2001,36747,NH
2001,40245,NJ
2001,24601,NM
2001,37283,NY
2001,27838,NC
2001,26541,ND
2001,29323,OH
2001,25608,OK
2001,28829,OR
2001,31634,PA
2001,31815,RI
2001,25737,SC
2001,27645,SD
2001,27541,TN
2001,29644,TX
2001,24925,UT
2001,30716,VT
2001,34001,VA
2001,33084,WA
2001,23754,WV
2001,30841,WI
2001,31347,WY
2001,38866,
2001,36396,
2001,31094,
2001,29932,
2001,28249,
2001,28479,
2001,29975,
2001,33375,
2002,31839,
2002,25648,AL
2002,34756,
2002,27353,AZ
2002,24306,AR
2002,34131,CA
2002,34438,CO
2002,44697,CT
2002,37658,DE
2002,45147,DC
2002,30810,FL
2002,30133,GA
2002,31257,
2002,26233,ID
2002,34594,IL
2002,28918,IN
2002,28772,IA
2002,29248,KS
2002,26057,KY
2002,26289,LA
2002,29572,ME
2002,38035,MD
2002,39540,MA
2002,30602,MI
2002,33955,MN
2002,23219,MS
2002,29168,MO
2002,24554,MT
2002,30599,NE
2002,32130,NV
2002,36974,NH
2002,40474,NJ
2002,25255,NM
2002,37088,NY
2002,27852,NC
2002,27218,ND
