state,poverty_rate,year
AL,0.149,2020
AK,0.133,2020
AZ,0.10800000000000001,2020
AR,0.142,2020
CA,0.11,2020
CO,0.095,2020
CT,0.11199999999999999,2020
DE,0.105,2020
DC,0.16699999999999998,2020
FL,0.132,2020
GA,0.132,2020
HI,0.109,2020
ID,0.092,2020
IL,0.08,2020
IN,0.12,2020
IA,0.09,2020
KS,0.091,2020
KY,0.139,2020
LA,0.154,2020
ME,0.08,2020
MD,0.092,2020
MA,0.084,2020
MI,0.111,2020
MN,0.084,2020
MS,0.175,2020
MO,0.106,2020
MT,0.11,2020
NE,0.083,2020
NV,0.129,2020
NH,0.062,2020
NJ,0.08199999999999999,2020
NM,0.165,2020
NY,0.11800000000000001,2020
NC,0.13699999999999998,2020
ND,0.107,2020
OH,0.127,2020
OK,0.155,2020
OR,0.094,2020
PA,0.106,2020
RI,0.085,2020
SC,0.133,2020
SD,0.11599999999999999,2020
TN,0.132,2020
TX,0.14,2020
UT,0.07400000000000001,2020
VT,0.086,2020
VA,0.078,2020
WA,0.083,2020
WV,0.141,2020
WI,0.08,2020
WY,0.098,2020
AL,0.129,2019
AK,0.102,2019
AZ,0.099,2019
AR,0.141,2019
CA,0.10099999999999999,2019
CO,0.09300000000000001,2019
CT,0.083,2019
DE,0.065,2019
DC,0.125,2019
FL,0.115,2019
GA,0.121,2019
HI,0.084,2019
ID,0.071,2019
IL,0.09300000000000001,2019
IN,0.10099999999999999,2019
IA,0.095,2019
KS,0.095,2019
KY,0.136,2019
LA,0.179,2019
ME,0.10400000000000001,2019
MD,0.07,2019
MA,0.075,2019
MI,0.102,2019
MN,0.057,2019
MS,0.192,2019
MO,0.094,2019
MT,0.09699999999999999,2019
NE,0.087,2019
NV,0.10400000000000001,2019
NH,0.037000000000000005,2019
NJ,0.063,2019
NM,0.153,2019
NY,0.125,2019
NC,0.127,2019
ND,0.081,2019
OH,0.124,2019
OK,0.10800000000000001,2019
OR,0.081,2019
PA,0.087,2019
RI,0.092,2019
SC,0.151,2019
SD,0.106,2019
TN,0.131,2019
TX,0.111,2019
UT,0.073,2019
VT,0.086,2019
VA,0.08800000000000001,2019
WA,0.07,2019
WV,0.139,2019
WI,0.084,2019
WY,0.092,2019
AL,0.16,2018
AK,0.131,2018
AZ,0.128,2018
AR,0.159,2018
CA,0.11900000000000001,2018
CO,0.091,2018
CT,0.102,2018
DE,0.07400000000000001,2018
DC,0.147,2018
FL,0.13699999999999998,2018
GA,0.14800000000000002,2018
HI,0.092,2018
ID,0.115,2018
IL,0.10300000000000001,2018
IN,0.11599999999999999,2018
IA,0.08900000000000001,2018
KS,0.075,2018
KY,0.157,2018
LA,0.19,2018
ME,0.11599999999999999,2018
MD,0.08,2018
MA,0.087,2018
MI,0.105,2018
MN,0.079,2018
MS,0.196,2018
MO,0.124,2018
MT,0.10300000000000001,2018
NE,0.105,2018
NV,0.13,2018
NH,0.061,2018
NJ,0.08199999999999999,2018
NM,0.166,2018
NY,0.111,2018
NC,0.131,2018
ND,0.09699999999999999,2018
OH,0.11900000000000001,2018
OK,0.134,2018
OR,0.09699999999999999,2018
PA,0.11800000000000001,2018
RI,0.08900000000000001,2018
SC,0.128,2018
SD,0.106,2018
TN,0.12,2018
TX,0.13699999999999998,2018
UT,0.069,2018
VT,0.09699999999999999,2018
VA,0.098,2018
WA,0.086,2018
WV,0.159,2018
WI,0.086,2018
WY,0.095,2018
AL,0.153,2017
AK,0.121,2017
AZ,0.136,2017
AR,0.149,2017
CA,0.121,2017
CO,0.08900000000000001,2017
CT,0.106,2017
DE,0.08800000000000001,2017
DC,0.139,2017
FL,0.134,2017
GA,0.131,2017
HI,0.106,2017
ID,0.115,2017
IL,0.115,2017
IN,0.11699999999999999,2017
IA,0.075,2017
KS,0.14300000000000002,2017
KY,0.135,2017
LA,0.205,2017
ME,0.124,2017
MD,0.076,2017
MA,0.11199999999999999,2017
MI,0.115,2017
MN,0.085,2017
MS,0.185,2017
MO,0.114,2017
MT,0.10300000000000001,2017
NE,0.115,2017
NV,0.132,2017
NH,0.07200000000000001,2017
NJ,0.099,2017
NM,0.19699999999999998,2017
NY,0.127,2017
NC,0.152,2017
ND,0.124,2017
OH,0.129,2017
OK,0.128,2017
OR,0.115,2017
PA,0.109,2017
RI,0.113,2017
SC,0.152,2017
SD,0.107,2017
TN,0.113,2017
TX,0.132,2017
UT,0.087,2017
VT,0.086,2017
VA,0.105,2017
WA,0.109,2017
WV,0.171,2017
WI,0.092,2017
WY,0.13,2017
AL,0.162,2016
AK,0.126,2016
AZ,0.161,2016
AR,0.16,2016
CA,0.139,2016
CO,0.085,2016
CT,0.098,2016
DE,0.11599999999999999,2016
DC,0.163,2016
FL,0.13,2016
GA,0.154,2016
