state,year,rent_low_value_quartile,rent_median_value,rent_upper_value_quartile
AL,2005,272.0,394.0,541.0
AL,2006,282.0,410.0,562.0
AL,2007,291.0,427.0,591.0
AL,2008,314.0,447.0,619.0
AL,2009,322.0,468.0,637.0
AL,2012,352.0,510.0,689.0
AL,2013,357.0,515.0,695.0
AL,2014,366.0,521.0,711.0
AL,2015,371.0,536.0,726.0
AL,2016,393.0,559.0,757.0
AL,2017,398.0,565.0,783.0
AL,2018,403.0,585.0,794.0
AL,2019,416.0,597.0,810.0
AK,2005,594.0,764.0,977.0
AK,2006,639.0,813.0,1036.0
AK,2007,624.0,843.0,1104.0
AK,2008,671.0,863.0,1130.0
AK,2009,684.0,903.0,1202.0
AK,2012,748.0,990.0,1386.0
AK,2013,749.0,1008.0,1362.0
AK,2014,825.0,1071.0,1460.0
AK,2015,802.0,1061.0,1420.0
AK,2016,818.0,1096.0,1480.0
AK,2017,801.0,1085.0,1480.0
AK,2018,826.0,1077.0,1466.0
AK,2019,812.0,1095.0,1525.0
AZ,2005,486.0,621.0,806.0
AZ,2006,506.0,658.0,879.0
AZ,2007,539.0,703.0,932.0
AZ,2008,555.0,738.0,964.0
AZ,2009,557.0,732.0,967.0
AZ,2012,556.0,740.0,967.0
AZ,2013,564.0,746.0,966.0
AZ,2014,583.0,766.0,994.0
AZ,2015,595.0,791.0,1015.0
AZ,2016,618.0,824.0,1085.0
AZ,2017,647.0,858.0,1126.0
AZ,2018,666.0,884.0,1168.0
AZ,2019,695.0,939.0,1232.0
AR,2005,287.0,399.0,520.0
AR,2006,296.0,407.0,537.0
AR,2007,306.0,421.0,544.0
AR,2008,320.0,435.0,573.0
AR,2009,319.0,435.0,580.0
AR,2012,356.0,480.0,619.0
AR,2013,367.0,489.0,629.0
AR,2014,376.0,506.0,649.0
AR,2015,391.0,521.0,680.0
AR,2016,401.0,535.0,703.0
AR,2017,407.0,548.0,707.0
AR,2018,413.0,559.0,731.0
AR,2019,433.0,576.0,743.0
CA,2005,660.0,894.0,1216.0
CA,2006,693.0,941.0,1274.0
CA,2007,725.0,984.0,1366.0
CA,2008,755.0,1035.0,1435.0
CA,2009,769.0,1058.0,1456.0
CA,2012,799.0,1100.0,1509.0
CA,2013,813.0,1120.0,1564.0
CA,2014,834.0,1161.0,1648.0
CA,2015,852.0,1198.0,1712.0
CA,2016,882.0,1252.0,1799.0
CA,2017,925.0,1320.0,1881.0
CA,2018,964.0,1399.0,1953.0
CA,2019,1016.0,1486.0,2052.0
CO,2005,506.0,665.0,890.0
CO,2006,515.0,674.0,891.0
CO,2007,532.0,693.0,920.0
CO,2008,560.0,739.0,981.0
CO,2009,573.0,753.0,999.0
CO,2012,617.0,825.0,1124.0
CO,2013,642.0,858.0,1166.0
CO,2014,672.0,898.0,1222.0
CO,2015,719.0,987.0,1337.0
CO,2016,762.0,1057.0,1419.0
CO,2017,807.0,1125.0,1491.0
CO,2018,849.0,1181.0,1585.0
CO,2019,916.0,1258.0,1666.0
CT,2005,524.0,719.0,936.0
CT,2006,557.0,750.0,970.0
CT,2007,588.0,783.0,1007.0
CT,2008,612.0,813.0,1067.0
CT,2009,630.0,839.0,1113.0
CT,2012,648.0,871.0,1165.0
CT,2013,666.0,882.0,1185.0
CT,2014,691.0,901.0,1217.0
CT,2015,705.0,927.0,1246.0
CT,2016,724.0,948.0,1264.0
CT,2017,731.0,963.0,1285.0
CT,2018,750.0,989.0,1333.0
CT,2019,751.0,1011.0,1377.0
DE,2005,509.0,676.0,837.0
DE,2006,525.0,712.0,870.0
DE,2007,578.0,753.0,941.0
DE,2008,564.0,754.0,951.0
DE,2009,580.0,778.0,948.0
DE,2012,616.0,806.0,1014.0
DE,2013,652.0,841.0,1040.0
DE,2014,681.0,862.0,1106.0
DE,2015,666.0,877.0,1122.0
DE,2016,687.0,893.0,1152.0
DE,2017,714.0,935.0,1160.0
DE,2018,723.0,939.0,1189.0
DE,2019,745.0,959.0,1201.0
DC,2005,534.0,768.0,1116.0
DC,2006,541.0,822.0,1192.0
DC,2007,590.0,871.0,1278.0
DC,2008,626.0,918.0,1399.0
DC,2009,645.0,961.0,1453.0
DC,2012,774.0,1158.0,1744.0
DC,2013,802.0,1222.0,1857.0
DC,2014,832.0,1267.0,1971.0
DC,2015,864.0,1326.0,1944.0
DC,2016,838.0,1290.0,1937.0
DC,2017,920.0,1408.0,2044.0
