state,start_year,per_pupil_revenue
AL,2018,11415
AK,2018,19553
AZ,2018,10396
AR,2018,11733
CA,2018,16014
CO,2018,13562
CT,2018,22696
DE,2018,16519
DC,2018,29120
FL,2018,11113
GA,2018,12766
HI,2018,17237
ID,2018,9371
IL,2018,15749
IN,2018,12806
IA,2018,14126
KS,2018,13938
KY,2018,12764
LA,2018,13239
ME,2018,16767
MD,2018,18042
MA,2018,19736
MI,2018,14320
MN,2018,16198
MS,2018,10396
MO,2018,13297
MT,2018,13740
NE,2018,14276
NV,2018,11019
NH,2018,18760
NJ,2018,23609
NM,2018,12358
NY,2018,28626
NC,2018,10299
ND,2018,16357
OH,2018,15210
OK,2018,10483
OR,2018,15306
PA,2018,19363
RI,2018,18731
SC,2018,14153
SD,2018,12268
TN,2018,10881
TX,2018,12321
UT,2018,9672
VT,2018,20819
VA,2018,13661
WA,2018,17269
WV,2018,13503
WI,2018,14788
WY,2018,19147
AL,2017,10792
AK,2017,19038
AZ,2017,9697
AR,2017,11592
CA,2017,14535
CO,2017,12313
CT,2017,21680
DE,2017,16296
DC,2017,29211
FL,2017,10633
GA,2017,12147
HI,2017,18095
ID,2017,9066
IL,2017,18635
IN,2017,12592
IA,2017,13772
KS,2017,13533
KY,2017,12422
LA,2017,12772
ME,2017,16020
MD,2017,17886
MA,2017,18994
MI,2017,13797
MN,2017,15418
MS,2017,9984
MO,2017,12899
MT,2017,12907
NE,2017,14308
NV,2017,10721
NH,2017,17806
NJ,2017,22355
NM,2017,12070
NY,2017,27216
NC,2017,9724
ND,2017,16108
OH,2017,14914
OK,2017,9455
OR,2017,14620
PA,2017,18724
RI,2017,18334
SC,2017,13501
SD,2017,12011
TN,2017,10558
TX,2017,11709
UT,2017,9091
VT,2017,20212
VA,2017,13195
WA,2017,15349
WV,2017,12934
WI,2017,13757
WY,2017,19320
AL,2016,10590
AK,2016,18897
AZ,2016,9214
AR,2016,11388
CA,2016,13965
CO,2016,11713
CT,2016,21647
DE,2016,20035
DC,2016,29425
FL,2016,10227
GA,2016,11587
HI,2016,15666
ID,2016,8665
IL,2016,17506
IN,2016,11388
IA,2016,13543
KS,2016,12833
KY,2016,11378
LA,2016,12495
ME,2016,15624
MD,2016,16977
MA,2016,19101
MI,2016,13190
MN,2016,15133
MS,2016,9838
MO,2016,12552
MT,2016,12579
NE,2016,14005
NV,2016,10384
NH,2016,17316
