state,year,per_pupil_expenditure
AL, 2018,10107
AK, 2018,18393
AZ, 2018,8773
AR, 2018,10412
CA, 2018,13831
CO, 2018,11072
CT, 2018,21140
DE, 2018,15929
DC, 2018,22831
FL, 2018,9986
GA, 2018,11203
HI, 2018,16132
ID, 2018,8043
IL, 2018,16281
IN, 2018,10252
IA, 2018,11933
KS, 2018,11328
KY, 2018,11280
LA, 2018,11920
ME, 2018,15686
MD, 2018,15576
MA, 2018,19196
MI, 2018,12052
MN, 2018,13297
MS, 2018,9253
MO, 2018,11349
MT, 2018,11984
NE, 2018,12746
NV, 2018,9126
NH, 2018,17457
NJ, 2018,21331
NM, 2018,10466
NY, 2018,24882
NC, 2018,9799
ND, 2018,14033
OH, 2018,13433
OK, 2018,9203
OR, 2018,12457
PA, 2018,16892
RI, 2018,17539
SC, 2018,10994
SD, 2018,10325
TN, 2018,9941
TX, 2018,9868
UT, 2018,7950
VT, 2018,21217
VA, 2018,12642
WA, 2018,14342
WV, 2018,12269
WI, 2018,12690
WY, 2018,16228
AL, 2017,9717
AK, 2017,17726
AZ, 2017,8373
AR, 2017,10168
CA, 2017,12664
CO, 2017,10238
CT, 2017,20147
DE, 2017,15282
DC, 2017,23155
FL, 2017,9663
GA, 2017,10760
HI, 2017,15242
ID, 2017,7846
IL, 2017,15912
IN, 2017,10033
IA, 2017,11724
KS, 2017,11095
KY, 2017,11081
LA, 2017,11636
ME, 2017,15069
MD, 2017,15155
MA, 2017,18328
MI, 2017,11688
MN, 2017,12910
MS, 2017,8909
MO, 2017,11034
MT, 2017,11512
NE, 2017,12813
NV, 2017,9040
NH, 2017,16588
NJ, 2017,20316
NM, 2017,9963
NY, 2017,23686
NC, 2017,9277
ND, 2017,13783
OH, 2017,12893
OK, 2017,8174
OR, 2017,11903
PA, 2017,16377
RI, 2017,16954
SC, 2017,10705
SD, 2017,10263
TN, 2017,9599
TX, 2017,9670
UT, 2017,7576
VT, 2017,20149
VA, 2017,12224
WA, 2017,12985
WV, 2017,11572
WI, 2017,12446
WY, 2017,16134
AL, 2016,9528
AK, 2016,17838
AZ, 2016,8053
AR, 2016,10004
CA, 2016,12151
CO, 2016,9849
CT, 2016,19929
DE, 2016,14892
DC, 2016,22561
FL, 2016,9374
GA, 2016,10274
HI, 2016,14322
ID, 2016,7554
IL, 2016,15517
IN, 2016,9823
IA, 2016,11456
KS, 2016,10428
KY, 2016,10083
LA, 2016,11379
ME, 2016,14633
MD, 2016,14933
MA, 2016,17718
MI, 2016,11256
MN, 2016,12635
MS, 2016,8755
MO, 2016,10684
MT, 2016,11538
NE, 2016,12662
NV, 2016,9120
NH, 2016,15958
NJ, 2016,19585
NM, 2016,9949
NY, 2016,22861
NC, 2016,8995
ND, 2016,13767
OH, 2016,12569
OK, 2016,7921
OR, 2016,11252
PA, 2016,15782
RI, 2016,16620
SC, 2016,10419
SD, 2016,10117
TN, 2016,9246
TX, 2016,9520
UT, 2016,7206
VT, 2016,19480
VA, 2016,11885
WA, 2016,11971
WV, 2016,11745
WI, 2016,11962
WY, 2016,16513
AL, 2015,9258
AK, 2015,17510
AZ, 2015,7772
AR, 2015,9900
CA, 2015,11420
CO, 2015,9619
CT, 2015,19615
DE, 2015,14397
DC, 2015,21135
FL, 2015,9176
GA, 2015,9835
HI, 2015,13748
ID, 2015,7178
IL, 2015,14327
IN, 2015,9691
IA, 2015,11148
KS, 2015,10216
KY, 2015,9831
LA, 2015,11169
ME, 2015,14202
MD, 2015,14523
MA, 2015,16986
MI, 2015,11051
MN, 2015,12364
MS, 2015,8692
MO, 2015,10385
MT, 2015,11374
NE, 2015,12379
NV, 2015,8753
NH, 2015,15535
NJ, 2015,19041
NM, 2015,9959
NY, 2015,22231
NC, 2015,8717
ND, 2015,13358
OH, 2015,11933
OK, 2015,8091
OR, 2015,10823
PA, 2015,15165
RI, 2015,16082
SC, 2015,10045
SD, 2015,9335
TN, 2015,8876
TX, 2015,9352
UT, 2015,7006
VT, 2015,19023
VA, 2015,11435
WA, 2015,11484
WV, 2015,11424
WI, 2015,11664
WY, 2015,16431
AL, 2014,9146
AK, 2014,20191
AZ, 2014,7590
AR, 2014,9805
CA, 2014,10449
CO, 2014,9292
CT, 2014,19020
DE, 2014,13882
DC, 2014,20610
FL, 2014,9113
GA, 2014,9476
HI, 2014,12855
ID, 2014,6899
IL, 2014,13935
IN, 2014,9529
IA, 2014,10938
KS, 2014,10329
KY, 2014,9560
LA, 2014,11106
ME, 2014,13976
MD, 2014,14431
MA, 2014,16566
MI, 2014,10956
MN, 2014,11924
MS, 2014,8445
MO, 2014,10231
MT, 2014,11078
NE, 2014,12174
NV, 2014,8451
NH, 2014,14969
NJ, 2014,18838
NM, 2014,9724
NY, 2014,20744
NC, 2014,8529
ND, 2014,12909
OH, 2014,11730
OK, 2014,8075
OR, 2014,10457
PA, 2014,14405
RI, 2014,15797
SC, 2014,9831
SD, 2014,9103
TN, 2014,8759
TX, 2014,9081
UT, 2014,6751
VT, 2014,18769
VA, 2014,11235
WA, 2014,10684
WV, 2014,11512
WI, 2014,11538
WY, 2014,16047
AL, 2013,9036
AK, 2013,18466
AZ, 2013,7457
AR, 2013,9752
CA, 2013,9671
CO, 2013,9036
CT, 2013,18401
DE, 2013,13793
DC, 2013,20577
FL, 2013,8955
GA, 2013,9236
HI, 2013,12400
ID, 2013,6577
IL, 2013,13213
IN, 2013,9396
IA, 2013,10647
KS, 2013,10240
KY, 2013,9411
LA, 2013,10853
ME, 2013,13267
MD, 2013,14217
MA, 2013,15886
MI, 2013,10649
MN, 2013,11427
MS, 2013,8265
MO, 2013,9938
MT, 2013,10941
NE, 2013,11877
NV, 2013,8275
NH, 2013,14601
NJ, 2013,18780
NM, 2013,9403
NY, 2013,20156
NC, 2013,8287
ND, 2013,12032
OH, 2013,11434
OK, 2013,7995
OR, 2013,9959
PA, 2013,13824
RI, 2013,15372
SC, 2013,9608
SD, 2013,9036
TN, 2013,8662
TX, 2013,8602
UT, 2013,6546
VT, 2013,18066
VA, 2013,10955
WA, 2013,10305
WV, 2013,11371
WI, 2013,11345
WY, 2013,15903
AL, 2012,8773
AK, 2012,18217
AZ, 2012,7495
AR, 2012,9538
CA, 2012,9258
CO, 2012,8693
CT, 2012,17321
DE, 2012,13653
DC, 2012,20530
FL, 2012,8623
GA, 2012,9121
HI, 2012,11743
ID, 2012,6761
IL, 2012,12443
IN, 2012,9421
IA, 2012,10291
KS, 2012,10011
KY, 2012,9274
LA, 2012,10539
ME, 2012,12655
MD, 2012,14086
MA, 2012,15321
MI, 2012,10515
MN, 2012,11065
MS, 2012,8117
MO, 2012,9702
MT, 2012,10662
NE, 2012,11743
NV, 2012,8026
NH, 2012,14050
NJ, 2012,18523
NM, 2012,9164
NY, 2012,19529
NC, 2012,8342
ND, 2012,11615
OH, 2012,11276
OK, 2012,7914
OR, 2012,9183
PA, 2012,13445
RI, 2012,14889
SC, 2012,9444
SD, 2012,8630
TN, 2012,8588
TX, 2012,8261
UT, 2012,6432
VT, 2012,17286
VA, 2012,10960
WA, 2012,9714
WV, 2012,11257
WI, 2012,11186
WY, 2012,15815
AL, 2011,8577
AK, 2011,17475
AZ, 2011,7382
AR, 2011,9536
CA, 2011,9329
CO, 2011,8594
CT, 2011,16855
DE, 2011,13580
DC, 2011,19847
FL, 2011,8520
GA, 2011,9272
HI, 2011,11973
ID, 2011,6626
IL, 2011,12011
IN, 2011,9588
IA, 2011,10027
KS, 2011,10021
KY, 2011,9327
LA, 2011,10726
ME, 2011,12335
MD, 2011,13871
MA, 2011,14844
MI, 2011,10477
MN, 2011,10781
MS, 2011,8097
MO, 2011,9514
MT, 2011,10569
NE, 2011,11640
NV, 2011,8130
NH, 2011,13774
NJ, 2011,17982
NM, 2011,9013
NY, 2011,19396
NC, 2011,8160
ND, 2011,11246
OH, 2011,11323
OK, 2011,7763
OR, 2011,9485
PA, 2011,13091
RI, 2011,15172
SC, 2011,9077
SD, 2011,8593
TN, 2011,8354
TX, 2011,8213
UT, 2011,6441
VT, 2011,16651
VA, 2011,10656
WA, 2011,9617
WV, 2011,11579
WI, 2011,11233
WY, 2011,15988
AL, 2010,8726
AK, 2010,16663
AZ, 2010,7782
AR, 2010,9496
CA, 2010,9146
CO, 2010,8786
CT, 2010,16224
DE, 2010,12467
DC, 2010,20793
FL, 2010,9030
GA, 2010,9259
HI, 2010,11924
ID, 2010,6821
IL, 2010,11742
IN, 2010,9251
IA, 2010,9795
KS, 2010,9802
KY, 2010,9228
LA, 2010,10799
ME, 2010,12576
MD, 2010,14123
MA, 2010,14285
MI, 2010,10577
MN, 2010,10674
MS, 2010,7926
MO, 2010,9461
MT, 2010,10719
NE, 2010,11540
NV, 2010,8411
NH, 2010,13548
NJ, 2010,16855
NM, 2010,9250
NY, 2010,18834
NC, 2010,8267
ND, 2010,10898
OH, 2010,11395
OK, 2010,7631
OR, 2010,9516
PA, 2010,13096
RI, 2010,14948
SC, 2010,8903
SD, 2010,8931
TN, 2010,8484
TX, 2010,8685
UT, 2010,6326
