GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,SAPCE1,1,"...","Personal consumption expenditures","Millions of current dollars",5536790,5877248,6283758,6767179,7073801,7348941,7740749,8231960,8769066,9277236,9746594,10050083,9891218,10260256,10698857,11047363,11363528,11847725,12263476,12693266,13239111,13913531,14428676,14047565
 "00000","United States", ,SAPCE1,2,"..."," Goods","Millions of current dollars",2006506,2108439,2287062,2453172,2525593,2598805,2722597,2902021,3082923,3239655,3367031,3363221,3180022,3317825,3518121,3637739,3729973,3862956,3922993,3991849,4158554,4353716,4478918,4653822
 "00000","United States", ,SAPCE1,3,"...","  Durable goods","Millions of current dollars",715530,779293,855568,912572,941515,985368,1017801,1080574,1128610,1158333,1188043,1098761,1012121,1048962,1093499,1144221,1189413,1242075,1307605,1345194,1396634,1469167,1513285,1616408
 "00000","United States", ,SAPCE1,4,"...","   Motor vehicles and parts","Millions of current dollars",293082,320205,350730,363228,383289,401347,401518,409311,409954,394949,400573,343337,318583,344466,365178,396608,417533,441992,475346,484319,501347,519467,514545,541265
 "00000","United States", ,SAPCE1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",160490,173579,191185,208106,214940,225868,235161,254310,271273,283598,283458,264349,238275,240924,246862,253938,263590,276166,294220,308489,322733,345514,360199,390382
 "00000","United States", ,SAPCE1,6,"...","   Recreational goods and vehicles","Millions of current dollars",174632,191360,210921,230859,234933,244773,259466,284842,306401,326320,339190,328061,297516,298612,305353,311821,321561,329928,336482,349415,366396,391104,420926,476217
 "00000","United States", ,SAPCE1,7,"...","   Other durable goods","Millions of current dollars",87325,94150,102732,110380,108352,113380,121655,132111,140982,153466,164823,163014,157747,164960,176106,181854,186730,193989,201557,202971,206158,213083,217615,208545
 "00000","United States", ,SAPCE1,8,"...","  Nondurable goods","Millions of current dollars",1290976,1329146,1431493,1540600,1584078,1613437,1704797,1821447,1954313,2081322,2178988,2264460,2167901,2268862,2424622,2493518,2540559,2620881,2615387,2646655,2761920,2884549,2965633,3037413
 "00000","United States", ,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",474777,487437,515530,540578,564003,575052,599580,632604,668216,700260,737332,769085,772930,786866,819542,846198,863994,896855,920955,940635,973072,1000345,1030911,1146676
 "00000","United States", ,SAPCE1,10,"...","   Clothing and footwear","Millions of current dollars",247496,257805,271097,280831,277868,278835,285296,297380,310509,320023,323474,317373,304043,316611,332586,345220,350533,360751,368734,375706,380990,391994,398165,362435
 "00000","United States", ,SAPCE1,11,"...","   Gasoline and other energy goods","Millions of current dollars",147661,132355,146545,184516,177986,167900,196412,232732,283770,319650,345547,391089,287027,336718,413801,421935,418248,403344,309434,275697,309938,350381,337618,246757
 "00000","United States", ,SAPCE1,12,"...","   Other nondurable goods","Millions of current dollars",421041,451549,498321,534675,564221,591650,623509,658730,691817,741389,772635,786914,803901,828667,858693,880166,907784,959931,1016264,1054617,1097920,1141829,1198939,1281545
 "00000","United States", ,SAPCE1,13,"..."," Services","Millions of current dollars",3530285,3768809,3996696,4314008,4548208,4750136,5018152,5329939,5686143,6037580,6379563,6686862,6711196,6942432,7180736,7409624,7633555,7984769,8340484,8701417,9080557,9559815,9949758,9393744
 "00000","United States", ,SAPCE1,14,"...","  Household consumption expenditures (for services)","Millions of current dollars",3424697,3645002,3858467,4155967,4369125,4551794,4812641,5123568,5475876,5798396,6130783,6399570,6422016,6647993,6868880,7068078,7280965,7619172,7968899,8299984,8662610,9115149,9509868,8872868
 "00000","United States", ,SAPCE1,15,"...","   Housing and utilities","Millions of current dollars",1009822,1065472,1123133,1198556,1287493,1329534,1391084,1466633,1580105,1665715,1759556,1872714,1900009,1947947,1983277,2014740,2083469,2151392,2206649,2280822,2363167,2472116,2571509,2668144
