state,year,edu_associate_degree,edu_bachelor_degree,edu_high_school,edu_master_degree,edu_total
Alabama,2008,210308.0,439587.0,801711.0,170625.0,3078499.0
Alabama,2009,218551.0,447402.0,797598.0,168782.0,3115982.0
Alabama,2010,225382.0,439863.0,817024.0,182474.0,3161521.0
Alabama,2011,236162.0,443488.0,818373.0,190977.0,3193078.0
Alabama,2012,238555.0,472037.0,826740.0,193901.0,3209646.0
Alabama,2013,258110.0,476016.0,824476.0,202435.0,3225447.0
Alabama,2014,256777.0,478058.0,847523.0,201391.0,3256766.0
Alabama,2015,266452.0,504626.0,823871.0,207767.0,3282252.0
Alabama,2016,271030.0,506680.0,831521.0,226164.0,3300713.0
Alabama,2017,278878.0,528019.0,850231.0,228314.0,3309607.0
Alabama,2018,288285.0,536086.0,848061.0,229484.0,3337464.0
Alabama,2019,301914.0,547975.0,862665.0,246772.0,3360058.0
Alaska,2008,34122.0,74728.0,92760.0,27470.0,424901.0
Alaska,2009,32532.0,75816.0,95366.0,28369.0,431178.0
Alaska,2010,37106.0,83346.0,92880.0,30697.0,450577.0
Alaska,2011,34000.0,77153.0,104706.0,29269.0,456862.0
Alaska,2012,38287.0,79559.0,106047.0,36321.0,464594.0
Alaska,2013,38486.0,84038.0,106234.0,32966.0,462659.0
Alaska,2014,38086.0,85634.0,108523.0,33103.0,465149.0
Alaska,2015,38113.0,87869.0,103684.0,36260.0,469523.0
Alaska,2016,40819.0,90861.0,107185.0,36182.0,478951.0
Alaska,2017,42724.0,86444.0,105599.0,37005.0,481561.0
Alaska,2018,39938.0,89635.0,111553.0,38582.0,485353.0
Alaska,2019,43394.0,89583.0,115044.0,38960.0,484058.0
Arizona,2008,328608.0,667004.0,883096.0,271435.0,4192547.0
Arizona,2009,330543.0,691996.0,891969.0,279698.0,4248231.0
Arizona,2010,336950.0,691889.0,872239.0,269415.0,4146758.0
Arizona,2011,348197.0,719546.0,869809.0,291892.0,4211223.0
Arizona,2012,360519.0,735758.0,864774.0,310661.0,4280464.0
Arizona,2013,374877.0,741982.0,902311.0,319970.0,4344737.0
Arizona,2014,376649.0,765784.0,899108.0,328400.0,4436226.0
Arizona,2015,382106.0,788933.0,923788.0,339377.0,4536954.0
Arizona,2016,390843.0,835779.0,924912.0,359075.0,4626409.0
Arizona,2017,408070.0,863062.0,949695.0,373079.0,4711362.0
Arizona,2018,428422.0,898032.0,970146.0,389350.0,4840304.0
Arizona,2019,431854.0,931038.0,967328.0,404500.0,4944540.0
Arkansas,2008,104524.0,234355.0,553980.0,81176.0,1872814.0
Arkansas,2009,115017.0,242389.0,544562.0,83186.0,1903914.0
Arkansas,2010,121711.0,252888.0,553179.0,86916.0,1919422.0
Arkansas,2011,113074.0,254903.0,576505.0,96313.0,1943427.0
Arkansas,2012,118932.0,269141.0,566530.0,101528.0,1949382.0
Arkansas,2013,119812.0,262755.0,570932.0,101291.0,1960503.0
Arkansas,2014,123871.0,272411.0,568437.0,104636.0,1968414.0
Arkansas,2015,135029.0,278975.0,550196.0,109389.0,1987819.0
Arkansas,2016,133315.0,282608.0,552084.0,118134.0,1990448.0
Arkansas,2017,143522.0,301294.0,557166.0,116823.0,2008398.0
Arkansas,2018,154143.0,296422.0,570551.0,125495.0,2021939.0
Arkansas,2019,151738.0,307185.0,580998.0,121947.0,2036456.0
California,2008,1789376.0,4432116.0,4386305.0,1654758.0,23528476.0
California,2009,1797763.0,4553969.0,4457919.0,1685526.0,23782109.0
California,2010,1831667.0,4610875.0,4496875.0,1750623.0,24097200.0
California,2011,1872437.0,4697422.0,4613751.0,1791770.0,24443872.0
California,2012,1959097.0,4865203.0,4558433.0,1861112.0,24779784.0
California,2013,1980401.0,4905468.0,4660364.0,1935122.0,25147232.0
California,2014,2002684.0,5120162.0,4768478.0,2035257.0,25654292.0
California,2015,1992703.0,5285754.0,4835298.0,2116434.0,26085263.0
California,2016,2031775.0,5426164.0,4784486.0,2203376.0,26304241.0
California,2017,2070661.0,5616449.0,4937316.0,2286009.0,26679273.0
California,2018,2140543.0,5704852.0,4932237.0,2365794.0,26815644.0
California,2019,2118792.0,5889724.0,4926010.0,2400918.0,26937872.0
Colorado,2008,248519.0,748494.0,620536.0,299716.0,3263026.0
Colorado,2009,261847.0,762038.0,621150.0,305896.0,3293368.0
Colorado,2010,260733.0,779055.0,629426.0,312761.0,3328045.0
Colorado,2011,281428.0,789859.0,627471.0,331369.0,3387310.0
Colorado,2012,288253.0,818469.0,619568.0,342776.0,3444654.0
Colorado,2013,291173.0,837913.0,623953.0,355393.0,3514235.0
Colorado,2014,294629.0,862158.0,640470.0,373532.0,3584463.0
Colorado,2015,301203.0,909032.0,658172.0,390965.0,3671853.0
Colorado,2016,322529.0,934273.0,673089.0,409712.0,3745506.0
Colorado,2017,313309.0,994894.0,665293.0,421760.0,3822068.0
Colorado,2018,329255.0,1013989.0,661387.0,444914.0,3900287.0
Colorado,2019,334961.0,1057825.0,678101.0,471937.0,3974943.0
Connecticut,2008,176357.0,481976.0,585548.0,256635.0,2364317.0
Connecticut,2009,174809.0,475179.0,589020.0,267418.0,2370028.0
Connecticut,2010,173047.0,491990.0,609078.0,265228.0,2434383.0
Connecticut,2011,179119.0,500103.0,597976.0,275007.0,2444403.0
Connecticut,2012,182429.0,503440.0,607054.0,294155.0,2457978.0
Connecticut,2013,184109.0,508487.0,596039.0,300673.0,2465315.0
Connecticut,2014,184589.0,527472.0,599611.0,298684.0,2471818.0
Connecticut,2015,187970.0,535933.0,597727.0,301008.0,2474718.0
Connecticut,2016,186288.0,541369.0,597334.0,297488.0,2467737.0
Connecticut,2017,201193.0,533791.0,599504.0,311043.0,2493854.0
Connecticut,2018,195971.0,544028.0,594528.0,325902.0,2493396.0
Connecticut,2019,190700.0,549166.0,587402.0,323247.0,2496420.0
Delaware,2008,41966.0,96864.0,162323.0,44629.0,581811.0
Delaware,2009,44146.0,103335.0,165267.0,46372.0,595133.0
Delaware,2010,43386.0,99400.0,174852.0,45974.0,600779.0
Delaware,2011,42602.0,104599.0,173692.0,49862.0,611120.0
Delaware,2012,44331.0,111921.0,173099.0,52001.0,618612.0
Delaware,2013,48277.0,108075.0,175148.0,57865.0,629730.0
Delaware,2014,50787.0,116931.0,178275.0,57035.0,640343.0
Delaware,2015,52556.0,117581.0,171293.0,60228.0,652636.0
Delaware,2016,52228.0,121717.0,188694.0,58672.0,662547.0
Delaware,2017,51777.0,121442.0,196249.0,65823.0,673686.0
Delaware,2018,51648.0,124178.0,206004.0,66391.0,679700.0
Delaware,2019,56885.0,134287.0,183375.0,69023.0,687311.0
District of Columbia,2008,11990.0,87093.0,68599.0,60583.0,403768.0
District of Columbia,2009,10728.0,84646.0,71520.0,64982.0,413396.0
District of Columbia,2010,13337.0,96573.0,71709.0,63707.0,416824.0
District of Columbia,2011,11907.0,99622.0,64742.0,74134.0,428261.0
District of Columbia,2012,14083.0,100904.0,69175.0,77488.0,439531.0
District of Columbia,2013,13818.0,102958.0,72608.0,88292.0,453014.0
District of Columbia,2014,15936.0,112706.0,71358.0,86777.0,463211.0
District of Columbia,2015,14002.0,112629.0,69891.0,97445.0,472884.0
District of Columbia,2016,14086.0,115097.0,73974.0,98988.0,480158.0
District of Columbia,2017,15722.0,118172.0,72373.0,103144.0,494614.0
District of Columbia,2018,13948.0,129782.0,67855.0,109855.0,500176.0
District of Columbia,2019,16922.0,129825.0,67492.0,107612.0,505145.0
Florida,2008,1061658.0,2134466.0,3265311.0,771580.0,12699412.0
Florida,2009,1083545.0,2081848.0,3315145.0,774248.0,12800944.0
Florida,2010,1121500.0,2171876.0,3373011.0,810726.0,13077179.0
Florida,2011,1175984.0,2190780.0,3481927.0,843014.0,13267581.0
Florida,2012,1236800.0,2329936.0,3457338.0,874523.0,13503747.0
Florida,2013,1300616.0,2409162.0,3461436.0,902539.0,13726996.0
Florida,2014,1358245.0,2448663.0,3557737.0,964916.0,14041196.0
Florida,2015,1383565.0,2620339.0,3596122.0,1012174.0,14394281.0
Florida,2016,1429121.0,2675907.0,3629364.0,1061264.0,14703671.0
Florida,2017,1507434.0,2839500.0,3711112.0,1127371.0,15020177.0
Florida,2018,1489510.0,2920459.0,3752049.0,1190545.0,15302125.0
Florida,2019,1538727.0,2982643.0,3739283.0,1235227.0,15484502.0
Georgia,2008,401040.0,1100034.0,1521176.0,424577.0,6191871.0
Georgia,2009,401660.0,1096655.0,1514549.0,430420.0,6230326.0
