state,year,variable_label,num_houses
Alabama,2005,Total,2082140.0
Alabama,2006,Total,2110139.0
Alabama,2007,Total,2137012.0
Alabama,2008,Total,2158692.0
Alabama,2009,Total,2182358.0
Alabama,2010,Total,2174428.0
Alabama,2011,Total,2182199.0
Alabama,2012,Total,2189567.0
Alabama,2013,Total,2190027.0
Alabama,2014,Total,2208030.0
Alabama,2015,Total,2218391.0
Alabama,2016,Total,2230180.0
Alabama,2017,Total,2258669.0
Alabama,2018,Total,2274711.0
Alabama,2019,Total,2284922.0
Alaska,2005,Total,274246.0
Alaska,2006,Total,276590.0
Alaska,2007,Total,282271.0
Alaska,2008,Total,283403.0
Alaska,2009,Total,283895.0
Alaska,2010,Total,307065.0
Alaska,2011,Total,311182.0
Alaska,2012,Total,307628.0
Alaska,2013,Total,307417.0
Alaska,2014,Total,308571.0
Alaska,2015,Total,309453.0
Alaska,2016,Total,310672.0
Alaska,2017,Total,316968.0
Alaska,2018,Total,318352.0
Alaska,2019,Total,319867.0
Arizona,2005,Total,2544806.0
Arizona,2006,Total,2605095.0
Arizona,2007,Total,2667550.0
Arizona,2008,Total,2722712.0
Arizona,2009,Total,2753059.0
Arizona,2010,Total,2846738.0
Arizona,2011,Total,2864360.0
Arizona,2012,Total,2871486.0
Arizona,2013,Total,2892359.0
Arizona,2014,Total,2909336.0
Arizona,2015,Total,2929173.0
Arizona,2016,Total,2961136.0
Arizona,2017,Total,2999185.0
Arizona,2018,Total,3035902.0
Arizona,2019,Total,3076048.0
Arkansas,2005,Total,1249116.0
Arkansas,2006,Total,1273433.0
Arkansas,2007,Total,1287472.0
Arkansas,2008,Total,1298176.0
Arkansas,2009,Total,1309843.0
Arkansas,2010,Total,1317818.0
Arkansas,2011,Total,1324471.0
Arkansas,2012,Total,1328225.0
Arkansas,2013,Total,1329777.0
Arkansas,2014,Total,1341081.0
Arkansas,2015,Total,1347598.0
Arkansas,2016,Total,1354801.0
Arkansas,2017,Total,1370109.0
Arkansas,2018,Total,1380521.0
Arkansas,2019,Total,1389159.0
California,2005,Total,12989254.0
California,2006,Total,13174781.0
California,2007,Total,13308705.0
California,2008,Total,13394143.0
California,2009,Total,13434537.0
California,2010,Total,13682976.0
California,2011,Total,13721187.0
California,2012,Total,13708197.0
California,2013,Total,13791262.0
California,2014,Total,13901594.0
California,2015,Total,13988399.0
California,2016,Total,14061375.0
California,2017,Total,14177270.0
California,2018,Total,14277867.0
California,2019,Total,14367012.0
Colorado,2005,Total,2053178.0
Colorado,2006,Total,2095235.0
Colorado,2007,Total,2127358.0
Colorado,2008,Total,2152124.0
Colorado,2009,Total,2167902.0
Colorado,2010,Total,2214262.0
Colorado,2011,Total,2224661.0
Colorado,2012,Total,2230536.0
Colorado,2013,Total,2247291.0
Colorado,2014,Total,2276280.0
Colorado,2015,Total,2309122.0
Colorado,2016,Total,2339140.0
Colorado,2017,Total,2385495.0
Colorado,2018,Total,2424128.0
Colorado,2019,Total,2464109.0
Connecticut,2005,Total,1423343.0
Connecticut,2006,Total,1432250.0
Connecticut,2007,Total,1438548.0
Connecticut,2008,Total,1443192.0
Connecticut,2009,Total,1445840.0
Connecticut,2010,Total,1488215.0
Connecticut,2011,Total,1494042.0
Connecticut,2012,Total,1488002.0
Connecticut,2013,Total,1488072.0
Connecticut,2014,Total,1493632.0
Connecticut,2015,Total,1496056.0
Connecticut,2016,Total,1499145.0
Connecticut,2017,Total,1517495.0
Connecticut,2018,Total,1521123.0
Connecticut,2019,Total,1524959.0
Delaware,2005,Total,374872.0
Delaware,2006,Total,382866.0
Delaware,2007,Total,388619.0
Delaware,2008,Total,392967.0
Delaware,2009,Total,396270.0
Delaware,2010,Total,406489.0
Delaware,2011,Total,409779.0
Delaware,2012,Total,410308.0
Delaware,2013,Total,412015.0
Delaware,2014,Total,417413.0
Delaware,2015,Total,421734.0
Delaware,2016,Total,426154.0
Delaware,2017,Total,432853.0
Delaware,2018,Total,438659.0
Delaware,2019,Total,443764.0
District of Columbia,2005,Total,277775.0
District of Columbia,2006,Total,282900.0
District of Columbia,2007,Total,284235.0
District of Columbia,2008,Total,285363.0
District of Columbia,2009,Total,285164.0
District of Columbia,2010,Total,296836.0
District of Columbia,2011,Total,298908.0
District of Columbia,2012,Total,300247.0
District of Columbia,2013,Total,302975.0
District of Columbia,2014,Total,306184.0
District of Columbia,2015,Total,309596.0
District of Columbia,2016,Total,313703.0
District of Columbia,2017,Total,314843.0
District of Columbia,2018,Total,319579.0
District of Columbia,2019,Total,322814.0
Florida,2005,Total,8256847.0
Florida,2006,Total,8531860.0
Florida,2007,Total,8716601.0
Florida,2008,Total,8798213.0
Florida,2009,Total,8848172.0
Florida,2010,Total,8994091.0
Florida,2011,Total,9027271.0
Florida,2012,Total,9031530.0
Florida,2013,Total,9047973.0
Florida,2014,Total,9144650.0
Florida,2015,Total,9210287.0
Florida,2016,Total,9302140.0
Florida,2017,Total,9441585.0
Florida,2018,Total,9547762.0
Florida,2019,Total,9674053.0
Georgia,2005,Total,3771466.0
Georgia,2006,Total,3873405.0
Georgia,2007,Total,3961643.0
Georgia,2008,Total,4026181.0
Georgia,2009,Total,4063506.0
Georgia,2010,Total,4091482.0
Georgia,2011,Total,4103118.0
Georgia,2012,Total,4107554.0
Georgia,2013,Total,4110162.0
Georgia,2014,Total,4151387.0
Georgia,2015,Total,4182228.0
Georgia,2016,Total,4219103.0
Georgia,2017,Total,4282254.0
Georgia,2018,Total,4326266.0
Georgia,2019,Total,4378350.0
Hawaii,2005,Total,491071.0
Hawaii,2006,Total,500021.0
Hawaii,2007,Total,506751.0
Hawaii,2008,Total,512842.0
Hawaii,2009,Total,515663.0
Hawaii,2010,Total,519992.0
Hawaii,2011,Total,522314.0
Hawaii,2012,Total,524387.0
Hawaii,2013,Total,526305.0
Hawaii,2014,Total,530118.0
Hawaii,2015,Total,532413.0
Hawaii,2016,Total,537170.0
Hawaii,2017,Total,542955.0
Hawaii,2018,Total,546261.0
Hawaii,2019,Total,550328.0
Idaho,2005,Total,595572.0
Idaho,2006,Total,615703.0
Idaho,2007,Total,631022.0
Idaho,2008,Total,641543.0
Idaho,2009,Total,647537.0
Idaho,2010,Total,668634.0
Idaho,2011,Total,674394.0
Idaho,2012,Total,673048.0
Idaho,2013,Total,676192.0
Idaho,2014,Total,685098.0
Idaho,2015,Total,692482.0
Idaho,2016,Total,700829.0
Idaho,2017,Total,721818.0
Idaho,2018,Total,735703.0
Idaho,2019,Total,751113.0
Illinois,2005,Total,5144623.0
Illinois,2006,Total,5199743.0
Illinois,2007,Total,5246116.0
Illinois,2008,Total,5276082.0
Illinois,2009,Total,5290878.0
Illinois,2010,Total,5297077.0
Illinois,2011,Total,5296209.0
Illinois,2012,Total,5290149.0
Illinois,2013,Total,5289653.0
Illinois,2014,Total,5307508.0
Illinois,2015,Total,5317618.0
Illinois,2016,Total,5327165.0
Illinois,2017,Total,5359416.0
Illinois,2018,Total,5376176.0
Illinois,2019,Total,5388210.0
Indiana,2005,Total,2724429.0
Indiana,2006,Total,2756583.0
Indiana,2007,Total,2777953.0
Indiana,2008,Total,2795063.0
Indiana,2009,Total,2809487.0
Indiana,2010,Total,2797172.0
Indiana,2011,Total,2800799.0
Indiana,2012,Total,2808430.0
Indiana,2013,Total,2809640.0
Indiana,2014,Total,2829630.0
Indiana,2015,Total,2841450.0
Indiana,2016,Total,2854595.0
Indiana,2017,Total,2885342.0
Indiana,2018,Total,2903576.0
Indiana,2019,Total,2921115.0
Iowa,2005,Total,1306943.0
Iowa,2006,Total,1319980.0
Iowa,2007,Total,1329388.0
Iowa,2008,Total,1328740.0
Iowa,2009,Total,1342052.0
Iowa,2010,Total,1337563.0
Iowa,2011,Total,1340588.0
Iowa,2012,Total,1345711.0
Iowa,2013,Total,1349607.0
Iowa,2014,Total,1362034.0
Iowa,2015,Total,1369379.0
Iowa,2016,Total,1380087.0
Iowa,2017,Total,1397739.0
Iowa,2018,Total,1409568.0
Iowa,2019,Total,1418600.0
Kansas,2005,Total,1196211.0
Kansas,2006,Total,1207391.0
Kansas,2007,Total,1219100.0
Kansas,2008,Total,1226429.0
Kansas,2009,Total,1231995.0
Kansas,2010,Total,1234037.0
Kansas,2011,Total,1237738.0
Kansas,2012,Total,1238703.0
Kansas,2013,Total,1239755.0
Kansas,2014,Total,1248861.0
Kansas,2015,Total,1253889.0
Kansas,2016,Total,1259870.0
Kansas,2017,Total,1273776.0
Kansas,2018,Total,1280553.0
Kansas,2019,Total,1288430.0
Kentucky,2005,Total,1865516.0
Kentucky,2006,Total,1888336.0
Kentucky,2007,Total,1906198.0
Kentucky,2008,Total,1920533.0
Kentucky,2009,Total,1934995.0
Kentucky,2010,Total,1928617.0
Kentucky,2011,Total,1932731.0
Kentucky,2012,Total,1937321.0
Kentucky,2013,Total,1936634.0
Kentucky,2014,Total,1950504.0
Kentucky,2015,Total,1957133.0
Kentucky,2016,Total,1965577.0
Kentucky,2017,Total,1984235.0
Kentucky,2018,Total,1995187.0
Kentucky,2019,Total,2006335.0
Louisiana,2005,Total,1940399.0
Louisiana,2006,Total,1829933.0
Louisiana,2007,Total,1858586.0
Louisiana,2008,Total,1883134.0
Louisiana,2009,Total,1963337.0
Louisiana,2010,Total,1967947.0
Louisiana,2011,Total,1978974.0
Louisiana,2012,Total,1987059.0
Louisiana,2013,Total,1990967.0
Louisiana,2014,Total,2011037.0
Louisiana,2015,Total,2024737.0
Louisiana,2016,Total,2037067.0
Louisiana,2017,Total,2061582.0
Louisiana,2018,Total,2076136.0
Louisiana,2019,Total,2089824.0
Maine,2005,Total,683799.0
Maine,2006,Total,691164.0
Maine,2007,Total,696681.0
Maine,2008,Total,700550.0
Maine,2009,Total,704574.0
Maine,2010,Total,722217.0
Maine,2011,Total,725650.0
Maine,2012,Total,724187.0
Maine,2013,Total,723140.0
Maine,2014,Total,727693.0
Maine,2015,Total,729392.0
Maine,2016,Total,730786.0
Maine,2017,Total,742644.0
Maine,2018,Total,746592.0
Maine,2019,Total,750964.0
Maryland,2005,Total,2273793.0
Maryland,2006,Total,2300749.0
Maryland,2007,Total,2318430.0
Maryland,2008,Total,2333250.0
Maryland,2009,Total,2341332.0
Maryland,2010,Total,2380605.0
Maryland,2011,Total,2391508.0
Maryland,2012,Total,2395635.0
Maryland,2013,Total,2404177.0
Maryland,2014,Total,2422317.0
Maryland,2015,Total,2434465.0
Maryland,2016,Total,2447211.0
Maryland,2017,Total,2449123.0
Maryland,2018,Total,2458779.0
Maryland,2019,Total,2470307.0
Massachusetts,2005,Total,2688014.0
Massachusetts,2006,Total,2709208.0
Massachusetts,2007,Total,2722323.0
Massachusetts,2008,Total,2735645.0
Massachusetts,2009,Total,2748475.0
Massachusetts,2010,Total,2808727.0
Massachusetts,2011,Total,2819028.0
Massachusetts,2012,Total,2810394.0
Massachusetts,2013,Total,2813641.0
Massachusetts,2014,Total,2828592.0
Massachusetts,2015,Total,2845805.0
Massachusetts,2016,Total,2858087.0
Massachusetts,2017,Total,2894590.0
Massachusetts,2018,Total,2915043.0
Massachusetts,2019,Total,2928818.0
Michigan,2005,Total,4478507.0
Michigan,2006,Total,4513502.0
Michigan,2007,Total,4526914.0
Michigan,2008,Total,4535568.0
Michigan,2009,Total,4541470.0
Michigan,2010,Total,4531231.0
Michigan,2011,Total,4525654.0
Michigan,2012,Total,4525081.0
Michigan,2013,Total,4525266.0
Michigan,2014,Total,4540088.0
Michigan,2015,Total,4550324.0
Michigan,2016,Total,4560164.0
Michigan,2017,Total,4595274.0
Michigan,2018,Total,4614552.0
Michigan,2019,Total,4629605.0
Minnesota,2005,Total,2252022.0
Minnesota,2006,Total,2282837.0
Minnesota,2007,Total,2304473.0
Minnesota,2008,Total,2331203.0
Minnesota,2009,Total,2331243.0
Minnesota,2010,Total,2348242.0
Minnesota,2011,Total,2354075.0
Minnesota,2012,Total,2361074.0
Minnesota,2013,Total,2368754.0
Minnesota,2014,Total,2385261.0
Minnesota,2015,Total,2397081.0
Minnesota,2016,Total,2409701.0
Minnesota,2017,Total,2437726.0
Minnesota,2018,Total,2455637.0
Minnesota,2019,Total,2477515.0
Mississippi,2005,Total,1235496.0
Mississippi,2006,Total,1241439.0
Mississippi,2007,Total,1254936.0
Mississippi,2008,Total,1267191.0
Mississippi,2009,Total,1282015.0
Mississippi,2010,Total,1276441.0
Mississippi,2011,Total,1281760.0
Mississippi,2012,Total,1283897.0
Mississippi,2013,Total,1283192.0
Mississippi,2014,Total,1294738.0
Mississippi,2015,Total,1300932.0
Mississippi,2016,Total,1307492.0
Mississippi,2017,Total,1323754.0
Mississippi,2018,Total,1332631.0
Mississippi,2019,Total,1339047.0
Missouri,2005,Total,2592809.0
Missouri,2006,Total,2622995.0
Missouri,2007,Total,2647379.0
Missouri,2008,Total,2664062.0
Missouri,2009,Total,2682015.0
Missouri,2010,Total,2714017.0
Missouri,2011,Total,2723449.0
Missouri,2012,Total,2720087.0
Missouri,2013,Total,2719109.0
Missouri,2014,Total,2735803.0
Missouri,2015,Total,2746644.0
Missouri,2016,Total,2760226.0
Missouri,2017,Total,2792445.0
Missouri,2018,Total,2806296.0
Missouri,2019,Total,2819334.0
Montana,2005,Total,428357.0
Montana,2006,Total,432080.0
Montana,2007,Total,435586.0
Montana,2008,Total,438337.0
Montana,2009,Total,441318.0
Montana,2010,Total,483006.0
Montana,2011,Total,489183.0
Montana,2012,Total,486161.0
Montana,2013,Total,485767.0
Montana,2014,Total,491515.0
Montana,2015,Total,494222.0
Montana,2016,Total,497749.0
Montana,2017,Total,510408.0
Montana,2018,Total,515161.0
Montana,2019,Total,519938.0
Nebraska,2005,Total,766951.0
Nebraska,2006,Total,774571.0
Nebraska,2007,Total,780592.0
Nebraska,2008,Total,785841.0
Nebraska,2009,Total,789397.0
Nebraska,2010,Total,797677.0
Nebraska,2011,Total,801182.0
Nebraska,2012,Total,804274.0
Nebraska,2013,Total,806888.0
Nebraska,2014,Total,814957.0
Nebraska,2015,Total,820925.0
Nebraska,2016,Total,827191.0
Nebraska,2017,Total,837540.0
Nebraska,2018,Total,845011.0
Nebraska,2019,Total,851167.0
Nevada,2005,Total,1019427.0
Nevada,2006,Total,1065267.0
Nevada,2007,Total,1102409.0
Nevada,2008,Total,1127100.0
Nevada,2009,Total,1138045.0
Nevada,2010,Total,1175070.0
Nevada,2011,Total,1183917.0
Nevada,2012,Total,1182842.0
Nevada,2013,Total,1186936.0
Nevada,2014,Total,1198969.0
Nevada,2015,Total,1209864.0
Nevada,2016,Total,1221759.0
Nevada,2017,Total,1249733.0
Nevada,2018,Total,1268717.0
Nevada,2019,Total,1285681.0
New Hampshire,2005,Total,583324.0
New Hampshire,2006,Total,589840.0
New Hampshire,2007,Total,594126.0
New Hampshire,2008,Total,597088.0
New Hampshire,2009,Total,600087.0
New Hampshire,2010,Total,614996.0
New Hampshire,2011,Total,617702.0
New Hampshire,2012,Total,617005.0
New Hampshire,2013,Total,616496.0
New Hampshire,2014,Total,619865.0
New Hampshire,2015,Total,622604.0
New Hampshire,2016,Total,625337.0
New Hampshire,2017,Total,634689.0
New Hampshire,2018,Total,638112.0
New Hampshire,2019,Total,642298.0
New Jersey,2005,Total,3443981.0
New Jersey,2006,Total,3472782.0
New Jersey,2007,Total,3498786.0
New Jersey,2008,Total,3515923.0
New Jersey,2009,Total,3524954.0
New Jersey,2010,Total,3554909.0
New Jersey,2011,Total,3562720.0
New Jersey,2012,Total,3574763.0
New Jersey,2013,Total,3578260.0
New Jersey,2014,Total,3591847.0
New Jersey,2015,Total,3593722.0
New Jersey,2016,Total,3604688.0
New Jersey,2017,Total,3615891.0
New Jersey,2018,Total,3628198.0
New Jersey,2019,Total,3641854.0
New Mexico,2005,Total,838668.0
New Mexico,2006,Total,850153.0
New Mexico,2007,Total,862095.0
New Mexico,2008,Total,871721.0
New Mexico,2009,Total,878066.0
New Mexico,2010,Total,902242.0
New Mexico,2011,Total,908168.0
New Mexico,2012,Total,906838.0
New Mexico,2013,Total,905134.0
New Mexico,2014,Total,912910.0
New Mexico,2015,Total,914979.0
New Mexico,2016,Total,917641.0
New Mexico,2017,Total,937976.0
New Mexico,2018,Total,943232.0
New Mexico,2019,Total,948470.0
New York,2005,Total,7853020.0
New York,2006,Total,7907514.0
New York,2007,Total,7940072.0
New York,2008,Total,7977383.0
New York,2009,Total,8017978.0
New York,2010,Total,8108211.0
New York,2011,Total,8119804.0
New York,2012,Total,8123585.0
New York,2013,Total,8126399.0
New York,2014,Total,8191528.0
New York,2015,Total,8207161.0
New York,2016,Total,8232039.0
New York,2017,Total,8327621.0
