state,year,median_age
Alabama,2005,37.4
Alabama,2006,37.2
Alabama,2007,37.3
Alabama,2008,37.4
Alabama,2009,37.4
Alabama,2010,37.8
Alabama,2011,38.1
Alabama,2012,38.2
Alabama,2013,38.3
Alabama,2014,38.6
Alabama,2015,38.7
Alabama,2016,39.0
Alabama,2017,38.9
Alabama,2018,39.3
Alabama,2019,39.4
Alaska,2005,33.9
Alaska,2006,33.5
Alaska,2007,33.3
Alaska,2008,33.0
Alaska,2009,32.6
Alaska,2010,33.8
Alaska,2011,33.9
Alaska,2012,33.8
Alaska,2013,33.1
Alaska,2014,33.3
Alaska,2015,33.3
Alaska,2016,33.5
Alaska,2017,34.5
Alaska,2018,34.9
Alaska,2019,35.0
Arizona,2005,34.5
Arizona,2006,34.6
Arizona,2007,34.9
Arizona,2008,35.1
Arizona,2009,34.9
Arizona,2010,35.9
Arizona,2011,36.2
Arizona,2012,36.6
Arizona,2013,36.8
Arizona,2014,36.9
Arizona,2015,37.4
Arizona,2016,37.5
Arizona,2017,37.7
Arizona,2018,38.0
Arizona,2019,38.3
Arkansas,2005,37.0
Arkansas,2006,37.1
Arkansas,2007,37.0
Arkansas,2008,37.3
Arkansas,2009,37.1
Arkansas,2010,37.3
Arkansas,2011,37.5
Arkansas,2012,37.6
Arkansas,2013,37.8
Arkansas,2014,37.8
Arkansas,2015,37.9
Arkansas,2016,38.0
Arkansas,2017,38.1
Arkansas,2018,38.1
Arkansas,2019,38.8
California,2005,34.4
California,2006,34.4
California,2007,34.7
California,2008,34.9
California,2009,34.9
California,2010,35.2
California,2011,35.4
California,2012,35.5
California,2013,35.7
California,2014,36.0
California,2015,36.2
California,2016,36.4
California,2017,36.5
California,2018,36.7
California,2019,37.0
Colorado,2005,34.7
Colorado,2006,35.4
Colorado,2007,35.7
Colorado,2008,35.8
Colorado,2009,35.7
Colorado,2010,36.0
Colorado,2011,36.2
Colorado,2012,36.2
Colorado,2013,36.4
Colorado,2014,36.3
Colorado,2015,36.4
Colorado,2016,36.7
Colorado,2017,36.8
Colorado,2018,36.9
Colorado,2019,37.1
Connecticut,2005,39.3
Connecticut,2006,39.1
Connecticut,2007,39.1
Connecticut,2008,39.3
Connecticut,2009,39.5
Connecticut,2010,40.0
Connecticut,2011,40.3
Connecticut,2012,40.4
Connecticut,2013,40.5
Connecticut,2014,40.5
Connecticut,2015,40.6
Connecticut,2016,40.9
