state,year,median_monthly_house_cost
Alabama,2005,624.0
Alabama,2006,685.0
Alabama,2007,713.0
Alabama,2008,742.0
Alabama,2009,751.0
Alabama,2010,772.0
Alabama,2011,774.0
Alabama,2012,725.0
Alabama,2013,718.0
Alabama,2014,733.0
Alabama,2015,724.0
Alabama,2016,728.0
Alabama,2017,716.0
Alabama,2018,734.0
Alabama,2019,753.0
Alaska,2005,1182.0
Alaska,2006,1233.0
Alaska,2007,1372.0
Alaska,2008,1393.0
Alaska,2009,1384.0
Alaska,2010,1363.0
Alaska,2011,1346.0
Alaska,2012,1364.0
Alaska,2013,1311.0
Alaska,2014,1366.0
Alaska,2015,1360.0
Alaska,2016,1360.0
Alaska,2017,1373.0
Alaska,2018,1364.0
Alaska,2019,1382.0
Arizona,2005,952.0
Arizona,2006,1062.0
Arizona,2007,1126.0
Arizona,2008,1177.0
Arizona,2009,1158.0
Arizona,2010,1119.0
Arizona,2011,1056.0
Arizona,2012,969.0
Arizona,2013,943.0
Arizona,2014,931.0
Arizona,2015,976.0
Arizona,2016,975.0
Arizona,2017,1009.0
Arizona,2018,1023.0
Arizona,2019,1038.0
Arkansas,2005,580.0
Arkansas,2006,611.0
Arkansas,2007,629.0
Arkansas,2008,660.0
Arkansas,2009,653.0
Arkansas,2010,657.0
Arkansas,2011,674.0
Arkansas,2012,647.0
Arkansas,2013,637.0
Arkansas,2014,662.0
Arkansas,2015,663.0
Arkansas,2016,645.0
Arkansas,2017,666.0
Arkansas,2018,682.0
Arkansas,2019,662.0
California,2005,1564.0
California,2006,1737.0
California,2007,1850.0
California,2008,1919.0
California,2009,1852.0
California,2010,1790.0
California,2011,1740.0
California,2012,1682.0
California,2013,1612.0
California,2014,1613.0
California,2015,1648.0
California,2016,1691.0
California,2017,1745.0
California,2018,1785.0
California,2019,1835.0
Colorado,2005,1220.0
Colorado,2006,1317.0
Colorado,2007,1333.0
Colorado,2008,1364.0
Colorado,2009,1352.0
Colorado,2010,1327.0
Colorado,2011,1306.0
Colorado,2012,1281.0
Colorado,2013,1235.0
Colorado,2014,1250.0
Colorado,2015,1273.0
Colorado,2016,1292.0
Colorado,2017,1353.0
Colorado,2018,1377.0
Colorado,2019,1466.0
Connecticut,2005,1415.0
Connecticut,2006,1527.0
Connecticut,2007,1616.0
Connecticut,2008,1722.0
Connecticut,2009,1708.0
Connecticut,2010,1704.0
Connecticut,2011,1683.0
Connecticut,2012,1668.0
Connecticut,2013,1622.0
Connecticut,2014,1634.0
Connecticut,2015,1648.0
Connecticut,2016,1613.0
Connecticut,2017,1616.0
Connecticut,2018,1661.0
Connecticut,2019,1667.0
Delaware,2005,993.0
Delaware,2006,1003.0
Delaware,2007,1174.0
Delaware,2008,1209.0
Delaware,2009,1234.0
Delaware,2010,1242.0
Delaware,2011,1231.0
Delaware,2012,1215.0
Delaware,2013,1137.0
Delaware,2014,1144.0
Delaware,2015,1137.0
Delaware,2016,1095.0
Delaware,2017,1160.0
Delaware,2018,1157.0
Delaware,2019,1182.0
District of Columbia,2005,1351.0
District of Columbia,2006,1558.0
District of Columbia,2007,1665.0
District of Columbia,2008,1826.0
District of Columbia,2009,1841.0
District of Columbia,2010,1869.0
District of Columbia,2011,1874.0
District of Columbia,2012,1925.0
District of Columbia,2013,1836.0
District of Columbia,2014,1786.0
District of Columbia,2015,1910.0
District of Columbia,2016,1957.0
District of Columbia,2017,1977.0
District of Columbia,2018,2122.0
District of Columbia,2019,2215.0
Florida,2005,925.0
Florida,2006,1045.0
Florida,2007,1142.0
Florida,2008,1152.0
Florida,2009,1125.0
Florida,2010,1087.0
Florida,2011,1048.0
Florida,2012,992.0
Florida,2013,935.0
Florida,2014,933.0
Florida,2015,951.0
Florida,2016,958.0
Florida,2017,968.0
Florida,2018,987.0
Florida,2019,1025.0
Georgia,2005,974.0
Georgia,2006,1033.0
Georgia,2007,1076.0
Georgia,2008,1106.0
Georgia,2009,1092.0
Georgia,2010,1106.0
Georgia,2011,1070.0
Georgia,2012,1039.0
Georgia,2013,982.0
Georgia,2014,989.0
Georgia,2015,993.0
Georgia,2016,990.0
Georgia,2017,1004.0
Georgia,2018,1024.0
Georgia,2019,1059.0
Hawaii,2005,1278.0
Hawaii,2006,1465.0
Hawaii,2007,1484.0
Hawaii,2008,1645.0
Hawaii,2009,1672.0
Hawaii,2010,1618.0
Hawaii,2011,1582.0
Hawaii,2012,1646.0
Hawaii,2013,1630.0
Hawaii,2014,1546.0
Hawaii,2015,1576.0
Hawaii,2016,1577.0
Hawaii,2017,1608.0
Hawaii,2018,1657.0
Hawaii,2019,1713.0
Idaho,2005,805.0
Idaho,2006,870.0
Idaho,2007,909.0
Idaho,2008,946.0
Idaho,2009,957.0
Idaho,2010,923.0
Idaho,2011,920.0
Idaho,2012,913.0
Idaho,2013,886.0
Idaho,2014,854.0
Idaho,2015,883.0
Idaho,2016,884.0
Idaho,2017,926.0
Idaho,2018,952.0
Idaho,2019,965.0
Illinois,2005,1107.0
Illinois,2006,1184.0
Illinois,2007,1242.0
Illinois,2008,1293.0
Illinois,2009,1267.0
Illinois,2010,1254.0
Illinois,2011,1237.0
Illinois,2012,1215.0
Illinois,2013,1156.0
Illinois,2014,1163.0
Illinois,2015,1171.0
Illinois,2016,1163.0
Illinois,2017,1172.0
Illinois,2018,1205.0
Illinois,2019,1213.0
Indiana,2005,822.0
Indiana,2006,874.0
Indiana,2007,888.0
Indiana,2008,916.0
Indiana,2009,896.0
Indiana,2010,867.0
Indiana,2011,860.0
Indiana,2012,834.0
Indiana,2013,822.0
Indiana,2014,840.0
Indiana,2015,842.0
Indiana,2016,818.0
Indiana,2017,835.0
Indiana,2018,853.0
Indiana,2019,874.0
Iowa,2005,724.0
Iowa,2006,780.0
Iowa,2007,798.0
Iowa,2008,823.0
Iowa,2009,821.0
Iowa,2010,819.0
Iowa,2011,829.0
Iowa,2012,817.0
Iowa,2013,806.0
Iowa,2014,843.0
Iowa,2015,834.0
Iowa,2016,847.0
Iowa,2017,879.0
Iowa,2018,886.0
Iowa,2019,924.0
Kansas,2005,776.0
Kansas,2006,827.0
Kansas,2007,847.0
Kansas,2008,887.0
Kansas,2009,883.0
Kansas,2010,882.0
Kansas,2011,894.0
Kansas,2012,892.0
Kansas,2013,856.0
Kansas,2014,894.0
Kansas,2015,893.0
Kansas,2016,885.0
Kansas,2017,905.0
Kansas,2018,951.0
Kansas,2019,945.0
Kentucky,2005,655.0
Kentucky,2006,692.0
Kentucky,2007,697.0
Kentucky,2008,728.0
Kentucky,2009,737.0
Kentucky,2010,741.0
Kentucky,2011,745.0
Kentucky,2012,732.0
Kentucky,2013,717.0
Kentucky,2014,754.0
Kentucky,2015,737.0
Kentucky,2016,756.0
Kentucky,2017,765.0
Kentucky,2018,773.0
Kentucky,2019,786.0
Louisiana,2005,629.0
Louisiana,2006,648.0
Louisiana,2007,680.0
Louisiana,2008,709.0
Louisiana,2009,694.0
Louisiana,2010,705.0
Louisiana,2011,694.0
Louisiana,2012,689.0
Louisiana,2013,680.0
Louisiana,2014,686.0
Louisiana,2015,698.0
Louisiana,2016,692.0
Louisiana,2017,708.0
Louisiana,2018,740.0
Louisiana,2019,727.0
Maine,2005,781.0
