GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""00000""",United States, ,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,20308,21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33170,34337,35196,35954,37212,38235,39289,40720,42570,43946,42635
" ""00000""",United States, ,SAPCE2,2,..., Goods,Dollars,7359,7643,8196,8694,8863,9035,9385,9911,10432,10857,11178,11060,10366,10726,11291,11590,11801,12133,12231,12356,12791,13321,13642,14125
" ""00000""",United States, ,SAPCE2,3,...,  Durable goods,Dollars,2624,2825,3066,3234,3304,3426,3508,3690,3819,3882,3944,3613,3299,3391,3509,3645,3763,3901,4077,4164,4296,4495,4609,4906
" ""00000""",United States, ,SAPCE2,4,...,   Motor vehicles and parts,Dollars,1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1129,1039,1114,1172,1264,1321,1388,1482,1499,1542,1589,1567,1643
" ""00000""",United States, ,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,589,629,685,738,754,785,811,869,918,950,941,869,777,779,792,809,834,867,917,955,993,1057,1097,1185
" ""00000""",United States, ,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,641,694,756,818,824,851,894,973,1037,1094,1126,1079,970,965,980,993,1017,1036,1049,1082,1127,1197,1282,1445
" ""00000""",United States, ,SAPCE2,7,...,   Other durable goods,Dollars,320,341,368,391,380,394,419,451,477,514,547,536,514,533,565,579,591,609,628,628,634,652,663,633
" ""00000""",United States, ,SAPCE2,8,...,  Nondurable goods,Dollars,4735,4818,5130,5460,5559,5610,5876,6221,6613,6975,7234,7447,7067,7335,7782,7944,8038,8232,8154,8192,8495,8826,9032,9219
" ""00000""",United States, ,SAPCE2,9,...,   Food and beverages purchased for off-premises consumption,Dollars,1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2529,2520,2544,2630,2696,2734,2817,2871,2912,2993,3061,3140,3480
" ""00000""",United States, ,SAPCE2,10,...,   Clothing and footwear,Dollars,908,935,972,995,975,969,983,1016,1051,1073,1074,1044,991,1024,1067,1100,1109,1133,1150,1163,1172,1199,1213,1100
" ""00000""",United States, ,SAPCE2,11,...,   Gasoline and other energy goods,Dollars,542,480,525,654,625,584,677,795,960,1071,1147,1286,936,1089,1328,1344,1323,1267,965,853,953,1072,1028,749
" ""00000""",United States, ,SAPCE2,12,...,   Other nondurable goods,Dollars,1544,1637,1786,1895,1980,2057,2149,2250,2341,2485,2565,2588,2621,2679,2756,2804,2872,3015,3169,3264,3377,3494,3652,3890
" ""00000""",United States, ,SAPCE2,13,..., Services,Dollars,12948,13662,14323,15289,15960,16515,17298,18203,19241,20235,21178,21989,21877,22444,23046,23607,24152,25079,26004,26933,27930,29249,30304,28510
" ""00000""",United States, ,SAPCE2,14,...,  Household consumption expenditures (for services),Dollars,12561,13214,13828,14729,15332,15825,16589,17498,18530,19433,20352,21045,20934,21492,22045,22519,23037,23931,24845,25691,26644,27889,28964,26930
" ""00000""",United States, ,SAPCE2,15,...,   Housing and utilities,Dollars,3704,3862,4025,4248,4518,4622,4795,5009,5347,5583,5841,6158,6194,6297,6365,6419,6592,6757,6880,7060,7269,7564,7832,8098
" ""00000""",United States, ,SAPCE2,16,...,   Health care,Dollars,2901,3016,3095,3255,3497,3765,3978,4231,4469,4665,4907,5115,5322,5494,5639,5803,5879,6095,6414,6684,6886,7158,7487,7006
" ""00000""",United States, ,SAPCE2,17,...,   Transportation services,Dollars,777,816,865,926,912,876,895,926,961,996,1021,1028,969,987,1054,1087,1139,1203,1243,1299,1356,1436,1509,1103
" ""00000""",United States, ,SAPCE2,18,...,   Recreation services,Dollars,764,798,853,902,920,944,996,1064,1110,1177,1247,1279,1266,1305,1313,1372,1414,1465,1533,1605,1668,1728,1776,1264
" ""00000""",United States, ,SAPCE2,19,...,   Food services and accommodations,Dollars,1260,1312,1363,1449,1473,1517,1595,1702,1806,1912,1997,2039,1997,2055,2149,2246,2317,2440,2597,2703,2810,2940,3071,2433
" ""00000""",United States, ,SAPCE2,20,...,   Financial services and insurance,Dollars,1500,1617,1737,1921,1857,1874,1979,2115,2290,2411,2532,2557,2349,2483,2603,2647,2750,2899,3038,3083,3288,3524,3568,3631
" ""00000""",United States, ,SAPCE2,21,...,   Other services,Dollars,1656,1792,1890,2029,2155,2228,2351,2452,2547,2689,2807,2868,2837,2871,2922,2945,2945,3071,3141,3256,3368,3539,3721,3395
" ""00000""",United States, ,SAPCE2,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),Dollars,387,449,495,560,628,690,708,705,712,802,826,945,943,952,1001,1088,1116,1148,1159,1243,1286,1361,1340,1581
" ""00000""",United States, ,SAPCE2,23,...,   Gross output of nonprofit institutions,Dollars,1843,1967,2065,2203,2374,2563,2670,2797,2939,3124,3264,3444,3548,3649,3766,3939,4024,4153,4313,4520,4645,4858,5006,4992
" ""00000""",United States, ,SAPCE2,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,Dollars,1456,1518,1570,1643,1745,1873,1962,2092,2227,2323,2438,2499,2605,2697,2765,2851,2908,3005,3154,3277,3360,3497,3666,3411
" ""01000""",Alabama,5,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,17645,18272,19194,20199,20912,21745,22719,23980,25355,26312,27290,27658,27044,27783,28616,29138,29810,30697,31465,32284,33491,34928,36217,35859
" ""01000""",Alabama,5,SAPCE2,2,..., Goods,Dollars,6867,7034,7485,7852,8081,8411,8833,9392,9952,10355,10663,10555,9987,10325,10816,11046,11255,11499,11546,11583,11920,12369,12695,13342
" ""01000""",Alabama,5,SAPCE2,3,...,  Durable goods,Dollars,2287,2424,2615,2684,2737,2915,2982,3135,3257,3315,3395,3044,2793,2899,3009,3129,3216,3314,3468,3559,3660,3825,3940,4348
" ""01000""",Alabama,5,SAPCE2,4,...,   Motor vehicles and parts,Dollars,1120,1201,1306,1309,1362,1449,1450,1472,1487,1450,1454,1208,1089,1198,1267,1352,1399,1444,1530,1562,1598,1658,1645,1791
" ""01000""",Alabama,5,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,496,516,546,569,570,605,628,677,730,761,773,709,645,640,645,659,674,697,741,777,810,863,914,1046
" ""01000""",Alabama,5,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,423,439,470,500,501,534,571,628,662,697,734,701,641,629,641,657,669,680,686,719,751,792,861,1015
" ""01000""",Alabama,5,SAPCE2,7,...,   Other durable goods,Dollars,249,268,294,307,304,327,333,358,379,407,433,424,418,433,456,462,475,492,511,501,501,512,521,497
" ""01000""",Alabama,5,SAPCE2,8,...,  Nondurable goods,Dollars,4580,4610,4870,5168,5344,5496,5851,6257,6695,7040,7268,7511,7195,7426,7807,7917,8039,8185,8078,8023,8261,8545,8754,8994
" ""01000""",Alabama,5,SAPCE2,9,...,   Food and beverages purchased for off-premises consumption,Dollars,1774,1786,1843,1872,1968,2019,2074,2138,2196,2216,2262,2336,2348,2354,2425,2458,2461,2522,2569,2618,2666,2746,2822,3126
" ""01000""",Alabama,5,SAPCE2,10,...,   Clothing and footwear,Dollars,744,776,807,825,823,827,835,874,915,938,944,926,893,920,945,944,953,970,987,997,995,1018,1030,988
" ""01000""",Alabama,5,SAPCE2,11,...,   Gasoline and other energy goods,Dollars,569,492,539,699,653,610,717,842,1018,1162,1227,1376,1001,1185,1447,1463,1452,1366,1035,909,1007,1115,1073,787
" ""01000""",Alabama,5,SAPCE2,12,...,   Other nondurable goods,Dollars,1493,1556,1680,1771,1900,2040,2226,2403,2567,2723,2835,2873,2953,2967,2989,3053,3173,3327,3488,3500,3592,3666,3829,4093
" ""01000""",Alabama,5,SAPCE2,13,..., Services,Dollars,10777,11237,11709,12347,12831,13334,13886,14589,15403,15957,16627,17103,17057,17458,17800,18092,18555,19198,19919,20701,21571,22559,23522,22516
" ""01000""",Alabama,5,SAPCE2,14,...,  Household consumption expenditures (for services),Dollars,10591,11007,11428,12038,12513,13007,13588,14266,15082,15643,16261,16646,16609,17018,17339,17605,18054,18658,19411,20124,20962,21928,22936,21697
" ""01000""",Alabama,5,SAPCE2,15,...,   Housing and utilities,Dollars,3014,3139,3277,3476,3713,3824,3939,4132,4399,4640,4920,5118,5148,5280,5320,5328,5437,5497,5580,5724,5852,6112,6336,6536
" ""01000""",Alabama,5,SAPCE2,16,...,   Health care,Dollars,2857,2919,2947,3078,3270,3543,3690,3902,4162,4279,4414,4499,4625,4715,4798,4986,5084,5212,5460,5631,5796,5990,6303,5904
" ""01000""",Alabama,5,SAPCE2,17,...,   Transportation services,Dollars,520,552,584,599,588,561,586,622,645,649,658,663,625,628,660,658,669,705,700,743,769,791,844,715
" ""01000""",Alabama,5,SAPCE2,18,...,   Recreation services,Dollars,650,666,691,701,703,708,734,769,784,809,835,843,827,832,810,833,866,886,929,958,987,1003,1029,788
" ""01000""",Alabama,5,SAPCE2,19,...,   Food services and accommodations,Dollars,980,1014,1064,1095,1112,1145,1220,1289,1375,1449,1507,1561,1564,1607,1659,1717,1786,1886,2031,2148,2260,2354,2455,2135
" ""01000""",Alabama,5,SAPCE2,20,...,   Financial services and insurance,Dollars,1151,1226,1313,1445,1423,1463,1563,1636,1744,1796,1843,1845,1708,1814,1874,1863,1895,1992,2104,2159,2342,2562,2667,2732
" ""01000""",Alabama,5,SAPCE2,21,...,   Other services,Dollars,1419,1492,1553,1644,1704,1764,1856,1917,1973,2021,2085,2116,2112,2143,2219,2220,2317,2481,2606,2761,2956,3117,3302,2886
" ""01000""",Alabama,5,SAPCE2,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),Dollars,186,230,281,309,318,327,298,322,321,313,366,458,448,440,461,487,501,541,508,578,609,631,586,820
" ""01000""",Alabama,5,SAPCE2,23,...,   Gross output of nonprofit institutions,Dollars,1447,1545,1660,1754,1832,1941,1968,2128,2264,2338,2534,2655,2719,2780,2849,2926,3009,3078,3169,3288,3409,3554,3685,3698
" ""01000""",Alabama,5,SAPCE2,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,Dollars,1261,1314,1379,1444,1514,1614,1670,1806,1944,2025,2167,2197,2271,2340,2389,2439,2508,2537,2662,2710,2800,2923,3098,2878
" ""02000""",Alaska,8,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,23175,24071,25381,27199,28551,30198,31649,33081,34956,36276,38108,39547,39219,40053,41756,42651,42988,44529,45362,46080,47556,49747,51499,48739
" ""02000""",Alaska,8,SAPCE2,2,..., Goods,Dollars,8652,8825,9338,9720,9916,10439,10941,11503,11911,12190,12584,12745,12139,12292,12798,12967,12893,13185,13028,12942,13220,13574,13825,14331
" ""02000""",Alaska,8,SAPCE2,3,...,  Durable goods,Dollars,3203,3372,3620,3714,3855,4222,4416,4632,4695,4664,4741,4480,4204,4128,4178,4316,4374,4551,4703,4821,5051,5215,5371,5879
" ""02000""",Alaska,8,SAPCE2,4,...,   Motor vehicles and parts,Dollars,1297,1406,1579,1646,1749,1963,1993,2000,1877,1720,1702,1452,1397,1400,1406,1522,1581,1629,1713,1694,1730,1707,1693,1857
" ""02000""",Alaska,8,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,614,631,660,685,717,806,850,899,973,999,1010,1017,950,937,944,958,960,1011,1054,1055,1076,1147,1205,1289
" ""02000""",Alaska,8,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,909,940,953,953,970,1021,1116,1242,1331,1402,1460,1447,1332,1266,1274,1283,1285,1348,1359,1490,1657,1758,1858,2170
" ""02000""",Alaska,8,SAPCE2,7,...,   Other durable goods,Dollars,384,395,428,430,420,433,458,491,514,544,569,564,525,525,554,553,550,563,578,582,588,603,615,563
" ""02000""",Alaska,8,SAPCE2,8,...,  Nondurable goods,Dollars,5449,5453,5718,6006,6060,6217,6525,6870,7216,7526,7843,8266,7935,8164,8620,8652,8518,8634,8325,8121,8169,8359,8453,8452
" ""02000""",Alaska,8,SAPCE2,9,...,   Food and beverages purchased for off-premises consumption,Dollars,2366,2440,2530,2606,2666,2766,2922,3048,3202,3338,3523,3717,3693,3712,3834,3861,3820,3818,3756,3665,3655,3723,3787,4042
" ""02000""",Alaska,8,SAPCE2,10,...,   Clothing and footwear,Dollars,841,840,860,861,860,860,879,899,911,926,922,923,873,880,906,908,896,911,917,910,897,922,930,821
" ""02000""",Alaska,8,SAPCE2,11,...,   Gasoline and other energy goods,Dollars,706,606,672,852,760,711,774,898,993,1054,1120,1282,956,1115,1352,1380,1344,1264,919,766,811,887,848,603
" ""02000""",Alaska,8,SAPCE2,12,...,   Other nondurable goods,Dollars,1536,1567,1656,1687,1775,1879,1950,2025,2110,2208,2278,2343,2413,2456,2527,2502,2458,2642,2733,2779,2807,2827,2888,2987
" ""02000""",Alaska,8,SAPCE2,13,..., Services,Dollars,14523,15246,16043,17479,18635,19759,20708,21578,23045,24086,25524,26801,27080,27761,28958,29684,30096,31343,32333,33138,34336,36173,37674,34408
" ""02000""",Alaska,8,SAPCE2,14,...,  Household consumption expenditures (for services),Dollars,13816,14411,15156,16442,17517,18496,19447,20385,21682,22581,23942,25039,25193,25794,26810,27392,27747,28997,29994,30695,31730,33420,34861,31450
" ""02000""",Alaska,8,SAPCE2,15,...,   Housing and utilities,Dollars,3880,4055,4252,4499,4770,4937,5104,5324,5674,5877,6294,6622,6699,6759,7092,7216,7247,7431,7524,7662,7885,8143,8355,8530
" ""02000""",Alaska,8,SAPCE2,16,...,   Health care,Dollars,2805,3002,3238,3716,4308,4798,5089,5342,5789,6023,6521,6972,7288,7632,7980,8235,8365,8861,9253,9652,10062,10872,11520,10483
" ""02000""",Alaska,8,SAPCE2,17,...,   Transportation services,Dollars,919,951,1021,1123,1172,1160,1187,1187,1220,1229,1264,1316,1262,1269,1333,1337,1440,1515,1584,1661,1722,1805,1945,1487
" ""02000""",Alaska,8,SAPCE2,18,...,   Recreation services,Dollars,1055,1073,1145,1218,1236,1310,1397,1505,1590,1667,1805,1890,1899,1920,1918,2006,2110,2247,2349,2389,2443,2510,2588,1690
" ""02000""",Alaska,8,SAPCE2,19,...,   Food services and accommodations,Dollars,1780,1797,1872,2011,2052,2176,2342,2479,2582,2715,2816,2902,2809,2886,3028,3131,3145,3303,3456,3434,3462,3528,3671,2675
" ""02000""",Alaska,8,SAPCE2,20,...,   Financial services and insurance,Dollars,1384,1426,1476,1592,1568,1603,1717,1829,1993,2099,2206,2260,2136,2265,2389,2438,2499,2646,2796,2830,3082,3329,3424,3428
" ""02000""",Alaska,8,SAPCE2,21,...,   Other services,Dollars,1993,2107,2153,2283,2411,2512,2610,2718,2834,2971,3037,3078,3100,3064,3069,3030,2942,2995,3034,3068,3074,3234,3358,3157
" ""02000""",Alaska,8,SAPCE2,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),Dollars,707,836,887,1037,1119,1263,1262,1194,1363,1505,1582,1762,1887,1967,2148,2292,2348,2346,2339,2443,2605,2753,2813,2958
" ""02000""",Alaska,8,SAPCE2,23,...,   Gross output of nonprofit institutions,Dollars,2277,2502,2587,2843,2982,3252,3259,3249,3633,3905,4107,4331,4557,4703,4961,5162,5283,5322,5451,5668,6071,6479,6755,6523
" ""02000""",Alaska,8,SAPCE2,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,Dollars,1570,1666,1700,1806,1864,1990,1997,2055,2270,2400,2525,2569,2670,2736,2813,2871,2935,2976,3112,3225,3466,3726,3941,3565
" ""04000""",Arizona,6,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,20343,21230,22251,23507,24112,24748,25903,27463,29091,30543,31554,31375,30081,30663,31411,31988,32553,33595,34374,35194,36676,38167,39450,38684
" ""04000""",Arizona,6,SAPCE2,2,..., Goods,Dollars,7351,7564,8056,8569,8708,8832,9304,9993,10749,11378,11541,10964,9944,10158,10573,10753,10946,11328,11359,11457,11999,12420,12698,13486
" ""04000""",Arizona,6,SAPCE2,3,...,  Durable goods,Dollars,2752,2975,3165,3409,3498,3618,3776,4018,4239,4406,4341,3675,3175,3216,3333,3437,3550,3687,3874,3977,4179,4370,4513,4998
" ""04000""",Arizona,6,SAPCE2,4,...,   Motor vehicles and parts,Dollars,1114,1194,1280,1328,1397,1417,1434,1494,1553,1535,1523,1144,953,1015,1096,1207,1280,1340,1435,1454,1512,1594,1604,1830
" ""04000""",Arizona,6,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,650,699,731,800,806,835,873,958,1062,1118,1042,895,753,743,757,777,811,855,895,934,993,1059,1088,1199
" ""04000""",Arizona,6,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,655,734,784,881,899,942,1009,1067,1093,1169,1146,1036,895,873,866,837,827,844,863,910,982,1010,1109,1291
" ""04000""",Arizona,6,SAPCE2,7,...,   Other durable goods,Dollars,334,349,370,400,396,422,460,498,531,585,630,599,573,585,615,616,631,648,681,679,692,707,713,678
" ""04000""",Arizona,6,SAPCE2,8,...,  Nondurable goods,Dollars,4598,4589,4891,5160,5211,5214,5528,5975,6511,6972,7200,7290,6770,6942,7239,7316,7396,7641,7484,7479,7820,8050,8185,8488
" ""04000""",Arizona,6,SAPCE2,9,...,   Food and beverages purchased for off-premises consumption,Dollars,1718,1735,1829,1829,1887,1910,2004,2175,2329,2456,2564,2616,2544,2548,2562,2570,2571,2677,2713,2743,2840,2862,2851,3164
" ""04000""",Arizona,6,SAPCE2,10,...,   Clothing and footwear,Dollars,756,760,792,827,824,838,867,909,961,1003,1011,962,923,949,974,992,1011,1026,1036,1038,1045,1064,1063,997
" ""04000""",Arizona,6,SAPCE2,11,...,   Gasoline and other energy goods,Dollars,629,550,596,728,677,602,689,785,975,1088,1201,1300,922,1026,1254,1296,1274,1209,923,802,901,1005,976,696
" ""04000""",Arizona,6,SAPCE2,12,...,   Other nondurable goods,Dollars,1495,1544,1674,1775,1822,1864,1968,2106,2246,2426,2424,2412,2381,2419,2450,2459,2541,2730,2812,2897,3034,3119,3295,3631
" ""04000""",Arizona,6,SAPCE2,13,..., Services,Dollars,12993,13666,14195,14938,15404,15916,16599,17470,18342,19165,20012,20411,20137,20504,20838,21235,21607,22267,23015,23737,24678,25747,26752,25198
" ""04000""",Arizona,6,SAPCE2,14,...,  Household consumption expenditures (for services),Dollars,12793,13452,13943,14658,15102,15597,16305,17132,18080,18782,19534,19867,19634,20012,20321,20687,21036,21688,22457,23132,24059,25087,26124,24384
" ""04000""",Arizona,6,SAPCE2,15,...,   Housing and utilities,Dollars,4236,4382,4521,4706,4962,5117,5232,5411,5666,5878,6134,6335,6319,6384,6384,6439,6468,6493,6578,6793,6950,7164,7440,7648
" ""04000""",Arizona,6,SAPCE2,16,...,   Health care,Dollars,2394,2517,2542,2683,2872,3137,3404,3618,3905,4016,4185,4390,4564,4733,4796,4905,4964,5110,5397,5620,5839,6073,6402,6047
" ""04000""",Arizona,6,SAPCE2,17,...,   Transportation services,Dollars,917,977,1039,1095,1051,1020,1037,1057,1107,1158,1176,1175,1093,1100,1191,1228,1267,1337,1375,1416,1505,1560,1678,1172
" ""04000""",Arizona,6,SAPCE2,18,...,   Recreation services,Dollars,758,794,844,872,888,910,959,1033,1044,1128,1196,1177,1158,1160,1146,1194,1260,1340,1439,1529,1659,1751,1782,1320
" ""04000""",Arizona,6,SAPCE2,19,...,   Food services and accommodations,Dollars,1415,1457,1517,1598,1596,1623,1706,1841,2010,2140,2257,2208,2102,2114,2183,2249,2330,2456,2624,2689,2877,3014,3118,2646
" ""04000""",Arizona,6,SAPCE2,20,...,   Financial services and insurance,Dollars,1409,1499,1593,1749,1717,1756,1876,2002,2109,2141,2168,2107,1888,1952,1997,1983,2027,2117,2199,2202,2306,2453,2468,2541
" ""04000""",Arizona,6,SAPCE2,21,...,   Other services,Dollars,1664,1827,1887,1956,2017,2034,2091,2172,2238,2323,2418,2475,2509,2567,2624,2689,2719,2836,2846,2883,2923,3073,3236,3010
" ""04000""",Arizona,6,SAPCE2,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),Dollars,199,214,252,280,302,320,294,338,262,382,478,543,503,492,517,548,571,578,558,605,618,660,627,814
" ""04000""",Arizona,6,SAPCE2,23,...,   Gross output of nonprofit institutions,Dollars,1353,1467,1529,1588,1666,1758,1837,2001,2049,2220,2395,2501,2528,2592,2650,2725,2789,2867,2935,3066,3210,3365,3502,3495
" ""04000""",Arizona,6,SAPCE2,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,Dollars,1154,1252,1277,1308,1365,1438,1543,1664,1787,1837,1917,1957,2024,2100,2134,2177,2218,2289,2377,2461,2591,2705,2874,2682
" ""05000""",Arkansas,5,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,16124,16914,17893,18936,19677,20332,21276,22361,23646,24593,25555,26219,25824,26612,27628,28291,28810,29772,30658,31550,32603,33772,34568,34479
" ""05000""",Arkansas,5,SAPCE2,2,..., Goods,Dollars,6461,6625,7089,7491,7579,7699,8047,8482,8915,9252,9598,9713,9274,9730,10284,10543,10709,10902,10840,10991,11261,11586,11685,12267
" ""05000""",Arkansas,5,SAPCE2,3,...,  Durable goods,Dollars,2220,2343,2512,2584,2633,2781,2880,3025,3085,3132,3239,3041,2853,2945,3010,3129,3240,3350,3469,3539,3580,3673,3698,4063
" ""05000""",Arkansas,5,SAPCE2,4,...,   Motor vehicles and parts,Dollars,1039,1101,1179,1174,1231,1299,1301,1316,1270,1219,1255,1113,1051,1152,1204,1299,1356,1417,1494,1517,1515,1519,1480,1609
" ""05000""",Arkansas,5,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,490,506,538,571,574,609,636,682,718,733,732,709,664,665,669,683,700,727,771,810,847,905,939,1073
