GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,United States,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40690,42783,44614,44894,47017,48891,49812,51811,54098,56047,59510
1000,Alabama,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996,46479
2000,Alaska *,28185,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49654,52581,53729,52843,55910,57629,56341,57352,59871,61742,63502
4000,Arizona,22804,24173,24960,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33848,35175,36272,36739,38211,39635,40618,42267,44071,45808,49648
5000,Arkansas,20187,21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32367,34253,36533,36605,38650,39842,40720,41873,43446,44788,47235
6000,California,27171,29092,30773,33410,34046,34131,35272,37070,38932,41746,43385,43567,41689,43249,45574,48154,48549,51332,54632,56667,58942,61663,64513,70192
8000,Colorado,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40785,43635,45586,47339,50706,52222,52251,55125,58267,60848,63776
9000,Connecticut,35228,37827,39700,43070,45153,44697,44997,47238,49738,53696,57684,60970,59684,61762,63229,64300,62900,65844,67761,69215,70797,73929,75794,78609
10000,Delaware,27069,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40947,43990,44121,44478,46115,47997,48890,50703,53062,53793,56097
11000,District of Columbia,35739,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63317,66735,67655,67066,70494,74352,76623,78116,80342,80819,86567
12000,Florida,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38865,40482,41475,41069,43388,45493,46253,48774,51150,53034,55675
13000,Georgia,24404,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34830,36849,37507,37813,39994,41974,43074,45045,46882,48765,51780
15000,Hawaii *,26334,26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41606,42976,44121,44378,46658,48566,50089,52222,53534,55464,58655
16000,Idaho,21506,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32106,33627,35201,36229,37863,39622,40385,41905,43766,45741,48759
17000,Illinois,28422,29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42294,44279,46190,47285,49564,51864,52543,54252,57240,59115,62930
18000,Indiana,24096,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35699,37822,39477,39829,41274,42778,43780,45278,47292,48980,51926
19000,Iowa,24197,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38320,41078,42953,43555,44856,46304,46531,47570,49548,50533,53478
20000,Kansas,24958,26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39968,43057,45373,46291,47169,47527,47557,49033,51139,53203,56099
21000,Kentucky,21388,22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33414,34826,35925,36131,37744,39360,39905,40954,42193,43881,47339
22000,Louisiana,21352,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38243,39131,41017,41396,43112,43146,42763,44120,46117,47670,50874
