State Name,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2018-19,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2017-18,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2016-17,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2015-16,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2014-15,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2013-14,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2012-13,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2011-12,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2010-11,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2009-10,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2008-09,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2007-08,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2006-07,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2005-06,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2004-05,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2003-04,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2002-03,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2001-02,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2000-01,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1999-00,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1998-99,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1997-98
ALABAMA,11415,10792,10590,10200,9992,9913,9653,9534,9776,9667,9708,10356,9548,8555,8028,7349,6971,6956,6503,6523,5975,5535
ALASKA,19553,19038,18897,18851,22379,20447,20312,19034,18699,17759,17319,17471,14304,12849,12632,11576,10928,10717,10275,10118,9532,9222
ARIZONA,10396,9697,9214,9293,8995,8703,8616,8613,9111,9343,9002,9457,9023,8071,7814,7550,7791,7214,7071,6455,5988,5812
ARKANSAS,11733,11592,11388,10939,10762,10478,10391,10939,10939,10738,10072,9758,9362,9031,8712,7542,7243,7112,6250,6054,5772,5697
CALIFORNIA,16014,14535,13965,13606,11786,10985,10481,10590,10790,10239,11180,11228,10857,9909,9234,8980,8975,8363,8306,7465,6750,6572
COLORADO,13562,12313,11713,11386,10984,10538,10312,10183,10460,10635,10207,10118,9720,9322,9024,8639,8379,7855,7384,7194,6744,6297
CONNECTICUT,22696,21680,21647,21745,20964,20172,19149,18532,17822,17546,17404,16585,15737,15149,13882,12815,12433,11847,11492,10949,10294,9641
DELAWARE,16519,16296,20035,16247,15502,14960,14799,14514,13513,14070,13993,13792,13345,12679,11560,11022,10293,9841,9701,9505,8471,8160
DISTRICT OF COLUMBIA,29120,29211,29425,27067,27810,27758,27508,28055,27016,24785,24039,17394,17602,15624,16757,15690,14626,14418,15128,11343,10580,9168
FLORIDA,11113,10633,10227,10002,9717,9518,9103,8991,9972,9891,10005,10995,10571,9277,8575,8132,7474,7178,7338,7116,7041,6533
GEORGIA,12766,12147,11587,11164,10761,10377,10270,10457,10762,10695,10881,11319,10874,10083,9480,9082,8990,8820,8437,7786,7324,6571
HAWAII,17237,18095,15666,16656,14803,14434,12621,13875,13755,14234,14497,13886,13514,14789,12415,11666,11309,10246,9125,7559,7064,6755
IDAHO,9371,9066,8665,8258,7858,7364,7386,7369,7915,8044,8158,7965,7627,7288,7093,6952,6832,6683,6503,6005,5806,5404
ILLINOIS,15749,18635,17506,13569,13329,13189,12972,14005,13818,13434,12522,12035,11342,10581,10146,9859,9190,9008,8892,8183,7625,7081
INDIANA,12806,12592,11388,11882,11568,11513,11416,11473,11231,13034,12015,11747,9621,10831,11043,9976,7895,8972,9131,8524,8069,7614
IOWA,14126,13772,13543,13106,12791,12359,12070,12179,11913,11266,11321,11209,10407,9793,9369,8845,8796,8374,7987,7470,7058,6679
KANSAS,13938,13533,12833,12700,12519,12217,11996,11924,11723,11564,12216,11805,11202,10318,9524,9661,8646,8216,7704,7219,6950,6662
KENTUCKY,12764,12422,11378,11120,10824,10536,10393,10391,10389,10106,9912,9848,8990,8693,7972,7670,7210,7106,6773,6681,6422,5875
LOUISIANA,13239,12772,12495,12425,12454,12275,11872,11959,11839,11891,11827,11543,10568,10329,8363,7951,7597,7254,6810,6487,6111,5784
MAINE,16767,16020,15624,15471,15071,14517,13917,13527,13740,13950,13349,13257,13079,12134,11611,10805,10577,9967,9342,8659,8070,7530
MARYLAND,18042,17886,16977,16395,16605,15987,16054,16093,15768,15738,15521,15471,13650,12419,11422,10361,10001,9768,9200,8555,8086,7770
MASSACHUSETTS,19736,18994,19101,18633,18108,17591,17215,16610,16071,16269,15750,15165,14638,14343,13055,11950,12006,11319,10407,9533,8927,8318
MICHIGAN,14320,13797,13190,12912,12649,12192,11979,11917,12266,11765,11799,11591,11369,10893,10489,10260,10058,10131,9507,8916,8533,8416
MINNESOTA,16198,15418,15133,14722,14213,13620,13267,13087,13053,12710,12610,12290,11558,10952,10360,10163,9859,9358,9216,8417,7923,7649
MISSISSIPPI,10396,9984,9838,9673,9269,8994,8903,9052,9140,9023,8864,8880,8399,8349,7352,7058,6625,6142,5832,5549,5065,4770
MISSOURI,13297,12899,12552,12127,11906,11380,11234,11152,11069,11065,10941,11042,10391,9707,9248,8762,8453,8263,7781,7292,6859,6595
MONTANA,13740,12907,12579,12259,12491,11956,11601,11400,11678,11398,11242,10958,10265,9439,8815,8545,8030,7689,7362,6992,6546,6345
NEBRASKA,14276,14308,14005,13769,13333,12776,12523,13103,13684,13034,12274,11691,11129,10368,9799,9326,8937,8675,8064,7690,7448,6711
NEVADA,11019,10721,10384,10017,9848,9609,9290,9412,9637,10048,10270,10165,9436,8965,8481,7980,7536,7318,7025,6947,6733,6442
NEW HAMPSHIRE,18760,17806,17316,16752,16205,15810,15216,14928,14610,14254,13727,13019,12292,11489,10841,10202,9425,8803,8223,7542,7040,6770
NEW JERSEY,23609,22355,21531,21061,20410,19969,19740,19603,17980,18521,18340,18007,17418,16337,15602,14830,13825,12900,12157,11550,11178,10550
NEW MEXICO,12358,12070,11966,11878,11713,11141,10925,10710,11073,11246,11568,11110,10213,9636,9352,9035,8387,8161,7576,6905,6384,5887
NEW YORK,28626,27216,25985,24717,23060,22271,21768,21683,21038,20660,20272,19081,17707,16613,15389,14176,13120,12404,11889,11221,10383,9708
NORTH CAROLINA,10299,9724,9342,9109,8833,8573,8632,8696,8875,8802,8950,8439,8398,7863,7533,7262,7021,7081,7160,6895,6485,5816
NORTH DAKOTA,16357,16108,16016,15694,14809,14449,13396,13281,13070,13211,11638,11117,10297,9748,9159,8585,7917,7488,7031,6651,6173,5755
OHIO,15210,14914,14480,14539,14214,13627,13070,13153,13096,12883,12292,12476,12110,11473,10822,10249,9870,9636,9073,8293,7817,7286
OKLAHOMA,10483,9455,9167,9049,9094,8918,8780,8801,8901,8705,8882,8539,8184,7656,7342,6968,6663,6643,6475,5909,5811,5478
OREGON,15306,14620,13282,12799,12398,11679,10484,10863,10723,10657,10680,10818,10064,9829,9052,9281,8302,8629,8356,7952,7457,7175
PENNSYLVANIA,19363,18724,18149,17405,16627,16013,15562,15134,15153,14787,14440,13859,12821,12391,11728,10964,10321,9817,9400,8931,8547,8174
RHODE ISLAND,18731,18334,18020,17504,17219,16810,16401,15947,15846,15589,15358,15062,14153,13342,12000,11690,10960,10441,9823,9256,8525,8245
SOUTH CAROLINA,14153,13501,12957,12367,11753,11588,11433,11058,10847,10838,10727,10913,10070,9559,8906,8551,8256,8315,8059,7375,6618,6151
SOUTH DAKOTA,12268,12011,11592,10889,10678,10321,10142,10179,10367,10509,9823,9925,9398,8967,8647,8090,7413,7232,6883,6601,6257,5576
TENNESSEE,10881,10558,10062,9585,9471,9384,9144,8983,9029,8769,8523,8535,7897,7660,7378,6917,6592,6394,6283,5870,5621,5393
TEXAS,12321,11709,11194,11120,10724,10357,9858,9906,10307,10318,9882,9749,9410,8771,8353,8174,8124,7754,7506,7179,6501,6213
UTAH,9672,9091,8726,8408,8068,7843,7925,7871,7852,7925,8255,7629,7218,6769,6408,6107,5954,5983,5702,5370,5091,4774
VERMONT,20819,20212,19702,19627,20140,19237,18313,18288,16952,17916,16780,16000,15107,13958,13049,12192,11502,10894,10149,9240,8639,8130
VIRGINIA,13661,13195,12907,12408,12203,11814,11938,11654,11542,11798,12109,11803,11440,10648,9952,9162,8735,8356,8135,7716,7436,6982
WASHINGTON,17269,15349,14209,13643,12673,12213,11546,11330,11306,11414,11479,10781,10178,9457,9085,8724,8570,8306,8021,7546,7226,6957
