sa,naics_sector,series,geo,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
U,TOTAL,BA_BA,US,2022,445536,446342,,,,,,,,,,
U,NAICS11,BA_BA,US,2022,4501,4214,,,,,,,,,,
U,NAICS21,BA_BA,US,2022,529,556,,,,,,,,,,
U,NAICS22,BA_BA,US,2022,413,473,,,,,,,,,,
U,NAICS23,BA_BA,US,2022,40134,41476,,,,,,,,,,
U,NAICSMNF,BA_BA,US,2022,6309,6376,,,,,,,,,,
U,NAICS42,BA_BA,US,2022,8897,8684,,,,,,,,,,
U,NAICSRET,BA_BA,US,2022,85579,85664,,,,,,,,,,
U,NAICSTW,BA_BA,US,2022,38696,40226,,,,,,,,,,
U,NAICS51,BA_BA,US,2022,8550,8412,,,,,,,,,,
U,NAICS52,BA_BA,US,2022,19877,19209,,,,,,,,,,
U,NAICS53,BA_BA,US,2022,25595,24923,,,,,,,,,,
U,NAICS54,BA_BA,US,2022,56854,53218,,,,,,,,,,
U,NAICS55,BA_BA,US,2022,4027,3916,,,,,,,,,,
U,NAICS56,BA_BA,US,2022,28451,30689,,,,,,,,,,
U,NAICS61,BA_BA,US,2022,5768,5733,,,,,,,,,,
U,NAICS62,BA_BA,US,2022,26906,25556,,,,,,,,,,
U,NAICS71,BA_BA,US,2022,12539,12831,,,,,,,,,,
U,NAICS72,BA_BA,US,2022,21687,22377,,,,,,,,,,
U,NAICS81,BA_BA,US,2022,39075,40823,,,,,,,,,,
U,NONAICS,BA_BA,US,2022,11149,10986,,,,,,,,,,
A,TOTAL,BA_BA,US,2022,428505,419518,,,,,,,,,,
A,NAICS11,BA_BA,US,2022,3468,3473,,,,,,,,,,
A,NAICS21,BA_BA,US,2022,526,540,,,,,,,,,,
A,NAICS22,BA_BA,US,2022,438,502,,,,,,,,,,
A,NAICS23,BA_BA,US,2022,38949,39297,,,,,,,,,,
A,NAICSMNF,BA_BA,US,2022,5851,5774,,,,,,,,,,
A,NAICS42,BA_BA,US,2022,8450,8238,,,,,,,,,,
A,NAICSRET,BA_BA,US,2022,86369,80657,,,,,,,,,,
A,NAICSTW,BA_BA,US,2022,39221,38684,,,,,,,,,,
A,NAICS51,BA_BA,US,2022,7837,7769,,,,,,,,,,
A,NAICS52,BA_BA,US,2022,19295,19057,,,,,,,,,,
A,NAICS53,BA_BA,US,2022,24505,24291,,,,,,,,,,
A,NAICS54,BA_BA,US,2022,50239,49984,,,,,,,,,,
A,NAICS55,BA_BA,US,2022,4174,4033,,,,,,,,,,
A,NAICS56,BA_BA,US,2022,27520,26994,,,,,,,,,,
A,NAICS61,BA_BA,US,2022,5674,5475,,,,,,,,,,
A,NAICS62,BA_BA,US,2022,23819,23363,,,,,,,,,,
A,NAICS71,BA_BA,US,2022,12151,11686,,,,,,,,,,
A,NAICS72,BA_BA,US,2022,21841,21582,,,,,,,,,,
A,NAICS81,BA_BA,US,2022,35336,35548,,,,,,,,,,
A,NONAICS,BA_BA,US,2022,12841,12571,,,,,,,,,,
U,TOTAL,BA_BA,NO,2022,70419,64778,,,,,,,,,,
A,TOTAL,BA_BA,NO,2022,66412,64581,,,,,,,,,,
U,TOTAL,BA_BA,MW,2022,76384,74011,,,,,,,,,,
A,TOTAL,BA_BA,MW,2022,71290,69853,,,,,,,,,,
U,TOTAL,BA_BA,SO,2022,196861,206706,,,,,,,,,,
A,TOTAL,BA_BA,SO,2022,193734,188900,,,,,,,,,,
U,TOTAL,BA_BA,WE,2022,101872,100847,,,,,,,,,,
A,TOTAL,BA_BA,WE,2022,97069,96184,,,,,,,,,,
U,TOTAL,BA_BA,AL,2022,6453,6262,,,,,,,,,,
A,TOTAL,BA_BA,AL,2022,5694,5548,,,,,,,,,,
U,TOTAL,BA_BA,AK,2022,757,761,,,,,,,,,,
A,TOTAL,BA_BA,AK,2022,740,707,,,,,,,,,,
U,TOTAL,BA_BA,AZ,2022,10023,10145,,,,,,,,,,
A,TOTAL,BA_BA,AZ,2022,9801,9789,,,,,,,,,,
U,TOTAL,BA_BA,AR,2022,3333,3339,,,,,,,,,,
A,TOTAL,BA_BA,AR,2022,3096,3059,,,,,,,,,,
U,TOTAL,BA_BA,CA,2022,45038,43904,,,,,,,,,,
A,TOTAL,BA_BA,CA,2022,42552,41515,,,,,,,,,,
U,TOTAL,BA_BA,CO,2022,10684,10005,,,,,,,,,,
A,TOTAL,BA_BA,CO,2022,9530,9510,,,,,,,,,,
U,TOTAL,BA_BA,CT,2022,3962,4028,,,,,,,,,,
A,TOTAL,BA_BA,CT,2022,3878,3909,,,,,,,,,,
U,TOTAL,BA_BA,DE,2022,3500,4342,,,,,,,,,,
A,TOTAL,BA_BA,DE,2022,3607,4037,,,,,,,,,,
U,TOTAL,BA_BA,DC,2022,1274,1281,,,,,,,,,,
A,TOTAL,BA_BA,DC,2022,1265,1256,,,,,,,,,,
U,TOTAL,BA_BA,FL,2022,43807,52825,,,,,,,,,,
A,TOTAL,BA_BA,FL,2022,47087,46581,,,,,,,,,,
U,TOTAL,BA_BA,GA,2022,23863,24377,,,,,,,,,,
A,TOTAL,BA_BA,GA,2022,23074,21946,,,,,,,,,,
U,TOTAL,BA_BA,HI,2022,1660,1616,,,,,,,,,,
A,TOTAL,BA_BA,HI,2022,1644,1561,,,,,,,,,,
U,TOTAL,BA_BA,ID,2022,2551,2625,,,,,,,,,,
A,TOTAL,BA_BA,ID,2022,2501,2494,,,,,,,,,,
U,TOTAL,BA_BA,IL,2022,16227,16377,,,,,,,,,,
