GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,United States *,22579,23818,24712,26294,27273,28184,29261,30702,31770,33577,34934,36075,35605,36694,38124,39811,39597,41419,42850,43755,45514,47751,49338,52853
1000,Alabama,19087,20120,20685,21574,22255,23170,24304,26011,27130,28296,29371,30202,30155,31203,31966,32914,32922,33974,35255,35681,37001,38571,39962,42392
2000,Alaska *,25176,26080,26769,28606,29967,31583,33032,34156,35849,37574,39806,43261,43732,45914,48315,49553,48265,51077,52429,51518,52770,55503,57115,59053
4000,Arizona,20080,21189,21855,23048,23731,24599,25748,27367,28904,30918,31988,32197,30950,31131,31919,32982,33141,34485,35547,36433,37923,39629,41166,45025
5000,Arkansas,17992,18841,19463,20218,21234,21976,23392,24781,25653,26840,28186,29065,28864,29718,31178,33333,33121,35012,36013,36751,37823,39571,40675,43083
6000,California,23454,24955,26014,27660,28808,29928,31229,32832,33966,36259,37446,37777,37319,38475,40026,42244,41919,44172,46659,48508,50460,52691,55090,60796
8000,Colorado,23881,25664,26747,28897,30030,30355,31113,31975,33364,35139,36588,37572,36072,36480,38550,40347,41620,44500,45609,45478,48159,51216,53426,56415
9000,Connecticut,29192,31058,32506,34980,36781,37991,38667,40493,41950,45093,47878,51372,52436,53980,54336,55179,52706,55273,56752,58557,59787,62847,64191,67110
10000,Delaware,23004,25137,26733,29292,32117,33511,34140,34840,34643,36111,36647,35919,36991,36991,39247,39448,39523,41042,42520,43382,44865,47063,47433,49804
11000,District of Columbia,30608,32327,33512,36488,37711,39028,39869,43367,45252,47572,50377,51654,52440,55578,57738,58095,57052,59959,62796,65107,66370,68016,67854,73568
12000,Florida,22365,23600,24283,25759,26738,27680,28974,30606,32102,34207,35295,35423,33921,35760,36819,37660,36872,38823,40418,41553,43013,45791,47445,50194
13000,Georgia,21213,22643,23571,24907,25814,26793,27762,28864,29857,30859,31540,31494,31221,31625,33180,33814,33739,35674,37282,38328,39980,41907,43522,46568
15000,Hawaii *,23298,23576,24434,25738,26583,27993,29269,30888,32416,34225,35999,37522,37537,38109,39031,40054,39859,41878,43237,44540,46457,47818,49371,52872
