series_code,series_description
BA_BA,Business Applications
BA_CBA,Business Applications from Corporations
BA_HBA,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages
BF_BF4Q,Business Formations within Four Quarters
BF_BF8Q,Business Formations within Eight Quarters
BF_PBF4Q,Projected Business Formations within Four Quarters
BF_PBF8Q,Projected Business Formations within Eight Quarters
BF_SBF4Q,Spliced Business Formations within Four Quarters
BF_SBF8Q,Spliced Business Formations within Eight Quarters
BF_DUR4Q,Average Duration (in Quarters) from Business Application to Formation within Four Quarters
BF_DUR8Q,Average Duration (in Quarters) from Business Application to Formation within Eight Quarters
